StrainIndex  Lineage  Cluster  Name
1            1        6        ERR065974
2            1        3        ERR129065
3            1        6        ERR129037
4            1        3        ERR124247
5            1        5        ERR065305
6            1        6        ERR069786
7            1        4        ERR129179
8            1        6        ERR129176
9            1        2        ERR069709
10           1        6        ERR067985
11           1        6        ERR129212
12           1        4        ERR124241
13           1        5        ERR069795
14           1        4        ERR124293
15           1        1        ERR069735
16           1        2        ERR069773
17           1        6        ERR129105
18           1        3        ERR124226
19           1        6        ERR129196
20           1        6        ERR069823
21           1        6        ERR124319
22           1        2        ERR068001
23           1        6        ERR129117
24           1        5        ERR068008
25           1        4        ERR069703
26           1        6        ERR129195
27           1        1        ERR065325
28           1        4        ERR129087
29           1        1        ERR069819
30           1        3        ERR129129
31           1        1        ERR065960
32           1        5        ERR069796
33           1        6        ERR065326
34           1        6        ERR069712
35           1        1        ERR124244
36           1        6        ERR069713
37           1        3        ERR069826
38           1        6        ERR065341
39           1        5        ERR069771
40           1        5        ERR065970
41           1        6        ERR129130
42           1        2        ERR065302
43           1        6        ERR129187
44           1        6        ERR069824
45           1        5        ERR065972
46           1        2        ERR129164
47           1        6        ERR069688
48           1        6        ERR069685
49           1        4        ERR067962
50           1        6        ERR129127
51           1        6        ERR065301
52           1        4        ERR124287
53           1        6        ERR067964
54           1        6        ERR069727
55           1        5        ERR129063
56           1        6        ERR065332
57           1        3        ERR065287
58           1        6        ERR129213
59           1        6        ERR129042
60           1        4        ERR129148
61           1        2        ERR129040
62           1        6        ERR069835
63           1        1        ERR129102
64           1        6        ERR069729
65           1        6        ERR069748
66           1        6        ERR124229
67           1        2        ERR129088
68           1        6        ERR069752
69           1        5        ERR129149
70           1        6        ERR129214
71           1        3        ERR069833
72           1        6        ERR068046
73           1        6        ERR129215
74           1        5        ERR129140
75           1        5        ERR069831
76           1        6        ERR068014
77           1        5        ERR124315
78           1        6        ERR065342
79           1        6        ERR124235
80           1        6        ERR129159
81           1        6        ERR129094
82           1        6        ERR069689
83           1        5        ERR069751
84           1        6        ERR068005
85           1        4        ERR069749
86           1        2        ERR067981
87           1        6        ERR067996
88           1        6        ERR069785
89           1        6        ERR069687
90           1        4        ERR124277
91           1        2        ERR065353
92           1        4        ERR129074
93           1        5        ERR069817
94           1        2        ERR065953
95           1        6        ERR129154
96           1        6        ERR069725
97           1        6        ERR068040
98           1        6        ERR129051
99           1        6        ERR129157
100          1        3        ERR124311
101          1        6        ERR069746
102          1        6        ERR067986
103          1        6        ERR124291
104          1        3        ERR069780
105          1        6        ERR069822
106          1        6        ERR129207
107          1        6        ERR124288
108          1        6        ERR129026
109          1        1        ERR124218
110          1        2        ERR069710
111          1        6        ERR065310
112          1        5        ERR129160
113          1        4        ERR065300
114          1        1        ERR129027
115          1        5        ERR129170
116          1        6        ERR065968
117          1        6        ERR065965
118          1        3        ERR068044
119          1        6        ERR129180
