StrainIndex  Lineage  Cluster  Name
1            3        7        ERR069738
2            2        6        ERR065974
3            3        7        ERR129065
4            3        7        ERR129037
5            1        2        ERR069700
6            2        6        ERR124247
7            3        5        ERR124222
8            3        7        ERR065305
9            2        6        ERR069786
10           3        4        ERR129179
11           3        5        ERR129176
12           1        1        ERR069709
13           3        7        ERR067985
14           2        6        ERR129212
15           3        7        ERR068037
16           3        7        ERR069814
17           3        4        ERR124241
18           3        7        ERR069795
19           3        4        ERR124293
20           3        3        ERR069735
21           3        7        ERR069773
22           1        2        ERR067966
23           3        7        ERR129029
24           3        3        ERR129105
25           3        7        ERR124226
26           3        3        ERR129196
27           3        7        ERR069823
28           2        6        ERR124319
29           1        1        ERR068001
30           3        5        ERR129117
31           3        7        ERR069764
32           3        7        ERR068007
33           3        7        ERR068008
34           1        2        ERR067969
35           3        4        ERR069703
36           3        3        ERR129195
37           3        7        ERR065325
38           3        7        ERR124256
39           3        4        ERR129087
40           3        3        ERR069819
41           3        7        ERR129129
42           3        7        ERR065960
43           3        7        ERR069796
44           3        7        ERR065326
45           3        7        ERR069712
46           3        7        ERR124244
47           3        5        ERR129075
48           3        7        ERR069713
49           3        7        ERR069826
50           2        6        ERR065341
51           3        7        ERR069771
52           3        5        ERR069706
53           3        7        ERR065970
54           2        6        ERR129130
55           3        7        ERR129096
56           3        7        ERR129107
57           3        7        ERR069809
58           3        7        ERR065302
59           3        3        ERR129187
60           1        2        ERR124314
61           3        7        ERR069686
62           3        7        ERR069824
63           3        7        ERR068048
64           3        7        ERR065972
65           3        7        ERR129164
66           3        7        ERR069688
67           2        6        ERR069685
68           3        7        ERR124307
69           3        4        ERR067962
70           3        7        ERR124257
71           3        7        ERR129127
72           3        3        ERR065301
73           3        7        ERR124287
74           3        7        ERR068025
75           3        7        ERR067964
76           3        7        ERR069811
77           3        7        ERR069727
78           3        7        ERR129063
79           3        7        ERR065332
80           3        3        ERR129028
81           3        7        ERR065287
82           3        5        ERR129213
83           3        7        ERR129155
84           3        5        ERR129042
85           3        4        ERR129148
86           3        7        ERR129040
87           3        7        ERR069835
88           3        7        ERR129146
89           3        5        ERR129102
90           3        7        ERR069729
91           3        7        ERR129152
92           2        6        ERR069748
93           3        5        ERR069843
94           3        7        ERR124229
95           3        7        ERR129088
96           3        7        ERR069752
97           3        7        ERR065350
98           3        7        ERR129149
99           3        7        ERR129214
100          3        7        ERR069833
101          3        5        ERR124310
102          3        7        ERR068046
103          3        7        ERR129215
104          3        7        ERR129140
105          3        7        ERR069831
106          3        3        ERR068014
107          3        7        ERR124315
108          3        5        ERR124255
109          3        3        ERR065342
110          3        5        ERR124235
111          3        7        ERR129159
112          3        7        ERR129204
113          3        3        ERR129094
114          2        6        ERR069689
115          3        7        ERR069751
116          3        7        ERR068005
117          3        4        ERR069749
118          3        7        ERR067981
119          3        7        ERR067996
120          3        7        ERR129052
121          3        7        ERR069785
122          3        7        ERR069792
123          3        7        ERR069687
124          3        4        ERR124277
125          2        6        ERR124228
126          2        6        ERR129044
127          1        1        ERR065353
128          3        4        ERR129074
129          1        2        ERR069817
130          1        1        ERR065953
131          3        7        ERR129076
132          3        7        ERR129154
133          3        7        ERR069725
134          3        7        ERR068040
135          3        7        ERR129051
136          3        5        ERR129157
137          3        4        ERR124311
138          3        7        ERR069746
139          3        7        ERR068031
140          3        7        ERR067986
141          3        7        ERR124291
142          3        7        ERR129055
143          3        7        ERR069780
144          3        7        ERR065327
145          3        7        ERR069822
146          3        7        ERR129207
147          2        6        ERR124288
148          3        7        ERR129026
149          3        7        ERR124218
150          3        7        ERR068027
151          1        1        ERR069710
152          3        7        ERR065310
153          1        2        ERR129160
154          3        4        ERR065300
155          3        7        ERR069789
156          3        7        ERR065343
157          3        7        ERR069802
158          2        6        ERR129027
159          3        7        ERR129170
160          3        5        ERR129048
161          3        7        ERR065968
162          2        6        ERR065965
163          3        7        ERR068044
164          2        6        ERR129180
165          3        4        ERR065324
166          3        7        ERR129112
167          3        7        ERR129158
168          3        7        ERR069698
169          3        7        ERR069812
170          3        7        ERR124302
171          3        3        ERR129083
172          3        7        ERR065354
173          1        2        ERR069787
174          3        7        ERR068017
175          3        7        ERR129039
176          3        4        ERR065329
177          3        7        ERR124269
178          3        4        ERR129200
179          3        7        ERR067995
180          3        7        ERR068012
181          3        7        ERR124274
182          3        5        ERR067993
183          3        5        ERR069708
184          3        7        ERR129106
185          3        7        ERR069717
186          3        7        ERR067974
187          1        2        ERR069744
188          3        7        ERR129210
189          3        7        ERR129108
190          3        7        ERR129132
191          3        7        ERR069711
192          3        4        ERR068019
193          3        4        ERR129099
194          3        7        ERR129059
195          3        7        ERR065292
196          2        6        ERR067961
197          3        7        ERR069820
198          3        3        ERR129216
199          3        7        ERR129116
200          3        4        ERR124250
201          3        7        ERR069690
202          3        5        ERR065973
203          3        5        ERR065309
204          3        7        ERR124283
205          3        7        ERR065293
206          3        7        ERR069825
207          3        7        ERR069737
208          3        4        ERR124316
209          3        3        ERR129144
210          3        7        ERR124232
211          3        7        ERR068018
212          3        7        ERR124296
213          3        7        ERR067960
214          3        7        ERR068050
215          3        5        ERR068039
216          1        1        ERR068004
217          3        7        ERR129032
218          3        7        ERR124248
219          3        7        ERR068041
220          3        4        ERR129086
221          3        7        ERR065317
222          3        4        ERR069834
223          3        5        ERR069720
224          3        7        ERR129050
225          3        7        ERR129064
226          3        7        ERR069830
227          3        7        ERR069774
228          3        3        ERR129206
229          3        7        ERR069801
230          3        7        ERR124221
231          3        7        ERR129080
232          3        7        ERR068026
233          3        7        ERR129147
234          3        7        ERR069829
235          3        3        ERR129077
236          3        7        ERR067994
237          3        4        ERR069726
238          3        7        ERR065338
239          3        7        ERR065297
240          3        7        ERR129120
241          3        7        ERR129061
242          3        7        ERR124219
243          3        7        ERR065345
244          3        5        ERR124305
245          3        7        ERR069769
246          3        5        ERR065295
247          3        7        ERR069768
248          3        7        ERR129197
249          3        7        ERR065967
250          3        7        ERR124223
251          1        1        ERR069734
252          3        5        ERR129167
253          3        4        ERR129143
254          3        4        ERR124299
255          1        1        ERR129092
256          3        7        ERR129090
257          3        4        ERR068002
258          3        5        ERR068003
259          3        7        ERR124268
260          3        7        ERR129181
261          3        7        ERR069696
262          3        7        ERR129072
263          3        7        ERR065344
264          3        5        ERR129111
265          2        6        ERR068006
266          3        5        ERR068035
267          2        6        ERR069798
268          2        6        ERR124278
269          3        7        ERR069760
270          3        7        ERR067984
271          3        4        ERR069782
272          3        4        ERR124236
273          3        7        ERR068045
274          3        7        ERR129045
275          3        7        ERR069781
276          2        6        ERR069832
277          3        7        ERR065320
278          2        6        ERR124292
279          3        7        ERR129186
280          3        5        ERR124308
281          3        5        ERR129043
282          3        7        ERR069805
283          3        7        ERR124220
284          3        7        ERR069800
285          3        7        ERR068021
286          3        3        ERR067998
287          2        6        ERR124312
288          2        6        ERR065971
289          3        7        ERR129183
290          3        7        ERR068034
291          3        7        ERR065311
292          3        7        ERR068020
293          3        7        ERR069767
294          3        7        ERR067967
295          3        7        ERR069691
296          3        7        ERR129161
297          2        6        ERR069716
298          2        6        ERR124289
299          3        7        ERR129153
300          3        4        ERR129057
301          3        7        ERR067977
302          3        7        ERR129131
303          3        7        ERR069772
304          3        7        ERR124281
305          2        6        ERR069750
306          3        7        ERR069715
307          3        5        ERR124227
308          3        7        ERR069683
309          3        3        ERR069813
310          3        5        ERR124253
311          3        7        ERR069724
312          3        7        ERR065966
313          3        5        ERR069803
314          3        7        ERR124267
315          3        7        ERR124254
316          2        6        ERR129168
317          3        3        ERR124320
318          3        7        ERR065298
319          3        7        ERR069804
320          3        5        ERR065303
321          3        7        ERR065957
322          3        7        ERR068042
323          3        7        ERR069692
324          3        7        ERR124249
325          3        7        ERR069759
326          3        7        ERR069723
327          3        7        ERR067976
328          3        7        ERR065307
329          3        7        ERR065962
330          3        7        ERR069745
331          3        7        ERR129081
332          3        7        ERR129198
333          3        7        ERR069742
334          2        6        ERR069718
335          2        6        ERR124224
336          3        7        ERR069790
337          1        1        ERR069827
338          3        7        ERR129142
339          2        6        ERR124309
340          3        7        ERR069806
341          3        7        ERR129068
342          3        7        ERR067978
343          3        7        ERR069741
344          3        3        ERR129136
345          3        5        ERR129062
346          3        7        ERR129203
347          3        7        ERR068032
348          3        5        ERR065316
349          3        5        ERR124217
350          3        7        ERR067991
351          3        7        ERR124284
352          3        7        ERR129079
353          3        3        ERR069722
354          3        7        ERR124260
355          2        6        ERR069701
356          3        7        ERR129162
357          3        7        ERR129124
358          3        7        ERR124246
359          3        7        ERR065299
360          3        5        ERR124233
361          3        5        ERR124266
362          3        3        ERR069818
363          3        4        ERR068029
364          3        7        ERR124239
365          3        4        ERR124279
366          3        7        ERR129175
367          3        7        ERR065294
368          3        7        ERR129139
369          3        7        ERR069778
370          3        7        ERR068015
371          1        2        ERR129128
372          3        4        ERR129163
373          3        7        ERR068028
374          3        7        ERR065355
375          3        5        ERR068023
376          1        2        ERR069777
377          3        7        ERR069791
378          3        7        ERR124263
379          3        7        ERR069704
380          3        4        ERR129134
381          3        7        ERR129025
382          3        4        ERR065351
383          3        7        ERR069807
384          3        7        ERR129209
385          3        7        ERR069761
386          3        7        ERR129034
387          2        6        ERR129172
388          3        7        ERR124240
389          3        7        ERR065315
390          3        7        ERR065346
391          3        7        ERR069731
392          3        7        ERR069828
393          3        7        ERR069755
394          3        7        ERR129156
395          3        4        ERR067988
396          3        3        ERR069714
397          3        5        ERR068036
398          3        5        ERR129071
399          3        4        ERR129035
400          3        7        ERR069697
401          3        7        ERR065306
402          3        3        ERR069838
403          3        7        ERR065313
404          2        6        ERR124294
405          2        6        ERR124243
406          3        7        ERR067975
407          3        7        ERR129046
408          3        3        ERR129053
409          3        7        ERR124272
410          2        6        ERR065289
411          3        7        ERR124285
412          3        7        ERR129126
413          2        6        ERR129151
414          3        7        ERR124225
415          3        7        ERR065321
416          3        7        ERR068011
417          3        7        ERR124264
418          3        7        ERR069707
419          3        7        ERR124252
420          3        7        ERR129082
421          3        7        ERR069743
422          3        7        ERR067980
423          3        7        ERR069836
424          3        7        ERR068047
425          3        7        ERR065288
426          3        7        ERR124258
427          3        5        ERR065314
428          3        4        ERR124301
429          3        7        ERR129091
430          3        7        ERR067982
431          2        6        ERR124276
432          3        7        ERR129118
433          2        6        ERR065318
434          3        3        ERR068010
435          2        6        ERR129067
436          3        3        ERR065349
437          2        6        ERR068030
438          3        4        ERR069728
439          3        7        ERR067997
440          3        7        ERR065291
441          3        7        ERR069730
442          1        2        ERR069763
443          3        7        ERR124300
444          3        3        ERR129202
445          3        4        ERR124290
446          3        7        ERR129178
447          2        6        ERR069841
448          3        7        ERR065955
449          3        7        ERR124265
450          3        7        ERR129121
451          3        7        ERR067968
452          3        7        ERR069739
453          3        7        ERR069766
454          3        7        ERR069765
455          3        7        ERR129123
456          3        7        ERR067965
457          2        6        ERR065969
458          3        7        ERR069842
459          3        7        ERR129185
460          3        7        ERR069810
461          3        7        ERR129174
462          3        7        ERR124318
463          3        7        ERR129177
464          3        7        ERR065352
465          3        7        ERR129113
466          3        7        ERR069839
467          3        3        ERR129182
468          1        1        ERR069788
469          2        6        ERR067983
470          1        1        ERR069784
471          3        7        ERR065347
472          3        4        ERR065290
473          3        7        ERR065322
474          2        6        ERR069693
475          3        7        ERR129169
476          3        7        ERR068013
477          3        3        ERR124242
478          3        3        ERR129138
479          3        7        ERR065337
480          3        7        ERR129137
481          3        7        ERR124231
482          3        5        ERR129036
483          3        7        ERR124304
484          2        6        ERR065296
485          3        7        ERR065308
486          3        7        ERR065958
487          3        7        ERR124282
488          2        6        ERR067989
489          3        5        ERR129078
490          3        7        ERR129054
491          1        2        ERR069747
492          3        7        ERR069732
493          3        7        ERR129208
494          3        7        ERR124251
495          2        6        ERR129110
496          3        7        ERR065975
497          3        4        ERR129135
498          3        5        ERR069699
499          3        7        ERR069702
500          3        7        ERR069793
501          3        4        ERR129119
502          3        7        ERR124234
503          3        4        ERR124273
504          3        7        ERR068038
505          1        1        ERR068043
506          3        7        ERR065964
507          3        7        ERR129125
508          3        7        ERR069705
509          3        7        ERR065328
510          3        5        ERR129031
511          3        5        ERR129049
512          3        7        ERR129205
513          3        3        ERR069799
514          3        5        ERR067990
515          3        7        ERR069694
516          3        7        ERR129058
517          3        3        ERR068009
518          1        2        ERR124303
519          3        7        ERR065330
520          3        7        ERR129060
521          3        4        ERR129173
522          3        7        ERR124313
523          3        7        ERR069758
524          3        7        ERR069719
525          3        7        ERR124317
526          3        7        ERR129188
527          3        7        ERR124280
528          3        7        ERR069837
529          3        7        ERR129056
530          3        7        ERR124245
531          2        6        ERR069779
532          3        7        ERR129033
533          3        7        ERR069775
534          3        7        ERR068000
535          3        7        ERR069770
536          3        7        ERR069684
537          3        7        ERR124306
538          3        7        ERR129084
539          2        6        ERR129073
540          2        6        ERR069815
541          3        7        ERR069840
542          3        7        ERR129192
543          3        7        ERR069721
544          3        7        ERR069736
545          3        7        ERR129098
546          3        4        ERR069733
547          3        7        ERR129190
548          3        7        ERR069797
549          3        5        ERR069757
550          3        7        ERR065339
551          3        7        ERR069816
552          3        7        ERR124238
553          3        7        ERR069753
554          3        7        ERR129199
555          3        7        ERR068049
556          3        7        ERR069776
557          3        4        ERR129104
558          3        7        ERR069783
559          3        3        ERR129103
560          3        7        ERR069695
561          3        4        ERR067963
562          2        6        ERR129115
563          3        3        ERR068022
564          3        7        ERR124230
565          3        5        ERR069762
566          3        4        ERR067970
567          3        7        ERR069794
568          3        7        ERR124295
569          3        7        ERR067973
570          3        7        ERR069821
571          3        4        ERR067992
572          3        7        ERR065340
573          3        7        ERR069740
574          1        2        ERR065963
575          3        5        ERR129145
576          3        4        ERR124275
577          3        7        ERR065331
578          3        7        ERR067972
579          2        6        ERR124297
580          3        7        ERR068024
581          3        5        ERR067999
582          3        7        ERR065323
