StrainIndex  Lineage  Cluster  Name
1            3        9        ERR069738
2            1        1        ERR065974
3            3        8        ERR129065
4            3        7        ERR129037
5            3        9        ERR069700
6            3        7        ERR124247
7            3        9        ERR065305
8            3        5        ERR069786
9            3        9        ERR129179
10           3        5        ERR129176
11           3        7        ERR067985
12           3        4        ERR129212
13           3        9        ERR068037
14           3        10       ERR069814
15           3        9        ERR124241
16           3        10       ERR069795
17           3        9        ERR124293
18           3        9        ERR069773
19           3        9        ERR067966
20           3        4        ERR129029
21           3        10       ERR129105
22           3        10       ERR124226
23           3        9        ERR129196
24           3        10       ERR069823
25           3        10       ERR124319
26           3        5        ERR129117
27           3        9        ERR069764
28           3        10       ERR068007
29           3        10       ERR068008
30           3        9        ERR067969
31           3        9        ERR069703
32           3        10       ERR129195
33           3        10       ERR065325
34           2        3        ERR124256
35           3        9        ERR129087
36           3        9        ERR069819
37           3        6        ERR129129
38           3        10       ERR065960
39           3        10       ERR069796
40           3        7        ERR065326
41           3        9        ERR069712
42           3        6        ERR124244
43           3        7        ERR069713
44           3        8        ERR069826
45           1        1        ERR065341
46           3        10       ERR069771
47           3        10       ERR065970
48           1        1        ERR129130
49           3        9        ERR129096
50           3        8        ERR129107
51           2        3        ERR069809
52           3        9        ERR065302
53           3        10       ERR129187
54           3        9        ERR124314
55           3        9        ERR069686
56           3        4        ERR069824
57           2        3        ERR068048
58           3        10       ERR065972
59           3        9        ERR129164
60           3        9        ERR069688
61           3        5        ERR069685
62           3        9        ERR124307
63           3        9        ERR067962
64           3        10       ERR124257
65           3        7        ERR129127
66           3        10       ERR065301
67           3        9        ERR124287
68           3        10       ERR068025
69           3        10       ERR067964
70           3        10       ERR069811
71           3        7        ERR069727
72           3        10       ERR129063
73           3        10       ERR065332
74           2        2        ERR129028
75           3        6        ERR065287
76           3        5        ERR129213
77           3        8        ERR129155
78           3        5        ERR129042
79           3        9        ERR129148
80           3        9        ERR129040
81           3        10       ERR069835
82           3        8        ERR129146
83           3        4        ERR069729
84           3        10       ERR129152
85           3        4        ERR069748
86           3        6        ERR124229
87           3        9        ERR129088
88           3        7        ERR069752
89           2        3        ERR065350
90           3        10       ERR129149
91           3        7        ERR129214
92           3        6        ERR069833
93           3        7        ERR068046
94           3        7        ERR129215
95           3        10       ERR129140
96           3        10       ERR069831
97           2        3        ERR068014
98           3        10       ERR124315
99           3        9        ERR124255
100          3        10       ERR065342
101          3        5        ERR124235
102          3        7        ERR129159
103          3        9        ERR129204
104          2        3        ERR129094
105          3        4        ERR069689
106          3        10       ERR069751
107          3        9        ERR068005
108          3        9        ERR069749
109          3        9        ERR067981
110          3        9        ERR067996
111          3        4        ERR129052
112          3        10       ERR069785
113          2        3        ERR069792
114          3        10       ERR124271
115          3        6        ERR069687
116          3        9        ERR124277
117          2        2        ERR124228
118          3        5        ERR129044
119          3        9        ERR129074
120          3        10       ERR069817
121          3        8        ERR129076
122          3        7        ERR129154
123          3        10       ERR069725
124          3        7        ERR068040
125          3        9        ERR129051
126          3        5        ERR129157
127          2        2        ERR124311
128          3        10       ERR069746
129          2        3        ERR068031
130          3        7        ERR067986
131          3        7        ERR124291
132          3        8        ERR129055
133          3        8        ERR069780
134          3        10       ERR065327
135          3        7        ERR069822
136          3        6        ERR129207
137          3        10       ERR124288
138          3        8        ERR068027
139          3        7        ERR065310
140          3        10       ERR129160
141          3        9        ERR065300
142          3        4        ERR069789
143          3        9        ERR065343
144          3        8        ERR069802
145          3        9        ERR129027
146          3        10       ERR129170
147          3        10       ERR129048
148          3        9        ERR065968
149          1        1        ERR065965
150          3        6        ERR068044
151          3        4        ERR129180
152          3        8        ERR068016
153          3        10       ERR129112
154          3        9        ERR129158
155          3        5        ERR069698
156          3        10       ERR069812
157          3        7        ERR124302
158          2        2        ERR129083
159          2        3        ERR065354
160          3        9        ERR069787
161          3        10       ERR068017
162          3        8        ERR129066
163          3        10       ERR129039
164          3        9        ERR065329
165          3        10       ERR124269
166          3        9        ERR129200
167          3        9        ERR067995
168          3        9        ERR068012
169          3        5        ERR124274
170          3        5        ERR069708
171          3        8        ERR129106
172          3        10       ERR069717
173          3        9        ERR067974
174          3        9        ERR069744
175          3        7        ERR129210
176          3        9        ERR129132
177          3        10       ERR069711
178          3        9        ERR068019
179          3        9        ERR129099
180          3        10       ERR129059
181          3        10       ERR065292
182          2        2        ERR067961
183          3        9        ERR069820
184          2        2        ERR129216
185          3        8        ERR129116
186          3        9        ERR124250
187          3        9        ERR069690
188          3        10       ERR065309
189          3        10       ERR124283
190          3        10       ERR065293
191          3        9        ERR069825
192          2        3        ERR069737
193          3        9        ERR124316
194          3        8        ERR065304
195          3        9        ERR129144
196          3        10       ERR124232
197          3        9        ERR068018
198          3        7        ERR124296
199          3        10       ERR067960
200          3        10       ERR068050
201          3        9        ERR068039
202          3        10       ERR129032
203          3        9        ERR124248
204          3        7        ERR068041
205          3        9        ERR129086
