StrainIndex  Lineage  Cluster  Name
1            5        5        ERR069738
2            5        5        ERR065974
3            5        7        ERR129065
4            5        10       ERR129037
5            5        5        ERR069700
6            5        10       ERR124247
7            4        6        ERR124222
8            5        8        ERR065305
9            5        9        ERR069786
10           5        9        ERR129179
11           5        9        ERR129176
12           4        6        ERR069709
13           5        10       ERR067985
14           5        10       ERR129212
15           5        5        ERR068037
16           5        10       ERR069814
17           5        9        ERR124241
18           5        8        ERR069795
19           5        9        ERR124293
20           3        3        ERR069735
21           5        7        ERR069773
22           5        5        ERR067966
23           5        7        ERR129029
24           5        10       ERR129105
25           5        5        ERR124226
26           5        10       ERR129196
27           5        4        ERR069823
28           3        3        ERR124319
29           4        6        ERR068001
30           5        9        ERR129117
31           5        9        ERR069764
32           5        10       ERR068007
33           5        8        ERR068008
34           5        5        ERR067969
35           5        9        ERR069703
36           5        10       ERR129195
37           5        9        ERR065325
38           5        4        ERR124256
39           5        9        ERR129087
40           5        8        ERR129129
41           5        9        ERR065960
42           5        8        ERR069796
43           5        10       ERR065326
44           5        4        ERR069712
45           5        5        ERR124244
46           4        6        ERR129075
47           5        10       ERR069713
48           5        7        ERR069826
49           5        5        ERR065341
50           5        8        ERR069771
51           2        2        ERR069706
52           5        8        ERR065970
53           5        5        ERR129130
54           5        5        ERR129096
55           5        7        ERR129107
56           5        4        ERR069809
57           5        7        ERR065302
58           4        6        ERR129187
59           5        5        ERR124314
60           5        5        ERR069686
61           5        10       ERR069824
62           5        4        ERR068048
63           5        8        ERR065972
64           5        4        ERR129164
65           5        5        ERR069688
66           5        9        ERR069685
67           5        5        ERR124307
68           5        9        ERR067962
69           4        6        ERR124257
70           5        10       ERR129127
71           5        10       ERR065301
72           5        7        ERR124287
73           5        10       ERR068025
74           5        4        ERR067964
75           5        10       ERR069811
76           5        10       ERR069727
77           5        8        ERR129063
78           5        9        ERR065332
79           5        10       ERR129028
80           5        8        ERR065287
81           5        9        ERR129213
82           5        7        ERR129155
83           5        9        ERR129042
84           5        9        ERR129148
85           5        7        ERR129040
86           5        4        ERR069835
87           5        7        ERR129146
88           5        10       ERR129102
89           5        10       ERR069729
90           5        10       ERR129152
91           5        10       ERR069748
92           4        6        ERR069843
93           5        8        ERR124229
94           5        4        ERR129088
95           5        10       ERR069752
96           5        4        ERR065350
97           5        8        ERR129149
98           5        10       ERR129214
99           5        8        ERR069833
100          5        10       ERR124310
101          5        10       ERR068046
102          5        10       ERR129215
103          5        8        ERR129140
104          5        8        ERR069831
105          4        6        ERR068014
106          5        8        ERR124315
107          4        6        ERR124255
108          5        10       ERR065342
109          5        9        ERR124235
110          5        10       ERR129159
111          5        5        ERR129204
112          4        6        ERR129094
113          5        10       ERR069689
114          5        8        ERR069751
115          4        6        ERR068005
116          5        9        ERR069749
117          5        4        ERR067981
118          5        5        ERR067996
119          5        7        ERR129052
120          4        6        ERR069785
121          4        6        ERR069792
122          5        10       ERR124271
123          5        8        ERR069687
124          5        9        ERR124277
125          5        9        ERR124228
126          4        6        ERR129044
127          4        6        ERR065353
128          5        9        ERR129074
129          5        8        ERR069817
130          4        6        ERR065953
131          5        7        ERR129076
132          5        10       ERR129154
133          5        9        ERR069725
134          5        10       ERR068040
135          5        4        ERR129051
136          5        9        ERR129157
137          5        10       ERR124311
138          5        4        ERR069746
139          4        6        ERR068031
140          5        10       ERR067986
141          5        10       ERR124291
142          5        7        ERR129055
143          5        7        ERR069780
144          5        10       ERR065327
145          5        10       ERR069822
146          5        8        ERR129207
147          3        3        ERR124288
148          5        9        ERR129026
149          5        9        ERR124218
150          5        7        ERR068027
151          4        6        ERR069710
152          5        10       ERR065310
153          5        8        ERR129160
154          5        9        ERR065300
155          5        10       ERR069789
156          5        5        ERR065343
157          5        7        ERR069802
158          4        6        ERR129027
159          5        8        ERR129170
160          5        10       ERR129048
161          5        4        ERR065968
162          5        5        ERR065965
163          5        8        ERR068044
164          5        10       ERR129180
165          5        5        ERR068016
166          5        9        ERR065324
