StrainIndex  Lineage  Cluster  Name
1            3        6        ERR069738
2            3        6        ERR065974
3            3        6        ERR129065
4            3        6        ERR129037
5            2        3        ERR069700
6            3        6        ERR124247
7            2        5        ERR124222
8            2        5        ERR065305
9            2        5        ERR069786
10           3        4        ERR129179
11           2        5        ERR129176
12           3        6        ERR069709
13           3        6        ERR067985
14           2        5        ERR129212
15           3        6        ERR068037
16           3        6        ERR069814
17           3        4        ERR124241
18           2        5        ERR069795
19           3        4        ERR124293
20           2        5        ERR069735
21           3        6        ERR069773
22           2        3        ERR067966
23           3        6        ERR129029
24           2        3        ERR129105
25           3        6        ERR124226
26           2        3        ERR129196
27           3        4        ERR069823
28           2        5        ERR124319
29           3        6        ERR068001
30           2        5        ERR129117
31           3        6        ERR069764
32           3        6        ERR068007
33           2        5        ERR068008
34           2        3        ERR067969
35           3        4        ERR069703
36           2        3        ERR129195
37           3        4        ERR065325
38           3        6        ERR124256
39           3        4        ERR129087
40           2        5        ERR069819
41           2        5        ERR129129
42           3        4        ERR065960
43           2        5        ERR069796
44           3        6        ERR065326
45           3        6        ERR069712
46           2        5        ERR124244
47           2        5        ERR129075
48           3        6        ERR069713
49           3        6        ERR069826
50           3        6        ERR065341
51           2        5        ERR069771
52           2        5        ERR069706
53           2        5        ERR065970
54           3        6        ERR129130
55           3        6        ERR129096
56           3        6        ERR129107
57           3        6        ERR069809
58           3        6        ERR065302
59           3        6        ERR129187
60           2        3        ERR124314
61           3        6        ERR069686
62           3        2        ERR069824
63           3        2        ERR068048
64           2        5        ERR065972
65           3        6        ERR129164
66           3        6        ERR069688
67           2        5        ERR069685
68           3        6        ERR124307
69           3        4        ERR067962
70           3        6        ERR124257
71           3        6        ERR129127
72           2        3        ERR065301
73           3        6        ERR124287
74           3        6        ERR068025
75           3        4        ERR067964
76           3        6        ERR069811
77           3        6        ERR069727
78           2        5        ERR129063
79           2        5        ERR065332
80           3        6        ERR129028
81           2        5        ERR065287
82           2        5        ERR129213
83           3        6        ERR129155
84           2        5        ERR129042
85           3        4        ERR129148
86           3        6        ERR129040
87           3        4        ERR069835
88           3        6        ERR129146
89           3        6        ERR129102
90           3        2        ERR069729
91           3        6        ERR129152
92           2        5        ERR069748
93           2        5        ERR069843
94           2        5        ERR124229
95           2        5        ERR129088
96           3        6        ERR069752
97           3        6        ERR065350
98           2        5        ERR129149
99           3        6        ERR129214
100          2        5        ERR069833
101          3        6        ERR124310
102          3        6        ERR068046
103          3        6        ERR129215
104          2        5        ERR129140
105          2        5        ERR069831
106          3        6        ERR068014
107          2        5        ERR124315
108          2        5        ERR124255
109          2        3        ERR065342
110          2        5        ERR124235
111          3        6        ERR129159
112          3        6        ERR129204
113          3        6        ERR129094
114          2        5        ERR069689
115          2        5        ERR069751
116          3        6        ERR068005
117          3        4        ERR069749
118          3        6        ERR067981
119          3        6        ERR067996
120          3        6        ERR129052
121          3        4        ERR069785
122          3        6        ERR069792
123          2        3        ERR124271
124          2        5        ERR069687
125          3        4        ERR124277
126          2        5        ERR124228
127          2        3        ERR129044
128          3        6        ERR065353
129          3        4        ERR129074
130          2        5        ERR069817
131          3        6        ERR065953
132          3        6        ERR129076
133          3        6        ERR129154
134          2        5        ERR069725
135          3        6        ERR068040
136          3        6        ERR129051
137          2        5        ERR129157
138          3        6        ERR124311
139          3        4        ERR069746
140          3        6        ERR068031
141          3        6        ERR067986
142          3        6        ERR124291
143          3        6        ERR129055
144          3        6        ERR069780
145          3        6        ERR065327
146          3        6        ERR069822
147          2        5        ERR129207
148          2        5        ERR124288
149          2        5        ERR129026
150          3        6        ERR124218
151          3        6        ERR068027
152          3        6        ERR069710
153          3        6        ERR065310
154          2        5        ERR129160
155          3        4        ERR065300
156          3        6        ERR069789
157          3        6        ERR065343
158          3        6        ERR069802
159          3        6        ERR129027
160          2        5        ERR129170
161          3        6        ERR129048
162          3        6        ERR065968
163          3        6        ERR065965
164          2        5        ERR068044
165          2        5        ERR129180
166          3        6        ERR068016
167          3        4        ERR065324
168          2        5        ERR129112
169          3        6        ERR129158
170          2        5        ERR069698
171          3        4        ERR069812
172          3        6        ERR124302
173          3        6        ERR129083
174          3        6        ERR065354
175          2        3        ERR069787
176          2        5        ERR068017
177          3        6        ERR129066
178          3        6        ERR129039
179          3        4        ERR065329
180          2        5        ERR124269
181          3        4        ERR129200
182          3        6        ERR067995
183          3        6        ERR068012
184          2        5        ERR124274
185          3        2        ERR067993
186          2        5        ERR069708
187          3        6        ERR129106
188          2        5        ERR069717
189          2        5        ERR067974
190          2        3        ERR069744
191          3        6        ERR129210
192          2        5        ERR129108
193          3        6        ERR129132
194          2        5        ERR069711
195          3        4        ERR068019
196          3        4        ERR129099
197          2        5        ERR129059
198          3        4        ERR065292
199          2        5        ERR067961
200          3        6        ERR069820
201          3        6        ERR129216
202          3        6        ERR129116
203          3        4        ERR124250
204          3        6        ERR069690
205          2        5        ERR065973
206          3        6        ERR065309
207          2        5        ERR124283
208          2        5        ERR065293
209          2        3        ERR069825
210          3        6        ERR069737
211          3        4        ERR124316
212          3        6        ERR065304
213          2        3        ERR129144
214          3        6        ERR124232
215          3        6        ERR068018
216          3        6        ERR124296
217          2        5        ERR067960
218          2        5        ERR068050
219          3        6        ERR068039
220          3        6        ERR068004
221          2        5        ERR129032
222          3        6        ERR124248
223          3        6        ERR068041
224          3        4        ERR129086
225          2        5        ERR065317
226          3        4        ERR069834
227          2        5        ERR069720
228          3        4        ERR129050
229          3        6        ERR129064
230          3        6        ERR069830
231          2        5        ERR069774
232          3        6        ERR129206
233          3        6        ERR069801
234          2        5        ERR124221
235          3        6        ERR129080
236          2        5        ERR068026
237          3        6        ERR129147
238          2        5        ERR069829
239          2        3        ERR129077
240          3        6        ERR067994
241          3        4        ERR069726
242          3        6        ERR065338
243          2        3        ERR129041
244          2        5        ERR065297
245          2        5        ERR129120
246          2        5        ERR129061
247          3        6        ERR124219
248          3        6        ERR065345
249          3        6        ERR124305
250          3        6        ERR069769
251          2        5        ERR065295
252          3        6        ERR069768
253          2        5        ERR129197
254          3        4        ERR065967
255          3        6        ERR124223
256          3        6        ERR069734
257          2        5        ERR129167
258          3        4        ERR129143
259          3        4        ERR124299
260          3        6        ERR129092
261          3        6        ERR129090
262          3        4        ERR068002
263          3        6        ERR068003
264          3        6        ERR124268
265          3        6        ERR129181
266          2        5        ERR069696
267          2        5        ERR129072
268          3        4        ERR065344
269          3        6        ERR129111
270          2        5        ERR068006
271          2        5        ERR068035
272          2        5        ERR069798
273          3        6        ERR124278
274          3        6        ERR069760
275          2        5        ERR067984
276          1        1        ERR069782
277          3        4        ERR124236
278          2        5        ERR068045
279          3        6        ERR065959
280          3        6        ERR129045
281          2        5        ERR069781
282          2        5        ERR069832
283          2        5        ERR065320
284          2        5        ERR124292
285          2        5        ERR129186
286          2        5        ERR124308
287          2        5        ERR129043
288          2        5        ERR069805
289          2        5        ERR124220
290          3        6        ERR069800
291          3        6        ERR068021
292          2        3        ERR067998
293          2        5        ERR124312
294          2        5        ERR065971
295          2        5        ERR129183
296          2        5        ERR068034
297          3        6        ERR065311
298          3        6        ERR068020
299          3        6        ERR069767
300          3        6        ERR067967
301          2        5        ERR069691
302          3        6        ERR129161
303          2        5        ERR069716
304          2        3        ERR124289
305          2        5        ERR129153
306          3        6        ERR129057
307          3        6        ERR067977
308          3        6        ERR129131
309          3        2        ERR069772
310          2        5        ERR124281
311          2        5        ERR069750
312          3        6        ERR069715
313          2        5        ERR124227
314          3        6        ERR069683
315          2        5        ERR069813
316          3        6        ERR124253
317          2        5        ERR069724
318          3        6        ERR065966
319          3        2        ERR069803
320          2        5        ERR124267
321          3        6        ERR124254
322          2        5        ERR129168
323          2        3        ERR124320
324          3        6        ERR065298
325          3        6        ERR069804
326          2        5        ERR065303
327          2        5        ERR065957
328          2        5        ERR068042
329          3        6        ERR069692
330          2        5        ERR124249
331          3        6        ERR069759
332          3        6        ERR069723
333          3        6        ERR067976
334          3        6        ERR065307
335          3        4        ERR065962
336          2        5        ERR069745
337          2        5        ERR129081
338          2        5        ERR129198
339          2        5        ERR069742
340          2        5        ERR069718
341          2        5        ERR124224
342          3        6        ERR069790
343          3        6        ERR069827
344          2        5        ERR129142
345          2        3        ERR124309
346          3        2        ERR069806
347          3        6        ERR129068
348          2        5        ERR067978
349          3        2        ERR069741
350          3        6        ERR129136
351          2        5        ERR129062
352          3        6        ERR129203
353          2        5        ERR068032
354          3        6        ERR065316
355          3        6        ERR124217
356          3        6        ERR067991
357          2        5        ERR124284
358          3        6        ERR129079
359          2        5        ERR069722
360          3        6        ERR124260
361          2        5        ERR069701
362          2        5        ERR129162
363          3        6        ERR129124
364          3        6        ERR124246
365          3        4        ERR065299
366          2        3        ERR129184
367          2        5        ERR124233
368          3        6        ERR124266
369          2        3        ERR069818
370          3        4        ERR068029
371          2        5        ERR124239
372          3        4        ERR124279
373          2        5        ERR129175
374          2        5        ERR065294
375          3        6        ERR129139
376          3        6        ERR069778
377          3        6        ERR068015
378          2        3        ERR129128
379          3        4        ERR129163
380          2        5        ERR068028
381          3        6        ERR065355
382          2        5        ERR068023
383          3        2        ERR069777
384          2        5        ERR069791
385          2        5        ERR124263
386          2        5        ERR069704
387          3        4        ERR129134
388          2        5        ERR129025
389          3        4        ERR065351
390          3        6        ERR069807
391          2        5        ERR129209
392          2        5        ERR069761
393          2        5        ERR129034
394          2        5        ERR129172
395          3        6        ERR124240
