StrainIndex  Lineage  Cluster  Name
1            4        5        ERR129037
2            4        5        ERR069700
3            4        5        ERR129176
4            4        5        ERR067985
5            4        4        ERR069814
6            4        5        ERR069795
7            4        5        ERR069735
8            4        5        ERR069773
9            4        5        ERR067966
10           4        5        ERR124226
11           4        5        ERR129196
12           4        5        ERR124319
13           4        4        ERR068001
14           4        5        ERR129117
15           4        5        ERR069764
16           4        4        ERR068007
17           4        5        ERR067969
18           4        5        ERR129129
19           4        5        ERR065326
20           4        5        ERR124244
21           4        5        ERR069713
22           4        5        ERR065970
23           4        5        ERR065302
24           4        5        ERR124314
25           1        1        ERR068048
26           4        4        ERR124257
27           4        5        ERR129127
28           4        5        ERR069727
29           4        5        ERR065332
30           4        5        ERR129028
31           4        5        ERR065287
32           4        5        ERR129213
33           4        5        ERR129042
34           4        5        ERR129040
35           4        5        ERR124229
36           4        5        ERR069752
37           4        5        ERR129214
38           4        5        ERR069833
39           4        5        ERR124310
40           4        5        ERR068046
41           4        5        ERR129215
42           4        5        ERR124315
43           4        5        ERR124255
44           4        5        ERR124235
45           4        5        ERR129159
46           4        5        ERR069751
47           3        3        ERR069785
48           4        5        ERR069687
49           4        5        ERR065953
50           4        5        ERR129154
51           4        5        ERR069725
52           4        5        ERR068040
53           4        5        ERR129157
54           4        5        ERR067986
55           4        5        ERR124291
56           4        5        ERR069822
57           4        5        ERR129207
58           4        5        ERR124288
59           4        5        ERR129026
60           4        5        ERR065310
61           4        4        ERR069789
62           4        5        ERR129048
63           4        5        ERR068044
64           4        5        ERR068016
65           4        5        ERR069698
66           4        5        ERR124302
67           4        5        ERR129083
68           4        5        ERR069787
69           4        5        ERR129066
70           4        5        ERR124274
71           4        5        ERR069708
72           4        5        ERR067974
73           4        5        ERR069744
74           4        5        ERR129210
75           4        5        ERR069711
76           4        5        ERR129216
77           4        5        ERR065309
78           4        5        ERR124283
79           4        5        ERR065293
80           4        5        ERR069825
81           4        5        ERR065304
82           4        5        ERR129144
83           4        5        ERR124296
84           4        5        ERR067960
85           4        5        ERR068039
86           4        5        ERR068004
87           4        5        ERR068041
88           1        1        ERR129086
89           4        5        ERR129064
90           4        5        ERR069774
91           4        5        ERR069801
92           4        5        ERR124221
93           4        5        ERR129080
94           4        5        ERR068026
95           4        5        ERR069829
96           4        5        ERR129077
97           4        5        ERR065297
98           4        5        ERR129061
99           4        5        ERR124305
100          4        5        ERR069769
101          4        5        ERR065295
102          4        5        ERR124223
103          4        5        ERR129167
104          4        5        ERR124268
105          4        5        ERR129111
106          4        5        ERR069760
107          4        5        ERR069782
108          4        5        ERR068045
109          4        5        ERR065959
110          4        5        ERR129045
111          4        5        ERR065320
112          4        5        ERR129186
113          4        5        ERR124308
114          4        5        ERR129043
115          4        5        ERR124220
116          4        4        ERR068021
117          4        5        ERR069691
118          4        5        ERR129131
119          4        5        ERR124227
120          4        5        ERR124253
121          4        5        ERR069724
122          4        5        ERR124267
123          4        5        ERR069804
124          4        5        ERR065303
125          4        5        ERR065957
126          4        5        ERR068042
127          4        5        ERR124249
128          4        5        ERR129081
129          4        5        ERR129198
130          4        5        ERR129068
131          4        5        ERR067978
132          4        5        ERR129136
133          4        5        ERR068032
134          4        5        ERR065316
135          4        5        ERR124217
136          4        5        ERR067991
137          4        5        ERR129079
138          2        2        ERR069722
139          3        3        ERR129162
140          4        5        ERR129124
141          4        5        ERR124246
142          4        5        ERR124266
143          4        5        ERR124239
144          4        5        ERR129175
145          4        5        ERR129139
146          4        5        ERR129128
147          4        5        ERR068028
148          4        5        ERR068023
149          4        5        ERR124263
150          4        5        ERR069704
151          4        5        ERR129025
152          4        5        ERR129034
153          4        5        ERR124240
154          4        5        ERR069828
155          4        5        ERR069838
156          4        5        ERR129038
157          4        5        ERR124294
158          4        5        ERR067975
159          4        5        ERR124272
160          4        5        ERR124225
161          4        5        ERR065321
162          4        5        ERR069707
163          4        5        ERR068047
164          4        5        ERR067982
165          4        5        ERR068010
166          2        2        ERR065349
167          4        5        ERR068030
168          4        5        ERR065291
169          4        5        ERR069763
170          4        5        ERR124300
171          4        5        ERR129202
172          4        5        ERR129178
173          4        5        ERR124265
174          4        5        ERR129121
175          4        5        ERR067968
176          4        4        ERR129185
177          4        5        ERR129174
178          4        5        ERR129177
179          4        5        ERR069839
180          4        5        ERR129182
181          4        5        ERR124242
182          4        5        ERR129138
183          4        5        ERR065337
184          4        5        ERR129137
185          4        5        ERR065308
186          3        3        ERR065958
187          4        5        ERR129054
188          4        5        ERR069747
189          4        5        ERR124251
190          3        3        ERR129110
191          4        5        ERR065975
192          4        5        ERR069702
193          4        5        ERR068038
194          4        5        ERR065964
195          4        5        ERR129125
196          4        5        ERR069705
197          2        2        ERR068009
198          4        5        ERR124303
199          4        5        ERR129060
200          4        5        ERR124313
201          4        5        ERR129188
202          4        5        ERR069837
203          4        5        ERR129056
204          4        5        ERR069775
205          4        5        ERR068000
206          4        5        ERR069840
207          4        5        ERR129190
208          3        3        ERR069797
209          4        5        ERR069757
210          4        5        ERR068049
211          4        5        ERR129103
212          2        2        ERR068022
213          4        5        ERR124230
214          4        5        ERR124295
215          3        3        ERR069821
216          4        5        ERR065340
217          4        5        ERR065963
218          4        5        ERR129145
219          4        4        ERR067972
220          4        5        ERR124297
221          4        5        ERR065319
222          4        5        ERR129093
223          1        1        ERR067979
224          4        5        ERR124286
225          4        5        ERR129211
226          4        5        ERR124298
227          4        5        ERR129030
