StrainIndex  Lineage  Cluster  Name
1            1        4        ERR069738
2            4        2        ERR065974
3            3        7        ERR129065
4            4        9        ERR129037
5            2        3        ERR069700
6            4        9        ERR124247
7            4        10       ERR124222
8            4        10       ERR065305
9            3        5        ERR069786
10           3        6        ERR129179
11           3        5        ERR129176
12           4        9        ERR069709
13           4        9        ERR067985
14           4        10       ERR129212
15           4        8        ERR068037
16           4        10       ERR069814
17           3        6        ERR124241
18           4        10       ERR069795
19           3        6        ERR124293
20           4        10       ERR069735
21           2        1        ERR069773
22           2        3        ERR067966
23           3        7        ERR129029
24           2        3        ERR129105
25           3        5        ERR124226
26           2        3        ERR129196
27           4        8        ERR069823
28           3        5        ERR124319
29           4        9        ERR068001
30           3        5        ERR129117
31           1        4        ERR069764
32           4        10       ERR068007
33           4        10       ERR068008
34           2        3        ERR067969
35           3        6        ERR069703
36           2        3        ERR129195
37           1        4        ERR065325
38           4        8        ERR124256
39           3        6        ERR129087
40           4        10       ERR069819
41           4        10       ERR129129
42           1        4        ERR065960
43           4        10       ERR069796
44           4        9        ERR065326
45           4        8        ERR069712
46           4        10       ERR124244
47           4        10       ERR129075
48           4        9        ERR069713
49           3        7        ERR069826
50           4        2        ERR065341
51           4        10       ERR069771
52           4        9        ERR069706
53           4        10       ERR065970
54           4        2        ERR129130
55           1        4        ERR129096
56           3        7        ERR129107
57           4        8        ERR069809
58           2        1        ERR065302
59           1        4        ERR129187
60           2        3        ERR124314
61           4        8        ERR069686
62           4        9        ERR069824
63           4        8        ERR068048
64           4        10       ERR065972
65           4        8        ERR129164
66           4        8        ERR069688
67           3        5        ERR069685
68           1        4        ERR124307
69           3        6        ERR067962
70           4        10       ERR124257
71           4        9        ERR129127
72           2        3        ERR065301
73           3        7        ERR124287
74           4        8        ERR068025
75           3        7        ERR067964
76           4        8        ERR069811
77           4        9        ERR069727
78           4        10       ERR129063
79           3        7        ERR065332
80           4        9        ERR129028
81           4        10       ERR065287
82           3        5        ERR129213
83           3        7        ERR129155
84           3        5        ERR129042
85           3        6        ERR129148
86           2        1        ERR129040
87           4        8        ERR069835
88           3        7        ERR129146
89           4        9        ERR129102
90           4        9        ERR069729
91           4        8        ERR129152
92           4        10       ERR069748
93           4        10       ERR069843
94           4        10       ERR124229
95           4        8        ERR129088
96           4        9        ERR069752
97           4        8        ERR065350
98           4        10       ERR129149
99           4        9        ERR129214
100          4        10       ERR069833
101          4        10       ERR124310
102          4        9        ERR068046
103          4        9        ERR129215
104          4        10       ERR129140
105          4        10       ERR069831
106          1        4        ERR068014
107          4        10       ERR124315
108          4        10       ERR124255
109          2        3        ERR065342
110          3        5        ERR124235
111          4        9        ERR129159
112          1        4        ERR129204
113          1        4        ERR129094
114          4        10       ERR069689
115          4        10       ERR069751
116          3        7        ERR068005
117          3        6        ERR069749
118          4        8        ERR067981
119          4        8        ERR067996
120          3        7        ERR129052
121          4        10       ERR069785
122          1        4        ERR069792
123          4        9        ERR124271
124          4        10       ERR069687
125          3        6        ERR124277
126          4        8        ERR124228
127          4        8        ERR129044
128          4        9        ERR065353
129          3        6        ERR129074
130          4        10       ERR069817
131          2        1        ERR065953
132          3        7        ERR129076
133          4        9        ERR129154
134          3        7        ERR069725
135          4        9        ERR068040
136          4        8        ERR129051
137          3        5        ERR129157
138          4        8        ERR124311
139          4        8        ERR069746
140          1        4        ERR068031
141          4        9        ERR067986
142          4        9        ERR124291
143          3        7        ERR129055
144          3        7        ERR069780
145          4        8        ERR065327
146          4        9        ERR069822
147          4        10       ERR129207
148          3        5        ERR124288
149          3        7        ERR129026
150          4        9        ERR124218
151          3        7        ERR068027
152          4        9        ERR069710
153          4        9        ERR065310
154          4        10       ERR129160
155          3        6        ERR065300
156          4        10       ERR069789
157          4        8        ERR065343
158          3        7        ERR069802
159          4        9        ERR129027
160          4        10       ERR129170
161          4        10       ERR129048
162          4        8        ERR065968
163          4        2        ERR065965
164          4        10       ERR068044
165          4        10       ERR129180
166          3        5        ERR068016
167          3        6        ERR065324
168          4        10       ERR129112
169          4        8        ERR129158
170          3        7        ERR069698
171          4        8        ERR069812
172          4        9        ERR124302
173          4        9        ERR129083
174          1        4        ERR065354
175          2        3        ERR069787
176          4        10       ERR068017
177          3        5        ERR129066
178          4        8        ERR129039
179          3        6        ERR065329
180          4        10       ERR124269
181          4        10       ERR129200
182          4        8        ERR067995
183          4        8        ERR068012
184          3        7        ERR124274
185          4        2        ERR067993
186          3        5        ERR069708
187          3        7        ERR129106
188          4        10       ERR069717
189          4        10       ERR067974
190          2        3        ERR069744
191          4        9        ERR129210
192          4        10       ERR129108
193          4        8        ERR129132
194          4        10       ERR069711
195          3        6        ERR068019
196          3        6        ERR129099
197          4        10       ERR129059
198          4        8        ERR065292
199          4        8        ERR067961
200          4        8        ERR069820
201          4        9        ERR129216
202          3        7        ERR129116
203          3        6        ERR124250
204          4        8        ERR069690
205          4        10       ERR065973
206          4        10       ERR065309
207          3        7        ERR124283
208          3        7        ERR065293
209          4        9        ERR069825
210          1        4        ERR069737
211          3        6        ERR124316
212          3        5        ERR065304
213          2        3        ERR129144
214          4        8        ERR124232
215          4        8        ERR068018
216          4        9        ERR124296
217          4        10       ERR067960
218          4        10       ERR068050
219          2        1        ERR068039
220          4        9        ERR068004
221          4        10       ERR129032
222          1        4        ERR124248
223          4        9        ERR068041
224          3        6        ERR129086
