StrainIndex  Lineage  Cluster  Name
1            2        4        ERR069795
2            2        4        ERR129196
3            2        4        ERR129129
4            2        4        ERR124244
5            2        4        ERR065970
6            2        2        ERR065972
7            1        1        ERR065332
8            2        4        ERR065287
9            2        4        ERR124229
10           2        4        ERR129149
11           2        4        ERR069833
12           2        4        ERR069751
13           2        4        ERR069687
14           1        1        ERR069725
15           2        4        ERR129207
16           2        4        ERR124288
17           1        3        ERR129026
18           2        4        ERR068044
19           1        3        ERR124274
20           2        2        ERR067974
21           2        4        ERR069711
22           1        3        ERR069820
23           1        1        ERR124283
24           1        3        ERR065293
25           2        4        ERR129144
26           2        4        ERR067960
27           2        4        ERR068050
28           2        4        ERR129032
29           2        4        ERR069774
30           1        3        ERR068026
31           2        4        ERR069829
32           1        3        ERR065297
33           1        3        ERR129061
34           2        4        ERR068045
35           1        3        ERR065320
36           2        4        ERR129186
37           2        4        ERR124220
38           2        4        ERR068034
39           2        4        ERR069691
40           1        1        ERR069724
41           2        4        ERR124267
42           1        3        ERR068042
43           1        3        ERR124249
44           2        4        ERR129081
45           1        3        ERR129198
46           1        3        ERR067978
47           1        3        ERR068032
48           1        1        ERR124239
49           2        4        ERR129175
50           1        3        ERR068028
51           2        4        ERR124263
52           2        4        ERR069704
53           2        2        ERR069761
54           2        4        ERR129034
55           2        4        ERR069828
56           2        4        ERR124294
57           2        2        ERR129046
58           1        3        ERR124272
59           2        4        ERR124225
60           2        4        ERR065288
61           2        4        ERR129091
62           2        4        ERR068010
63           2        4        ERR065291
64           1        3        ERR124300
65           2        2        ERR129121
66           2        2        ERR129174
67           2        4        ERR129182
68           2        4        ERR065337
69           1        3        ERR129054
70           2        4        ERR124251
71           2        4        ERR065975
72           2        4        ERR068038
73           2        2        ERR129125
74           2        4        ERR069705
75           1        3        ERR129060
76           2        4        ERR124313
77           2        2        ERR129033
78           2        4        ERR129190
79           1        3        ERR068049
80           2        4        ERR065340
81           2        4        ERR124297
82           2        4        ERR065319
83           2        4        ERR124286
