StrainIndex  Lineage  Cluster  Name
1            3        5        ERR124222
2            2        2        ERR069814
3            2        3        ERR069773
4            3        4        ERR129105
5            3        4        ERR129196
6            2        2        ERR068007
7            3        4        ERR129195
8            3        5        ERR129075
9            3        5        ERR069706
10           2        3        ERR065302
11           2        2        ERR124257
12           3        4        ERR065301
13           2        3        ERR129040
14           3        5        ERR069843
15           3        5        ERR124255
16           3        4        ERR065342
17           1        1        ERR129204
18           1        1        ERR067996
19           2        2        ERR069789
20           3        5        ERR065973
21           3        4        ERR129144
22           2        3        ERR068039
23           3        5        ERR069720
24           3        4        ERR129077
25           3        5        ERR068003
26           2        2        ERR068021
27           3        4        ERR067998
28           3        4        ERR124320
29           3        5        ERR129062
30           2        3        ERR129124
31           3        5        ERR124233
32           3        4        ERR069818
33           3        5        ERR069791
34           3        4        ERR069714
35           3        4        ERR129053
36           3        5        ERR129151
37           2        3        ERR065321
38           3        5        ERR124252
39           3        5        ERR067982
40           3        4        ERR068010
41           3        5        ERR069842
42           2        2        ERR129185
43           3        4        ERR129182
44           3        5        ERR129036
45           3        5        ERR069699
46           3        5        ERR069793
47           3        5        ERR129031
48           3        5        ERR129049
49           3        4        ERR069799
50           3        5        ERR067990
51           2        3        ERR129188
52           2        3        ERR129056
53           2        3        ERR069775
54           3        5        ERR069815
55           3        5        ERR069840
56           3        5        ERR069762
57           2        2        ERR067972
58           3        5        ERR067999
59           3        5        ERR129193
