StrainIndex  Lineage  Cluster  Name
1            3        3        ERR069700
2            3        3        ERR067966
3            3        3        ERR124314
4            1        1        ERR124311
5            3        3        ERR069787
6            2        2        ERR069825
7            2        2        ERR124268
8            3        3        ERR129128
9            3        3        ERR069763
10           3        3        ERR069747
11           3        3        ERR124303
12           2        2        ERR124306
