StrainIndex  Lineage  Cluster  Name
1            1        6        ERR069738
2            2        9        ERR065974
3            2        8        ERR129065
4            2        7        ERR129037
5            1        4        ERR124247
6            2        8        ERR124222
7            2        10       ERR065305
8            2        3        ERR069786
9            2        5        ERR129179
10           1        6        ERR129176
11           1        6        ERR069709
12           2        7        ERR067985
13           1        4        ERR129212
14           1        6        ERR068037
15           1        4        ERR069814
16           2        5        ERR124241
17           2        10       ERR069795
18           2        5        ERR124293
19           1        4        ERR069735
20           1        6        ERR069773
21           2        8        ERR129029
22           2        2        ERR129105
23           1        4        ERR124226
24           2        2        ERR129196
25           2        9        ERR069823
26           1        6        ERR124319
27           1        6        ERR068001
28           1        6        ERR129117
29           1        4        ERR068007
30           2        10       ERR068008
31           2        5        ERR069703
32           2        2        ERR129195
33           2        3        ERR065325
34           2        9        ERR124256
35           2        5        ERR129087
36           1        4        ERR069819
37           2        10       ERR129129
38           2        3        ERR065960
39           2        10       ERR069796
40           2        7        ERR065326
41           2        9        ERR069712
42           1        4        ERR124244
43           2        8        ERR129075
44           2        7        ERR069713
45           2        8        ERR069826
46           2        9        ERR065341
47           2        10       ERR069771
48           2        8        ERR069706
49           2        10       ERR065970
50           2        9        ERR129130
51           1        6        ERR129096
52           2        8        ERR129107
53           2        9        ERR069809
54           1        6        ERR065302
55           2        3        ERR129187
56           1        6        ERR069686
57           2        9        ERR069824
58           2        9        ERR068048
59           2        10       ERR065972
60           2        9        ERR129164
61           1        6        ERR069688
62           2        3        ERR069685
63           1        6        ERR124307
64           2        5        ERR067962
65           2        7        ERR124257
66           2        7        ERR129127
67           2        2        ERR065301
68           2        8        ERR124287
69           2        9        ERR068025
70           2        9        ERR067964
71           2        9        ERR069811
72           2        7        ERR069727
73           2        10       ERR129063
74           2        7        ERR065332
75           2        8        ERR129028
76           2        10       ERR065287
77           1        6        ERR129213
78           2        8        ERR129155
79           1        6        ERR129042
80           2        5        ERR129148
81           1        6        ERR129040
82           2        9        ERR069835
83           2        8        ERR129146
84           2        5        ERR129102
85           2        9        ERR069729
86           2        9        ERR129152
87           1        4        ERR069748
88           2        8        ERR069843
89           2        10       ERR124229
90           2        9        ERR129088
91           2        7        ERR069752
92           2        7        ERR065350
93           2        10       ERR129149
94           2        7        ERR129214
95           2        10       ERR069833
96           2        9        ERR124310
97           2        7        ERR068046
98           2        7        ERR129215
99           2        10       ERR129140
100          2        10       ERR069831
101          2        3        ERR068014
102          2        10       ERR124315
103          2        8        ERR124255
104          2        2        ERR065342
105          1        6        ERR124235
106          2        7        ERR129159
107          1        6        ERR129204
108          2        3        ERR129094
109          1        4        ERR069689
110          2        10       ERR069751
111          2        2        ERR068005
112          2        5        ERR069749
113          2        9        ERR067981
114          1        6        ERR067996
115          2        8        ERR129052
116          2        10       ERR069785
117          2        3        ERR069792
118          1        4        ERR124271
119          2        10       ERR069687
120          2        5        ERR124277
121          2        9        ERR124228
122          2        3        ERR129044
123          1        6        ERR065353
124          2        5        ERR129074
125          2        10       ERR069817
126          1        6        ERR065953
127          2        8        ERR129076
128          2        7        ERR129154
129          2        7        ERR069725
130          2        7        ERR068040
131          2        9        ERR129051
132          1        6        ERR129157
133          2        9        ERR124311
134          2        9        ERR069746
135          2        3        ERR068031
136          2        7        ERR067986
137          2        7        ERR124291
138          2        8        ERR129055
