StrainIndex  Lineage  Cluster  Name
1            3        4        ERR065974
2            3        5        ERR129065
3            3        4        ERR129037
4            3        4        ERR069700
5            2        3        ERR124247
6            2        2        ERR129179
7            2        3        ERR069709
8            3        4        ERR067985
9            3        4        ERR069814
10           2        2        ERR124241
11           2        2        ERR124293
12           2        3        ERR069773
13           3        4        ERR067966
14           3        5        ERR129029
15           3        4        ERR129105
16           3        4        ERR124226
17           3        4        ERR129196
18           2        3        ERR068001
19           2        3        ERR069764
20           3        4        ERR068007
21           3        4        ERR067969
22           2        2        ERR069703
23           3        4        ERR129195
24           2        3        ERR065325
25           3        5        ERR124256
26           2        2        ERR129087
27           2        3        ERR065960
28           3        4        ERR065326
29           3        4        ERR069713
30           3        5        ERR069826
31           3        4        ERR065341
32           3        4        ERR129130
33           3        5        ERR129107
34           3        5        ERR069809
35           2        3        ERR065302
36           3        4        ERR124314
37           3        5        ERR068048
38           3        5        ERR069685
39           2        2        ERR067962
40           3        4        ERR124257
41           3        4        ERR129127
42           3        4        ERR065301
43           3        5        ERR124287
44           2        3        ERR068025
45           2        3        ERR069811
46           3        4        ERR069727
47           2        3        ERR129028
48           3        5        ERR129155
49           2        2        ERR129148
50           2        3        ERR129040
51           3        5        ERR129146
52           2        3        ERR129152
53           3        4        ERR069752
54           3        5        ERR065350
55           3        4        ERR129214
56           3        5        ERR124310
57           3        4        ERR068046
58           3        4        ERR129215
59           2        3        ERR068014
60           3        4        ERR065342
61           3        4        ERR129159
62           2        3        ERR129094
63           2        2        ERR069749
64           3        5        ERR129052
65           3        5        ERR069792
66           2        3        ERR124271
67           2        2        ERR124277
68           3        4        ERR124228
69           2        3        ERR129044
70           2        2        ERR129074
71           2        3        ERR065953
72           3        5        ERR129076
73           3        4        ERR129154
74           3        4        ERR068040
75           2        3        ERR124311
76           3        5        ERR068031
77           3        4        ERR067986
78           3        4        ERR124291
79           3        5        ERR129055
80           3        5        ERR069780
81           2        3        ERR065327
82           3        4        ERR069822
83           3        5        ERR124218
84           3        5        ERR068027
85           2        3        ERR069710
86           3        4        ERR065310
87           2        2        ERR065300
88           3        4        ERR069789
89           3        5        ERR069802
90           3        5        ERR129048
91           3        4        ERR065965
92           3        5        ERR068016
93           2        2        ERR065324
94           3        4        ERR124302
95           2        3        ERR129083
96           3        5        ERR065354
97           3        5        ERR129066
98           2        3        ERR129039
99           2        2        ERR065329
100          2        2        ERR129200
101          1        1        ERR067993
102          3        5        ERR129106
103          3        4        ERR069744
104          3        4        ERR129210
105          2        2        ERR068019
106          2        2        ERR129099
107          3        4        ERR067961
108          3        5        ERR069820
109          2        3        ERR129216
110          3        5        ERR129116
111          2        2        ERR124250
112          3        5        ERR065309
113          3        4        ERR069825
114          3        5        ERR069737
115          2        2        ERR124316
116          3        5        ERR065304
117          3        4        ERR129144
118          2        3        ERR124232
119          3        4        ERR124296
120          2        3        ERR068039
121          3        4        ERR068041
122          2        3        ERR129086
123          2        2        ERR069834
124          2        3        ERR129050
125          3        4        ERR129064
126          3        5        ERR069830
127          2        3        ERR129206
128          3        4        ERR069801
129          3        4        ERR129080
130          3        5        ERR129147
131          3        4        ERR129077
132          2        3        ERR067994
133          2        2        ERR069726
134          2        3        ERR129041
135          3        5        ERR124219
136          3        5        ERR065345
137          3        5        ERR124305
138          3        4        ERR069769
139          2        3        ERR069734
140          2        2        ERR129143
141          2        2        ERR124299
142          2        3        ERR129092
143          2        2        ERR068002
144          3        4        ERR124268
145          3        5        ERR129181
146          3        5        ERR129111
147          3        5        ERR069798
148          3        4        ERR124278
149          3        4        ERR069760
150          2        2        ERR124236
151          3        5        ERR065959
152          3        4        ERR129045
153          3        4        ERR124292
154          3        5        ERR069800
155          3        4        ERR068021
156          3        4        ERR067998
157          3        4        ERR124312
158          3        5        ERR065971
159          3        5        ERR065311
160          3        5        ERR067967
161          3        5        ERR129161
162          2        3        ERR124289
163          2        3        ERR129057
164          3        4        ERR129131
165          3        5        ERR124253
166          3        5        ERR065966
167          1        1        ERR069803
168          2        3        ERR124254
169          3        5        ERR129168
170          3        4        ERR124320
171          2        3        ERR065298
172          3        4        ERR069804
173          3        5        ERR065957
174          3        5        ERR069692
175          3        5        ERR069723
176          3        5        ERR067976
177          3        5        ERR065307
178          3        5        ERR069742
179          3        4        ERR069718
180          3        4        ERR124224
181          3        5        ERR069790
182          2        3        ERR069827
183          2        3        ERR124309
184          3        4        ERR129068
185          2        3        ERR129136
186          2        3        ERR129203
187          3        5        ERR065316
188          3        5        ERR124217
189          3        5        ERR067991
190          3        4        ERR129079
191          2        3        ERR129124
192          3        4        ERR124246
193          2        3        ERR065299
194          2        3        ERR129184
195          3        5        ERR124266
196          3        4        ERR069818
197          2        2        ERR068029
198          2        2        ERR124279
199          3        4        ERR129139
200          3        5        ERR068015
201          3        4        ERR129128
202          2        2        ERR129163
203          3        5        ERR065355
204          3        5        ERR069777
205          2        2        ERR129134
206          2        2        ERR065351
207          3        5        ERR069807
208          3        5        ERR129172
209          3        4        ERR124240
210          3        4        ERR065315
211          3        5        ERR065346
212          3        5        ERR069731
213          2        2        ERR067988
214          3        4        ERR069714
215          2        2        ERR129035
216          3        5        ERR069697
217          3        5        ERR065306
218          3        5        ERR065313
219          3        5        ERR129038
220          3        4        ERR124243
221          3        5        ERR067975
222          3        4        ERR129053
223          3        4        ERR065289
224          2        3        ERR065321
225          2        3        ERR124264
226          3        4        ERR069707
227          3        5        ERR129082
228          3        5        ERR069743
229          3        5        ERR067980
230          3        4        ERR068047
231          3        5        ERR124258
232          3        5        ERR065314
233          2        2        ERR124301
234          3        4        ERR124276
235          2        3        ERR065318
236          3        4        ERR068010
237          3        4        ERR129067
238          3        4        ERR068030
239          2        2        ERR069728
240          2        3        ERR067997
241          2        3        ERR129202
242          2        2        ERR124290
243          3        4        ERR129178
244          1        1        ERR069841
245          3        5        ERR065955
246          3        5        ERR124265
247          3        4        ERR067968
248          3        4        ERR069739
249          2        3        ERR069766
250          3        5        ERR065969
251          3        4        ERR129185
252          3        5        ERR069810
253          3        4        ERR129177
254          3        5        ERR065352
255          3        4        ERR069839
256          3        4        ERR129182
257          2        3        ERR069788
258          3        5        ERR065347
259          2        3        ERR065290
260          3        5        ERR065322
261          2        3        ERR129169
262          3        4        ERR124242
263          2        3        ERR129138
264          2        3        ERR129137
265          3        4        ERR065296
266          3        4        ERR065308
267          3        5        ERR129078
268          3        5        ERR129208
269          2        3        ERR129135
270          3        4        ERR069702
271          2        2        ERR129119
272          2        2        ERR124273
273          2        3        ERR068043
274          3        4        ERR065964
275          3        5        ERR129205
276          3        4        ERR069799
277          3        5        ERR069694
278          2        3        ERR068009
279          3        4        ERR124303
280          2        2        ERR129173
281          2        3        ERR124317
282          2        3        ERR129188
283          3        4        ERR069837
284          2        3        ERR129056
285          3        5        ERR124245
286          3        5        ERR069779
287          2        3        ERR069775
288          3        4        ERR068000
289          3        5        ERR124306
290          3        5        ERR129084
291          3        4        ERR129073
292          3        4        ERR069840
293          3        5        ERR129192
294          3        5        ERR069736
295          3        5        ERR129098
296          2        2        ERR069733
297          3        5        ERR069757
298          3        5        ERR065339
299          3        5        ERR124238
300          2        2        ERR129104
301          2        3        ERR129103
302          3        4        ERR069695
303          2        2        ERR067963
304          3        5        ERR124230
305          2        2        ERR067970
306          3        5        ERR067973
307          2        2        ERR067992
308          3        4        ERR065963
309          3        5        ERR129145
310          2        2        ERR124275
311          3        5        ERR065331
312          3        4        ERR067972
313          3        5        ERR129141
314          3        4        ERR129093
315          3        5        ERR069808
316          2        2        ERR129089
317          3        5        ERR129133
318          3        5        ERR065312
319          3        5        ERR065348
320          2        3        ERR129095
321          3        4        ERR129211
322          3        5        ERR129201
323          2        2        ERR068033
324          3        4        ERR124298
325          2        3        ERR129194
326          3        5        ERR129171
327          3        5        ERR129122
328          3        5        ERR129100
329          2        3        ERR129030
