StrainIndex  Lineage  Cluster  Name
1            2        6        ERR069738
2            2        6        ERR129065
3            1        5        ERR129037
4            2        8        ERR124247
5            1        2        ERR124222
6            1        10       ERR065305
7            1        3        ERR069786
8            1        7        ERR129179
9            2        9        ERR129176
10           2        9        ERR069709
11           1        5        ERR067985
12           1        7        ERR129212
13           2        6        ERR068037
14           2        4        ERR069814
15           1        7        ERR124241
16           1        10       ERR069795
17           1        7        ERR124293
18           2        8        ERR069735
19           2        9        ERR069773
20           2        1        ERR129029
21           1        3        ERR129105
22           1        3        ERR124226
23           2        4        ERR129196
24           1        5        ERR124319
25           2        9        ERR068001
26           2        9        ERR129117
27           2        9        ERR069764
28           2        4        ERR068007
29           1        10       ERR068008
30           1        7        ERR069703
31           1        3        ERR129195
32           2        9        ERR065325
33           1        7        ERR129087
34           2        9        ERR069819
35           1        10       ERR129129
36           2        9        ERR065960
37           1        10       ERR069796
38           1        5        ERR065326
39           2        8        ERR069712
40           2        8        ERR124244
41           1        2        ERR129075
42           1        5        ERR069713
43           2        6        ERR069826
44           1        10       ERR069771
45           1        2        ERR069706
46           1        10       ERR065970
47           2        6        ERR129096
48           2        6        ERR129107
49           2        9        ERR065302
50           2        4        ERR129187
51           2        6        ERR069686
52           1        7        ERR069824
53           1        10       ERR065972
54           2        8        ERR129164
55           2        6        ERR069688
56           2        4        ERR069685
57           2        6        ERR124307
58           1        7        ERR067962
59           2        9        ERR124257
60           1        5        ERR129127
61           1        3        ERR065301
62           2        4        ERR124287
63           2        4        ERR068025
64           2        4        ERR069811
65           1        5        ERR069727
66           1        10       ERR129063
67           2        9        ERR065332
68           2        8        ERR129028
69           1        10       ERR065287
70           2        9        ERR129213
71           2        6        ERR129155
72           1        7        ERR129148
73           2        9        ERR129040
74           2        9        ERR129146
75           1        7        ERR129102
76           1        7        ERR069729
77           2        4        ERR129152
78           1        7        ERR069748
79           1        2        ERR069843
80           1        10       ERR124229
81           2        8        ERR129088
82           1        5        ERR069752
83           1        10       ERR129149
84           1        5        ERR129214
85           1        10       ERR069833
86           2        4        ERR124310
87           1        5        ERR068046
