1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
155       192       2               1                1.0        ERR069738
155       192       2               2                1.0        ERR065974
155       192       2               3                1.0        ERR129065
155       192       2               6                1.0        ERR124247
155       192       2               16               1.0        ERR069814
155       192       2               23               1.0        ERR129029
155       192       2               32               1.0        ERR068007
155       192       2               37               1.0        ERR065325
155       192       2               42               1.0        ERR065960
155       192       2               49               1.0        ERR069826
155       192       2               50               1.0        ERR065341
155       192       2               54               1.0        ERR129130
155       192       2               55               1.0        ERR129096
155       192       2               56               1.0        ERR129107
155       192       2               59               1.0        ERR129187
155       192       2               68               1.0        ERR124307
155       192       2               70               1.0        ERR124257
155       192       2               83               1.0        ERR129155
155       192       2               101              1.0        ERR124310
155       192       2               112              1.0        ERR129204
155       192       2               120              1.0        ERR129052
155       192       2               144              1.0        ERR069780
155       192       2               151              1.0        ERR068027
155       192       2               156              1.0        ERR069789
155       192       2               158              1.0        ERR069802
155       192       2               161              1.0        ERR129048
155       192       2               163              1.0        ERR065965
155       192       2               185              1.0        ERR067993
155       192       2               187              1.0        ERR129106
155       192       2               200              1.0        ERR069820
155       192       2               202              1.0        ERR129116
155       192       2               206              1.0        ERR065309
155       192       2               210              1.0        ERR069737
155       192       2               222              1.0        ERR124248
155       192       2               228              1.0        ERR129050
155       192       2               230              1.0        ERR069830
155       192       2               237              1.0        ERR129147
155       192       2               247              1.0        ERR124219
155       192       2               248              1.0        ERR065345
155       192       2               249              1.0        ERR124305
155       192       2               269              1.0        ERR129111
155       192       2               273              1.0        ERR124278
155       192       2               290              1.0        ERR069800
155       192       2               291              1.0        ERR068021
155       192       2               297              1.0        ERR065311
155       192       2               299              1.0        ERR069767
155       192       2               300              1.0        ERR067967
155       192       2               316              1.0        ERR124253
155       192       2               318              1.0        ERR065966
155       192       2               319              1.0        ERR069803
155       192       2               342              1.0        ERR069790
155       192       2               354              1.0        ERR065316
155       192       2               355              1.0        ERR124217
155       192       2               360              1.0        ERR124260
155       192       2               365              1.0        ERR065299
155       192       2               368              1.0        ERR124266
155       192       2               377              1.0        ERR068015
155       192       2               381              1.0        ERR065355
155       192       2               383              1.0        ERR069777
155       192       2               390              1.0        ERR069807
155       192       2               397              1.0        ERR065346
155       192       2               401              1.0        ERR129156
155       192       2               408              1.0        ERR065306
184       192       2               418              0.7        ERR065289
184       192       2               429              0.7        ERR069743
184       192       2               430              0.7        ERR067980
184       192       2               431              0.7        ERR069836
184       192       2               455              0.7        ERR069841
184       192       2               456              0.7        ERR065955
184       192       2               464              0.7        ERR067965
184       192       2               467              0.7        ERR129185
184       192       2               481              0.7        ERR065322
184       192       2               492              0.7        ERR065296
184       192       2               523              0.7        ERR069694
184       192       2               546              0.7        ERR129084
184       192       2               552              0.7        ERR069736
184       192       2               557              0.7        ERR069757
184       192       2               558              0.7        ERR065339
184       192       2               560              0.7        ERR124238
184       192       2               566              0.7        ERR069783
184       192       2               577              0.7        ERR067973
184       192       2               583              0.7        ERR129145
184       192       2               585              0.7        ERR065331
184       192       2               586              0.7        ERR067972
184       192       2               593              0.7        ERR129141
110       192       2               598              0.3        ERR069808
184       192       2               600              0.7        ERR129047
184       192       2               613              0.7        ERR129171
184       192       2               614              0.7        ERR129122
