StrainIndex  Lineage  Cluster  Name
1            3        5        ERR069738
2            3        5        ERR129065
3            1        2        ERR069786
4            2        4        ERR129176
5            3        5        ERR068037
6            3        3        ERR069814
7            3        5        ERR129029
8            3        5        ERR069823
9            1        2        ERR124319
10           2        4        ERR129117
11           3        3        ERR068007
12           3        3        ERR124256
13           3        5        ERR069712
14           1        2        ERR124244
15           3        5        ERR069826
16           3        5        ERR129096
17           3        5        ERR129107
18           3        3        ERR069809
19           3        5        ERR069686
20           3        3        ERR068048
21           3        5        ERR129164
22           3        5        ERR124307
23           3        3        ERR124257
24           2        4        ERR065332
25           2        4        ERR129213
26           3        5        ERR129155
27           2        4        ERR129042
28           3        5        ERR069835
29           3        5        ERR129088
30           3        3        ERR065350
31           2        4        ERR124235
32           3        5        ERR129204
33           3        5        ERR067981
34           3        5        ERR067996
35           3        5        ERR129052
36           2        4        ERR069725
37           3        5        ERR129051
38           2        4        ERR129157
39           3        5        ERR124311
40           3        5        ERR069746
41           3        5        ERR069780
42           1        2        ERR124288
43           2        4        ERR129026
44           3        5        ERR068027
45           3        3        ERR069789
46           3        5        ERR065343
47           3        5        ERR069802
48           3        5        ERR065968
49           3        5        ERR129158
50           2        4        ERR069698
51           3        5        ERR069812
52           3        5        ERR067995
53           3        5        ERR068012
54           2        4        ERR124274
55           1        2        ERR067993
56           2        4        ERR069708
57           3        5        ERR129106
58           3        5        ERR129132
59           3        5        ERR065292
60           3        5        ERR129116
61           3        5        ERR069690
62           2        4        ERR124283
63           2        4        ERR065293
64           3        5        ERR068018
65           3        5        ERR124248
66           3        5        ERR069830
67           2        4        ERR124221
68           2        4        ERR068026
69           3        5        ERR129147
70           3        5        ERR065338
71           2        4        ERR065297
72           2        4        ERR129061
73           3        5        ERR124219
74           3        5        ERR065345
75           3        5        ERR069768
76           3        5        ERR065967
77           2        4        ERR129167
78           3        5        ERR129090
79           3        5        ERR065344
80           2        4        ERR065320
81           2        4        ERR124308
82           2        4        ERR129043
83           3        5        ERR069800
84           3        3        ERR068021
85           3        5        ERR065311
86           3        5        ERR068020
87           3        5        ERR069767
88           3        5        ERR067967
89           3        5        ERR129161
90           3        5        ERR067977
91           3        5        ERR069715
92           2        4        ERR124227
93           3        5        ERR069683
94           2        4        ERR069724
95           3        5        ERR065966
96           1        2        ERR069803
97           2        4        ERR065303
98           2        4        ERR068042
99           2        4        ERR124249
100          3        5        ERR065962
101          2        4        ERR129198
102          3        5        ERR069790
103          2        4        ERR067978
104          2        4        ERR068032
105          3        5        ERR124260
106          2        4        ERR124239
107          3        5        ERR069778
108          3        5        ERR068015
109          2        4        ERR068028
110          3        5        ERR065355
111          2        4        ERR068023
112          3        5        ERR069777
113          3        5        ERR069807
114          3        5        ERR065346
115          3        3        ERR069731
116          3        5        ERR069755
117          3        5        ERR129156
118          3        5        ERR065306
119          1        2        ERR124294
120          2        4        ERR124272
121          3        5        ERR129126
122          3        5        ERR069743
123          3        5        ERR067980
124          3        5        ERR069836
125          2        4        ERR124300
126          1        2        ERR069841
127          3        5        ERR065955
128          3        5        ERR124265
129          3        5        ERR069765
130          3        5        ERR067965
131          3        3        ERR129185
132          3        1        ERR124318
133          3        5        ERR129113
134          3        3        ERR065347
135          3        5        ERR065290
136          3        5        ERR065322
137          3        5        ERR068013
138          3        5        ERR124231
139          3        5        ERR124304
140          3        5        ERR124282
141          2        4        ERR129054
142          3        5        ERR069732
143          3        5        ERR129208
144          3        5        ERR129110
145          3        5        ERR129135
146          3        5        ERR069694
147          3        5        ERR129058
148          3        5        ERR065330
149          2        4        ERR129060
150          3        5        ERR069719
151          3        5        ERR124245
152          3        5        ERR069770
153          3        5        ERR129192
154          3        5        ERR069721
155          3        5        ERR069736
156          3        5        ERR065339
157          3        5        ERR124238
158          3        5        ERR129199
159          2        4        ERR068049
160          3        5        ERR069783
161          3        5        ERR067973
162          3        5        ERR069740
163          3        5        ERR065331
164          3        3        ERR067972
165          1        2        ERR124297
166          3        5        ERR124237
167          3        5        ERR067987
168          3        5        ERR129141
169          3        5        ERR065348
170          1        2        ERR124286
171          3        3        ERR129201
172          3        5        ERR129171
173          3        5        ERR129122
174          3        5        ERR129100
