3 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1688      1792      3               2                20.9       ERR065974
1688      1792      3               50               20.9       ERR065341
1688      1792      3               54               20.5       ERR129130
251       270       3               79               2.6        ERR065332
1082      1120      3               89               1.9        ERR129102
1226      1843      3               89               15.2       ERR129102
251       270       3               134              2.6        ERR069725
251       270       3               149              2.6        ERR129026
1688      1792      3               163              20.9       ERR065965
251       270       3               170              2.6        ERR069698
251       270       3               184              2.6        ERR124274
1688      1792      3               185              20.9       ERR067993
251       270       3               207              2.6        ERR124283
251       270       3               208              2.6        ERR065293
251       270       3               234              2.6        ERR124221
251       270       3               236              2.6        ERR068026
251       270       3               244              2.6        ERR065297
251       270       3               246              2.6        ERR129061
1688      1792      3               273              20.9       ERR124278
251       270       3               283              2.6        ERR065320
251       270       3               317              2.6        ERR069724
1688      1792      3               319              20.9       ERR069803
251       270       3               328              2.6        ERR068042
251       270       3               330              2.6        ERR124249
251       270       3               338              2.6        ERR129198
251       270       3               348              2.6        ERR067978
251       270       3               353              2.6        ERR068032
251       270       3               371              2.6        ERR124239
251       270       3               380              2.6        ERR068028
1082      1120      3               405              1.9        ERR129071
1226      1843      3               405              15.2       ERR129071
251       270       3               417              2.6        ERR124272
1688      1792      3               418              20.9       ERR065289
251       270       3               421              2.7        ERR129151
251       270       3               451              2.6        ERR124300
1688      1792      3               455              20.9       ERR069841
1688      1792      3               492              20.9       ERR065296
251       270       3               498              2.6        ERR129054
251       270       3               528              2.6        ERR129060
251       270       3               548              2.7        ERR069815
251       270       3               563              2.6        ERR068049
