StrainIndex  Lineage  Cluster  Name
1            1        4        ERR069738
2            1        7        ERR065974
3            1        7        ERR129065
4            1        5        ERR129037
5            1        6        ERR069700
6            1        2        ERR124247
7            1        7        ERR124222
8            1        7        ERR065305
9            1        7        ERR069786
10           1        7        ERR129179
11           1        6        ERR129176
12           1        7        ERR069709
13           1        5        ERR067985
14           1        1        ERR129212
15           1        4        ERR068037
16           1        7        ERR069814
17           1        7        ERR124241
18           1        7        ERR069795
19           1        7        ERR124293
20           1        5        ERR069735
21           1        5        ERR069773
22           1        6        ERR067966
23           1        7        ERR129029
24           1        7        ERR129105
25           1        7        ERR124226
26           1        5        ERR129196
27           1        7        ERR069823
28           1        7        ERR124319
29           1        7        ERR068001
30           1        6        ERR129117
31           1        2        ERR069764
32           1        7        ERR068007
33           1        7        ERR068008
34           1        6        ERR067969
35           1        7        ERR069703
36           1        7        ERR129195
37           1        6        ERR065325
38           1        7        ERR124256
39           1        7        ERR129087
40           1        3        ERR069819
41           1        7        ERR129129
42           1        6        ERR065960
43           1        7        ERR069796
44           1        7        ERR065326
45           1        7        ERR069712
46           1        7        ERR124244
47           1        7        ERR129075
48           1        5        ERR069713
49           1        7        ERR069826
50           1        7        ERR065341
51           1        7        ERR069771
52           1        7        ERR069706
53           1        7        ERR065970
54           1        7        ERR129130
55           1        4        ERR129096
56           1        7        ERR129107
57           1        7        ERR069809
58           1        5        ERR065302
59           1        7        ERR129187
60           1        6        ERR124314
61           1        4        ERR069686
62           1        7        ERR069824
63           1        7        ERR068048
64           1        7        ERR065972
65           1        7        ERR129164
66           1        4        ERR069688
67           1        7        ERR069685
68           1        4        ERR124307
69           1        7        ERR067962
70           1        7        ERR124257
71           1        5        ERR129127
72           1        7        ERR065301
73           1        7        ERR124287
74           1        7        ERR068025
75           1        7        ERR067964
76           1        7        ERR069811
77           1        5        ERR069727
78           1        7        ERR129063
79           1        4        ERR065332
80           1        2        ERR129028
81           1        7        ERR065287
82           1        6        ERR129213
83           1        7        ERR129155
84           1        6        ERR129042
85           1        7        ERR129148
86           1        5        ERR129040
87           1        7        ERR069835
88           1        7        ERR129146
89           1        7        ERR129102
90           1        7        ERR069729
91           1        7        ERR129152
92           1        1        ERR069748
93           1        7        ERR069843
94           1        7        ERR124229
95           1        7        ERR129088
96           1        7        ERR069752
97           1        7        ERR065350
98           1        7        ERR129149
99           1        7        ERR129214
100          1        7        ERR069833
101          1        6        ERR124310
102          1        7        ERR068046
103          1        5        ERR129215
104          1        7        ERR129140
105          1        7        ERR069831
106          1        6        ERR068014
107          1        7        ERR124315
108          1        7        ERR065342
109          1        6        ERR124235
110          1        5        ERR129159
111          1        4        ERR129204
112          1        6        ERR129094
113          1        1        ERR069689
114          1        7        ERR069751
115          1        7        ERR068005
116          1        7        ERR069749
117          1        7        ERR067981
118          1        4        ERR067996
119          1        7        ERR129052
120          1        3        ERR069785
121          1        6        ERR069792
122          1        2        ERR124271
123          1        7        ERR069687
124          1        7        ERR124277
125          1        7        ERR124228
126          1        2        ERR129044
127          1        3        ERR065353
128          1        7        ERR129074
129          1        7        ERR069817
130          1        7        ERR065953
131          1        7        ERR129076
132          1        5        ERR129154
133          1        4        ERR069725
134          1        7        ERR068040
135          1        7        ERR129051
136          1        6        ERR129157
137          1        7        ERR124311
138          1        7        ERR069746
139          1        6        ERR068031
140          1        7        ERR067986
141          1        5        ERR124291
142          1        7        ERR129055
143          1        7        ERR069780
144          1        3        ERR065327
145          1        5        ERR069822
146          1        7        ERR129207
147          1        7        ERR124288
148          1        4        ERR129026
149          1        7        ERR124218
150          1        7        ERR068027
151          1        7        ERR069710
152          1        5        ERR065310
153          1        7        ERR129160
154          1        7        ERR065300
155          1        7        ERR069789
156          1        4        ERR065343
157          1        7        ERR069802
158          1        7        ERR129027
159          1        7        ERR129170
160          1        6        ERR129048
161          1        7        ERR065968
162          1        7        ERR065965
163          1        7        ERR068044
164          1        1        ERR129180
165          1        7        ERR068016
166          1        7        ERR065324
167          1        7        ERR129112
168          1        7        ERR129158
169          1        4        ERR069698
170          1        7        ERR069812
171          1        5        ERR124302
172          1        7        ERR129083
173          1        6        ERR065354
174          1        6        ERR069787
175          1        7        ERR068017
176          1        7        ERR129066
177          1        7        ERR129039
178          1        7        ERR065329
179          1        7        ERR124269
180          1        7        ERR129200
181          1        4        ERR067995
182          1        7        ERR068012
183          1        4        ERR124274
184          1        7        ERR067993
185          1        6        ERR069708
186          1        7        ERR129106
187          1        7        ERR069717
188          1        7        ERR067974
189          1        6        ERR069744
190          1        5        ERR129210
191          1        7        ERR129108
192          1        7        ERR129132
193          1        7        ERR069711
194          1        7        ERR068019
195          1        7        ERR129099
196          1        7        ERR129059
197          1        7        ERR065292
198          1        7        ERR067961
199          1        7        ERR069820
200          1        7        ERR129216
201          1        7        ERR129116
202          1        7        ERR124250
203          1        7        ERR069690
204          1        7        ERR065973
205          1        6        ERR065309
206          1        4        ERR124283
207          1        4        ERR065293
208          1        6        ERR069825
209          1        6        ERR069737
210          1        7        ERR124316
211          1        7        ERR065304
212          1        5        ERR129144
213          1        7        ERR124232
214          1        7        ERR068018
215          1        5        ERR124296
216          1        7        ERR067960
217          1        7        ERR068050
218          1        5        ERR068039
219          1        3        ERR068004
220          1        7        ERR129032
221          1        4        ERR124248
222          1        7        ERR068041
223          1        7        ERR129086
224          1        7        ERR065317
225          1        7        ERR069834
226          1        7        ERR069720
227          1        6        ERR129050
228          1        7        ERR129064
229          1        7        ERR069830
230          1        7        ERR069774
