1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
355       458       3               15               10.4       ERR069773
355       458       3               22               10.4       ERR124319
355       458       3               46               10.4       ERR065302
355       458       3               64               10.4       ERR129040
355       458       3               116              10.4       ERR124288
355       458       3               173              10.4       ERR068039
355       458       3               290              10.4       ERR129124
355       458       3               323              10.4       ERR124294
355       458       3               334              10.4       ERR065321
355       458       3               430              10.4       ERR129188
355       458       3               433              10.4       ERR129056
355       458       3               436              10.4       ERR069775
355       458       3               470              10.4       ERR124297
355       458       3               483              10.4       ERR124286
