11 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1864      2200      3               4                21.7       ERR129037
2710      3102      1               5                27.3       ERR069700
1864      2200      3               9                22.2       ERR069786
1864      2200      3               11               22.2       ERR129176
1864      2200      3               13               21.7       ERR067985
1595      1716      3               14               4.4        ERR129212
1717      2298      1               14               36.6       ERR129212
2653      2837      3               15               19.4       ERR068037
2838      3102      1               15               14.3       ERR068037
1864      2200      3               16               21.7       ERR069814
1595      1702      3               20               5.4        ERR069735
2710      3102      1               22               27.3       ERR067966
1864      2200      3               28               22.2       ERR124319
1864      2200      3               30               22.2       ERR129117
1864      2200      3               32               21.7       ERR068007
2710      3102      1               34               27.3       ERR067969
2710      3102      1               37               27.8       ERR065325
1864      2200      3               40               21.7       ERR069819
2710      3102      1               42               27.8       ERR065960
1864      2200      3               44               21.7       ERR065326
1703      2063      2               46               36.3       ERR124244
2425      3102      2               46               74.7       ERR124244
1864      2200      3               48               21.7       ERR069713
1595      1702      3               49               5.6        ERR069826
2710      3102      1               60               27.3       ERR124314
2653      2837      3               61               19.4       ERR069686
2838      3102      1               61               14.3       ERR069686
567       921       3               63               22.9       ERR068048
1536      1702      3               63               10.6       ERR068048
1703      2193      2               63               28.5       ERR068048
2684      2969      2               63               38.1       ERR068048
1864      2200      3               65               22.2       ERR129164
2653      2837      3               66               19.4       ERR069688
2838      3102      1               66               14.3       ERR069688
1864      2200      3               67               22.2       ERR069685
1864      2200      3               70               21.2       ERR124257
1864      2200      3               71               21.7       ERR129127
1703      2298      1               74               38.1       ERR068025
1703      2298      1               76               37.3       ERR069811
1864      2200      3               77               21.7       ERR069727
1864      2200      3               82               22.2       ERR129213
1864      2200      3               84               22.2       ERR129042
1645      1675      3               89               6.5        ERR129102
1703      2298      1               91               37.3       ERR129152
1595      1716      3               92               4.4        ERR069748
1717      2298      1               92               36.6       ERR069748
1864      2200      3               95               22.2       ERR129088
1864      2200      3               96               21.7       ERR069752
1864      2200      3               99               21.7       ERR129214
1864      2200      3               102              21.7       ERR068046
1864      2200      3               103              21.7       ERR129215
1864      2200      3               111              21.7       ERR129159
1595      1716      3               114              4.4        ERR069689
1717      2298      1               114              36.6       ERR069689
2653      2837      3               119              19.4       ERR067996
2838      3102      1               119              14.3       ERR067996
1703      2082      1               122              28.3       ERR069792
1676      1800      1               123              2.6        ERR124271
1518      1702      3               127              19.7       ERR129044
2023      2113      2               127              12.6       ERR129044
2114      2195      3               127              27.3       ERR129044
2425      2898      2               127              71.1       ERR129044
1864      2200      3               133              21.7       ERR129154
1864      2200      3               135              21.7       ERR068040
1864      2200      3               137              22.2       ERR129157
1703      2082      1               140              27.7       ERR068031
1864      2200      3               141              21.7       ERR067986
1864      2200      3               142              22.2       ERR124291
1595      1702      3               144              5.6        ERR069780
1703      2298      1               145              37.3       ERR065327
1864      2200      3               146              21.7       ERR069822
1864      2200      3               148              22.2       ERR124288
1595      1716      3               150              4.8        ERR124218
1717      2298      1               150              36.9       ERR124218
1864      2200      3               153              21.7       ERR065310
1864      2200      3               156              21.7       ERR069789
2653      2837      3               157              19.4       ERR065343
2838      3102      1               157              14.3       ERR065343
1595      1716      3               165              4.4        ERR129180
1717      2298      1               165              36.6       ERR129180
1703      2063      2               166              38.8       ERR068016
2425      2895      2               166              72.8       ERR068016
1864      2200      3               169              22.2       ERR129158
1864      2200      3               172              21.7       ERR124302
1703      2082      1               174              28.3       ERR065354
2710      3102      1               175              27.3       ERR069787
1703      2063      2               177              38.7       ERR129066
2425      2898      2               177              72.5       ERR129066
1703      2298      1               178              38.1       ERR129039
2653      2837      3               182              19.4       ERR067995
2838      3102      1               182              14.3       ERR067995
1864      2200      3               183              22.2       ERR068012
1864      2200      3               186              22.2       ERR069708
2710      3102      1               190              27.3       ERR069744
1864      2200      3               191              21.7       ERR129210
2796      3102      2               200              37.9       ERR069820
2710      3102      1               209              27.3       ERR069825
1703      2063      2               212              38.7       ERR065304
2425      2898      2               212              72.5       ERR065304
1703      2298      1               214              37.3       ERR124232
1864      2200      3               216              21.7       ERR124296
1703      2298      1               218              38.1       ERR068050
1676      1800      1               219              2.6        ERR068039
1864      2200      3               223              21.7       ERR068041
2710      3102      1               228              27.8       ERR129050
1864      2200      3               233              21.7       ERR069801
1864      2200      3               235              21.7       ERR129080
1703      2298      1               240              37.3       ERR067994
2653      2837      3               242              19.4       ERR065338
2838      3102      1               242              14.3       ERR065338
1703      1800      1               243              6.3        ERR129041
1577      1702      3               251              4.3        ERR065295
1864      2200      3               264              21.7       ERR124268
2908      3102      1               265              8.1        ERR129181
1577      1716      3               270              3.1        ERR068006
1717      2298      1               270              35.6       ERR068006
1864      2200      3               272              22.2       ERR069798
1864      2200      3               274              21.7       ERR069760
1595      1702      3               276              5.4        ERR069782
1703      2063      2               279              38.7       ERR065959
2425      2898      2               279              72.5       ERR065959
1595      1716      3               282              4.4        ERR069832
1717      2298      1               282              36.6       ERR069832
1864      2200      3               286              22.2       ERR124308
1864      2200      3               287              22.2       ERR129043
1864      2200      3               291              21.7       ERR068021
1864      2200      3               294              22.2       ERR065971
1577      1716      3               303              3.1        ERR069716
1717      2298      1               303              35.6       ERR069716
1676      1800      1               304              2.6        ERR124289
1864      2200      3               308              21.7       ERR129131
1595      1716      3               311              4.4        ERR069750
1717      2298      1               311              36.6       ERR069750
1864      2200      3               313              22.2       ERR124227
1864      2200      3               314              22.2       ERR069683
1595      1702      3               315              5.4        ERR069813
1876      2200      3               319              20.1       ERR069803
1703      2298      1               321              38.1       ERR124254
1864      2200      3               322              22.2       ERR129168
1703      2298      1               324              38.1       ERR065298
1864      2200      3               325              21.7       ERR069804
1864      2200      3               326              22.2       ERR065303
1595      1702      3               327              5.4        ERR065957
1703      2082      1               329              28.3       ERR069692
1703      2082      1               332              28.3       ERR069723
1676      1800      1               345              2.6        ERR124309
1864      2200      3               347              21.7       ERR129068
1703      2298      1               352              37.3       ERR129203
1703      2063      2               356              38.7       ERR067991
2425      2898      2               356              72.5       ERR067991
1864      2200      3               358              21.7       ERR129079
1619      1747      3               359              5.5        ERR069722
2710      2969      1               359              31.5       ERR069722
1595      1716      3               361              4.4        ERR069701
1717      2298      1               361              36.6       ERR069701
1703      2298      1               362              38.1       ERR129162
1864      2200      3               364              21.7       ERR124246
2710      3102      1               365              27.8       ERR065299
1676      1800      1               366              2.6        ERR129184
