StrainIndex  Lineage  Cluster  Name
1            4        6        ERR069738
2            5        8        ERR069700
3            5        8        ERR069786
4            5        7        ERR129179
5            5        8        ERR069709
6            4        6        ERR068037
7            5        7        ERR124241
8            5        7        ERR124293
9            5        8        ERR067966
10           5        8        ERR069823
11           5        8        ERR068001
12           5        8        ERR069764
13           5        8        ERR067969
14           5        7        ERR069703
15           5        7        ERR129087
16           4        6        ERR129096
17           5        8        ERR124314
18           4        6        ERR069686
19           5        8        ERR065972
20           4        6        ERR069688
21           5        8        ERR069685
22           4        6        ERR124307
23           5        7        ERR067962
24           5        7        ERR124257
25           4        3        ERR065301
26           5        8        ERR068025
27           5        8        ERR067964
28           5        8        ERR069811
29           5        7        ERR129148
30           5        8        ERR069835
31           5        8        ERR129152
32           5        8        ERR124310
33           4        3        ERR065342
34           4        6        ERR129204
35           5        8        ERR068005
36           5        7        ERR069749
37           4        6        ERR067996
38           5        5        ERR069785
39           5        7        ERR124277
40           5        8        ERR129044
41           5        8        ERR065353
42           5        7        ERR129074
43           5        8        ERR065953
44           2        2        ERR124311
45           5        8        ERR069746
46           5        8        ERR065327
47           5        7        ERR124218
48           5        8        ERR069710
49           5        7        ERR065300
50           5        7        ERR069789
51           4        6        ERR065343
52           5        8        ERR129027
53           5        8        ERR129048
54           3        4        ERR068016
55           5        7        ERR065324
56           5        8        ERR069812
57           5        8        ERR069787
58           3        4        ERR129066
59           5        8        ERR129039
60           5        7        ERR065329
61           5        7        ERR129200
62           4        6        ERR067995
63           5        8        ERR069744
64           5        7        ERR068019
65           4        6        ERR129099
66           5        8        ERR065292
67           5        7        ERR124250
68           5        8        ERR065309
69           5        7        ERR124316
70           3        4        ERR065304
71           5        8        ERR124232
72           5        8        ERR068004
73           4        6        ERR124248
74           5        7        ERR129086
75           5        7        ERR069834
76           5        5        ERR069830
77           4        3        ERR129077
78           5        8        ERR067994
79           5        7        ERR069726
80           4        6        ERR065338
81           5        8        ERR124305
82           5        8        ERR065967
83           5        8        ERR124223
84           5        8        ERR069734
85           5        7        ERR129143
86           5        7        ERR124299
87           5        8        ERR129092
88           5        7        ERR068002
89           5        8        ERR065344
90           5        8        ERR129111
91           5        8        ERR069798
92           5        7        ERR124236
93           3        4        ERR065959
94           5        5        ERR069800
95           5        7        ERR068021
96           5        8        ERR065971
97           4        6        ERR069767
98           2        2        ERR129057
99           5        8        ERR124253
100          5        5        ERR065966
101          5        8        ERR124254
102          5        8        ERR129168
103          4        3        ERR124320
104          5        8        ERR065298
105          5        8        ERR069759
106          5        8        ERR065962
107          5        5        ERR069742
108          5        5        ERR069790
109          5        8        ERR069827
110          5        8        ERR069741
111          5        8        ERR129203
112          5        8        ERR065316
113          5        8        ERR124217
114          5        8        ERR067991
115          5        7        ERR069722
116          4        6        ERR124260
117          5        8        ERR124266
118          4        3        ERR069818
119          5        7        ERR068029
120          5        7        ERR124279
121          4        6        ERR069778
122          5        8        ERR129128
123          5        7        ERR129163
124          5        5        ERR065355
125          5        5        ERR069777
126          5        7        ERR129134
127          5        7        ERR065351
128          5        8        ERR129172
129          5        8        ERR069755
130          4        6        ERR129156
131          5        7        ERR067988
132          5        7        ERR129035
133          3        4        ERR129038
134          5        7        ERR124294
135          3        4        ERR067975
136          5        5        ERR129151
137          5        8        ERR124264
138          5        7        ERR124252
139          5        8        ERR069743
140          5        5        ERR067980
141          4        6        ERR069836
142          5        7        ERR124258
143          5        7        ERR124301
144          5        7        ERR065349
145          5        5        ERR068030
146          5        7        ERR069728
147          5        8        ERR067997
148          5        8        ERR069763
149          5        7        ERR124290
150          5        5        ERR065955
151          5        8        ERR124265
152          5        8        ERR069766
153          5        8        ERR069765
154          4        6        ERR067965
155          5        8        ERR065969
156          5        7        ERR129185
157          4        6        ERR124318
158          5        8        ERR065352
159          5        8        ERR069788
160          5        8        ERR069784
161          2        2        ERR065290
162          5        8        ERR069693
163          5        8        ERR129169
164          5        8        ERR124231
165          5        8        ERR069747
166          5        8        ERR069732
167          1        1        ERR129110
168          2        2        ERR129135
169          5        7        ERR129119
170          5        7        ERR124273
171          5        8        ERR068043
172          4        3        ERR069799
173          5        8        ERR124303
174          5        8        ERR065330
175          5        7        ERR129173
176          5        8        ERR069719
177          5        8        ERR124317
178          5        8        ERR069779
179          5        8        ERR069770
180          5        7        ERR124306
181          5        5        ERR069815
182          5        8        ERR069721
183          5        5        ERR069736
184          5        7        ERR069733
185          5        5        ERR069797
186          5        8        ERR069757
187          5        5        ERR065339
188          5        7        ERR129104
189          4        6        ERR069783
190          5        7        ERR067963
191          5        8        ERR129115
192          5        7        ERR068022
193          5        8        ERR124230
194          5        7        ERR067970
195          5        5        ERR069821
196          5        7        ERR067992
197          5        8        ERR069740
198          5        8        ERR065963
199          5        8        ERR129145
200          5        7        ERR124275
201          5        5        ERR065331
202          5        7        ERR067972
203          4        6        ERR067987
204          5        7        ERR129089
205          5        7        ERR065312
206          5        8        ERR067979
207          5        7        ERR068033
208          5        8        ERR129194
