StrainIndex  Lineage  Cluster  Name
1            4        10       ERR129065
2            4        7        ERR069700
3            4        4        ERR124247
4            4        9        ERR065305
5            4        10       ERR069709
6            4        4        ERR129212
7            4        9        ERR069795
8            3        3        ERR069773
9            4        7        ERR067966
10           4        7        ERR129029
11           3        5        ERR129105
12           3        1        ERR124226
13           3        5        ERR129196
14           4        8        ERR069823
15           4        10       ERR069764
16           4        9        ERR068008
17           4        7        ERR067969
18           3        5        ERR129195
19           4        10       ERR065325
20           4        9        ERR124256
21           4        9        ERR129129
22           4        10       ERR065960
23           4        9        ERR069796
24           4        8        ERR069712
25           4        10       ERR124244
26           4        7        ERR069826
27           4        9        ERR069771
28           4        9        ERR065970
29           4        10       ERR129107
30           4        9        ERR069809
31           3        3        ERR065302
32           4        10       ERR129187
33           4        7        ERR124314
34           4        10       ERR069824
35           4        9        ERR068048
36           4        9        ERR065972
37           4        8        ERR129164
38           3        5        ERR065301
39           4        10       ERR124287
40           2        6        ERR068025
41           4        8        ERR067964
42           2        6        ERR069811
43           4        9        ERR129063
44           4        7        ERR129028
45           4        9        ERR065287
46           4        10       ERR129155
47           3        3        ERR129040
48           4        8        ERR069835
49           4        10       ERR129146
50           4        10       ERR069729
51           2        6        ERR129152
52           4        4        ERR069748
53           4        9        ERR124229
54           4        8        ERR129088
55           4        9        ERR065350
56           4        9        ERR129149
57           4        9        ERR069833
58           4        10       ERR124310
59           4        9        ERR129140
60           4        9        ERR069831
61           4        10       ERR068014
62           4        9        ERR124315
63           3        5        ERR065342
64           4        10       ERR129094
65           4        4        ERR069689
66           4        9        ERR069751
67           4        10       ERR068005
68           4        8        ERR067981
69           4        7        ERR129052
70           4        10       ERR069792
71           2        6        ERR124271
72           4        9        ERR069687
73           4        7        ERR129044
74           4        10       ERR065353
75           4        9        ERR069817
76           4        10       ERR065953
77           4        10       ERR129076
78           4        8        ERR129051
79           1        2        ERR124311
80           4        8        ERR069746
81           4        10       ERR068031
82           4        10       ERR129055
83           4        7        ERR069780
84           2        6        ERR065327
85           4        9        ERR129207
86           4        10       ERR068027
87           4        10       ERR069710
88           4        9        ERR129160
89           4        10       ERR069802
90           4        10       ERR129027
91           4        9        ERR129170
92           4        10       ERR129048
93           4        8        ERR065968
94           4        9        ERR068044
95           4        4        ERR129180
96           4        10       ERR068016
97           4        9        ERR129112
98           4        8        ERR129158
99           4        8        ERR069812
100          4        7        ERR129083
101          4        10       ERR065354
102          4        7        ERR069787
103          4        9        ERR068017
104          4        10       ERR129066
105          2        6        ERR129039
106          4        9        ERR124269
107          4        8        ERR068012
108          4        10       ERR129106
109          4        9        ERR069717
110          4        9        ERR067974
111          4        7        ERR069744
112          4        9        ERR129108
113          4        8        ERR129132
114          4        9        ERR069711
115          4        9        ERR129059
116          4        8        ERR065292
117          4        7        ERR069820
118          4        7        ERR129216
119          4        10       ERR129116
120          4        8        ERR069690
121          4        10       ERR065309
122          4        7        ERR069825
123          4        10       ERR069737
124          4        10       ERR065304
125          3        5        ERR129144
126          2        6        ERR124232
127          4        8        ERR068018
128          4        9        ERR067960
129          4        9        ERR068050
130          3        3        ERR068039
131          4        10       ERR068004
132          4        9        ERR129032
133          4        9        ERR065317
134          4        10       ERR129050
135          3        1        ERR129064
136          4        10       ERR069830
137          4        9        ERR069774
138          4        10       ERR129206
139          4        10       ERR129147
140          4        9        ERR069829
141          3        5        ERR129077
142          2        6        ERR067994
143          2        6        ERR129041
144          4        9        ERR129120
145          4        7        ERR124219
146          4        10       ERR065345
147          4        10       ERR124305
148          3        1        ERR069769
149          4        8        ERR069768
150          4        9        ERR129197
151          4        8        ERR065967
152          4        10       ERR124223
153          4        10       ERR069734
154          4        10       ERR129092
155          4        8        ERR129090
156          4        8        ERR129181
157          4        9        ERR069696
158          4        9        ERR129072
159          4        8        ERR065344
160          4        10       ERR129111
161          4        4        ERR068006
162          4        9        ERR067984
163          4        9        ERR068045
164          4        10       ERR065959
165          4        10       ERR129045
166          4        9        ERR069781
167          4        4        ERR069832
168          4        9        ERR129186
169          4        9        ERR069805
170          4        9        ERR124220
171          4        7        ERR069800
172          3        5        ERR067998
173          4        9        ERR129183
174          4        9        ERR068034
175          4        10       ERR065311
176          4        8        ERR068020
177          4        10       ERR067967
178          4        9        ERR069691
179          4        10       ERR129161
180          4        4        ERR069716
181          2        6        ERR124289
182          4        9        ERR129153
183          1        2        ERR129057
184          4        8        ERR067977
185          4        10       ERR069772
186          4        9        ERR124281
187          4        4        ERR069750
188          4        8        ERR069715
189          4        8        ERR069683
190          4        10       ERR124253
191          4        7        ERR065966
192          4        9        ERR124267
193          2        6        ERR124254
194          3        5        ERR124320
195          2        6        ERR065298
196          4        10       ERR069692
197          4        10       ERR069759
