StrainIndex  Lineage  Cluster  Name
1            3        5        ERR069738
2            1        6        ERR129065
3            3        8        ERR129037
4            3        5        ERR124247
5            3        9        ERR124222
6            2        10       ERR065305
7            1        6        ERR069786
8            3        7        ERR129179
9            3        8        ERR129176
10           1        6        ERR069709
11           3        8        ERR067985
12           3        9        ERR129212
13           3        5        ERR068037
14           3        9        ERR069814
15           3        7        ERR124241
16           2        10       ERR069795
17           3        7        ERR124293
18           3        7        ERR069735
19           3        5        ERR069773
20           3        5        ERR067966
21           3        2        ERR129029
22           2        10       ERR129105
23           3        5        ERR124226
24           3        9        ERR129196
25           2        10       ERR069823
26           2        10       ERR124319
27           1        6        ERR068001
28           3        3        ERR129117
29           3        9        ERR069764
30           3        9        ERR068007
31           2        10       ERR068008
32           3        5        ERR067969
33           3        7        ERR069703
34           2        10       ERR129195
35           3        9        ERR065325
36           3        4        ERR124256
37           3        7        ERR129087
38           3        7        ERR069819
39           2        10       ERR129129
40           3        9        ERR065960
41           2        10       ERR069796
42           3        8        ERR065326
43           3        8        ERR069712
44           3        8        ERR124244
45           3        9        ERR129075
46           3        8        ERR069713
47           1        6        ERR069826
48           2        10       ERR069771
49           3        9        ERR069706
50           2        10       ERR065970
51           3        5        ERR129096
52           2        1        ERR129107
53           3        4        ERR069809
54           3        5        ERR065302
55           3        7        ERR129187
56           3        5        ERR124314
57           3        5        ERR069686
58           3        7        ERR069824
59           3        4        ERR068048
60           2        10       ERR065972
61           3        4        ERR129164
62           3        5        ERR069688
63           1        6        ERR069685
64           3        5        ERR124307
65           3        7        ERR067962
66           3        9        ERR124257
67           3        8        ERR129127
68           3        9        ERR065301
69           3        8        ERR124287
70           3        8        ERR068025
71           1        6        ERR067964
72           3        8        ERR069811
73           3        8        ERR069727
74           2        10       ERR129063
75           3        3        ERR065332
76           1        6        ERR129028
77           2        10       ERR065287
78           1        6        ERR129213
79           3        9        ERR129155
80           3        3        ERR129042
81           3        7        ERR129148
82           3        5        ERR129040
83           2        10       ERR069835
84           3        4        ERR129146
85           3        9        ERR129102
86           3        7        ERR069729
87           3        8        ERR129152
88           3        9        ERR069748
89           3        9        ERR069843
90           2        10       ERR124229
91           3        4        ERR129088
92           3        8        ERR069752
93           3        4        ERR065350
94           2        10       ERR129149
95           3        8        ERR129214
96           2        10       ERR069833
97           3        9        ERR124310
98           3        8        ERR068046
99           3        8        ERR129215
100          2        10       ERR129140
101          2        10       ERR069831
102          1        6        ERR068014
103          2        10       ERR124315
104          3        9        ERR124255
105          3        9        ERR065342
106          3        3        ERR124235
107          2        10       ERR129159
108          3        5        ERR129204
109          1        6        ERR129094
110          3        9        ERR069689
111          2        10       ERR069751
112          3        4        ERR068005
113          3        7        ERR069749
114          3        4        ERR067981
115          3        9        ERR067996
116          3        2        ERR129052
117          3        4        ERR069785
118          3        9        ERR069792
