StrainIndex  Lineage  Cluster  Name
1            1        5        ERR069738
2            3        7        ERR065974
3            2        8        ERR129065
4            2        8        ERR129037
5            2        4        ERR069700
6            3        7        ERR124247
7            3        9        ERR124222
8            3        10       ERR065305
9            3        10       ERR069786
10           3        9        ERR129179
11           2        4        ERR129176
12           3        9        ERR069709
13           2        8        ERR067985
14           3        1        ERR129212
15           1        5        ERR068037
16           1        3        ERR069814
17           3        9        ERR124241
18           3        10       ERR069795
19           3        9        ERR124293
20           1        5        ERR069735
21           3        7        ERR069773
22           2        4        ERR067966
23           2        8        ERR129029
24           3        2        ERR129105
25           3        10       ERR124226
26           3        2        ERR129196
27           2        6        ERR069823
28           3        9        ERR124319
29           3        9        ERR068001
30           2        4        ERR129117
31           3        7        ERR069764
32           1        3        ERR068007
33           3        10       ERR068008
34           2        4        ERR067969
35           3        9        ERR069703
36           3        2        ERR129195
37           1        5        ERR065325
38           2        6        ERR124256
39           3        9        ERR129087
40           1        5        ERR069819
41           3        10       ERR129129
42           1        5        ERR065960
43           3        10       ERR069796
44           1        3        ERR065326
45           2        6        ERR069712
46           3        9        ERR124244
47           3        9        ERR129075
48           2        8        ERR069713
49           2        8        ERR069826
50           3        7        ERR065341
51           3        10       ERR069771
52           3        9        ERR069706
53           3        10       ERR065970
54           3        7        ERR129130
55           1        5        ERR129096
56           2        8        ERR129107
57           2        6        ERR069809
58           3        7        ERR065302
59           3        7        ERR129187
60           2        4        ERR124314
61           1        5        ERR069686
62           3        9        ERR069824
63           2        6        ERR068048
64           3        10       ERR065972
65           2        6        ERR129164
66           1        5        ERR069688
67           3        9        ERR069685
68           1        5        ERR124307
69           3        9        ERR067962
70           1        3        ERR124257
71           2        8        ERR129127
72           3        2        ERR065301
73           2        8        ERR124287
74           3        7        ERR068025
75           2        6        ERR067964
76           3        7        ERR069811
77           2        8        ERR069727
78           3        10       ERR129063
79           3        7        ERR065332
80           3        7        ERR129028
81           3        10       ERR065287
82           2        4        ERR129213
83           2        8        ERR129155
84           2        4        ERR129042
85           3        9        ERR129148
86           3        7        ERR129040
87           2        6        ERR069835
88           2        8        ERR129146
89           3        10       ERR129102
90           3        9        ERR069729
91           3        7        ERR129152
92           3        1        ERR069748
93           3        9        ERR069843
94           3        10       ERR124229
95           2        6        ERR129088
96           1        3        ERR069752
97           2        6        ERR065350
98           3        10       ERR129149
99           1        3        ERR129214
100          3        10       ERR069833
101          3        10       ERR124310
102          1        3        ERR068046
103          2        8        ERR129215
104          3        10       ERR129140
105          3        10       ERR069831
106          3        7        ERR068014
107          3        10       ERR124315
108          3        9        ERR124255
109          3        2        ERR065342
110          2        4        ERR124235
111          2        8        ERR129159
112          1        5        ERR129204
113          3        7        ERR129094
114          3        1        ERR069689
115          3        10       ERR069751
116          3        9        ERR068005
117          3        9        ERR069749
118          2        6        ERR067981
119          1        5        ERR067996
120          2        8        ERR129052
121          2        8        ERR069785
122          1        5        ERR069792
123          3        7        ERR124271
124          3        10       ERR069687
125          3        9        ERR124277
126          3        10       ERR124228
127          3        10       ERR129044
128          3        9        ERR065353
129          3        9        ERR129074
130          3        10       ERR069817
131          3        9        ERR065953
132          2        8        ERR129076
133          2        8        ERR129154
134          3        7        ERR069725
135          1        3        ERR068040
136          2        6        ERR129051
137          2        4        ERR129157
138          3        7        ERR124311
139          2        6        ERR069746
140          1        5        ERR068031
141          1        3        ERR067986
142          2        8        ERR124291
143          2        8        ERR129055
144          2        8        ERR069780
145          3        7        ERR065327
146          2        8        ERR069822
147          3        10       ERR129207
148          3        9        ERR124288
149          3        7        ERR129026
150          3        10       ERR124218
151          2        8        ERR068027
152          3        9        ERR069710
153          2        8        ERR065310
154          3        10       ERR129160
155          3        9        ERR065300
156          1        3        ERR069789
157          1        5        ERR065343
158          2        8        ERR069802
159          3        1        ERR129027
160          3        10       ERR129170
161          3        10       ERR129048
162          2        6        ERR065968
163          3        7        ERR065965
164          3        10       ERR068044
165          3        1        ERR129180
166          2        4        ERR068016
167          3        9        ERR065324
168          3        10       ERR129112
169          2        6        ERR129158
170          3        7        ERR069698
171          2        6        ERR069812
172          2        8        ERR124302
173          3        7        ERR129083
174          1        5        ERR065354
175          2        4        ERR069787
176          3        10       ERR068017
177          2        4        ERR129066
178          3        7        ERR129039
179          3        9        ERR065329
180          3        10       ERR124269
181          3        9        ERR129200
182          1        5        ERR067995
183          2        6        ERR068012
184          3        7        ERR124274
185          3        7        ERR067993
186          2        4        ERR069708
187          2        8        ERR129106
188          3        10       ERR069717
189          3        10       ERR067974
190          2        4        ERR069744
191          2        8        ERR129210
192          3        10       ERR129108
193          2        6        ERR129132
194          3        10       ERR069711
195          3        9        ERR068019
196          3        9        ERR129099
197          3        10       ERR129059
198          2        6        ERR065292
199          3        10       ERR067961
200          3        10       ERR069820
201          3        7        ERR129216
202          2        8        ERR129116
203          3        9        ERR124250
204          2        6        ERR069690
205          3        9        ERR065973
206          3        10       ERR065309
207          3        7        ERR124283
208          3        7        ERR065293
209          2        4        ERR069825
210          1        5        ERR069737
211          3        9        ERR124316
212          2        4        ERR065304
213          3        2        ERR129144
214          3        7        ERR124232
215          2        6        ERR068018
216          2        8        ERR124296
217          3        10       ERR067960
218          3        10       ERR068050
219          3        7        ERR068039
220          3        9        ERR068004
221          3        10       ERR129032
222          1        5        ERR124248
223          1        3        ERR068041
224          3        9        ERR129086
225          3        10       ERR065317
226          3        9        ERR069834
227          3        9        ERR069720
228          1        5        ERR129050
229          3        10       ERR129064
230          2        8        ERR069830
231          3        10       ERR069774
232          3        7        ERR129206
233          2        8        ERR069801
234          3        7        ERR124221
235          2        8        ERR129080
236          3        7        ERR068026
237          2        8        ERR129147
238          3        10       ERR069829
