1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1237      1279      2               10               4.7        ERR129179
1237      1279      2               17               5.6        ERR124241
1237      1279      2               19               5.6        ERR124293
1237      1279      2               35               5.6        ERR069703
1237      1279      2               39               5.6        ERR129087
1237      1279      2               69               5.6        ERR067962
1237      1279      2               85               5.6        ERR129148
1237      1279      2               117              4.7        ERR069749
1237      1279      2               125              5.6        ERR124277
1237      1279      2               129              5.6        ERR129074
1237      1279      2               155              4.7        ERR065300
1237      1279      2               167              5.6        ERR065324
1237      1279      2               179              5.6        ERR065329
1237      1279      2               181              5.6        ERR129200
1237      1279      2               195              5.6        ERR068019
1237      1279      2               196              5.6        ERR129099
1237      1279      2               203              5.6        ERR124250
1237      1279      2               211              5.6        ERR124316
1237      1279      2               224              5.6        ERR129086
1237      1279      2               226              4.7        ERR069834
1237      1279      2               241              5.6        ERR069726
1237      1279      2               258              5.6        ERR129143
1237      1279      2               259              5.6        ERR124299
1237      1279      2               262              5.6        ERR068002
1237      1279      2               277              5.6        ERR124236
1237      1279      2               370              5.6        ERR068029
1237      1279      2               372              5.6        ERR124279
1237      1279      2               379              5.6        ERR129163
1237      1279      2               387              5.6        ERR129134
1237      1279      2               389              5.6        ERR065351
1237      1279      2               402              5.6        ERR067988
1237      1279      2               406              5.6        ERR129035
1237      1279      2               436              5.6        ERR124301
1237      1279      2               446              5.6        ERR069728
1237      1279      2               453              5.6        ERR124290
1237      1279      2               509              5.6        ERR129119
1237      1279      2               511              5.6        ERR124273
1237      1279      2               529              5.6        ERR129173
1237      1279      2               554              5.6        ERR069733
1237      1279      2               565              5.6        ERR129104
1237      1279      2               569              5.6        ERR067963
1237      1279      2               574              5.6        ERR067970
1237      1279      2               579              5.6        ERR067992
1237      1279      2               584              5.6        ERR124275
1237      1279      2               599              5.6        ERR129089
1237      1279      2               609              5.6        ERR068033
