StrainIndex  Lineage  Cluster  Name
1            3        7        ERR069738
2            3        9        ERR065974
3            2        10       ERR129065
4            3        6        ERR129037
5            1        5        ERR069700
6            3        9        ERR124247
7            3        4        ERR124222
8            3        9        ERR065305
9            2        10       ERR069786
10           1        8        ERR129179
11           2        10       ERR129176
12           3        7        ERR069709
13           3        6        ERR067985
14           2        3        ERR129212
15           3        7        ERR068037
16           3        6        ERR069814
17           1        8        ERR124241
18           3        9        ERR069795
19           1        8        ERR124293
20           3        9        ERR069735
21           2        10       ERR069773
22           1        5        ERR067966
23           2        10       ERR129029
24           1        8        ERR129105
25           2        10       ERR124226
26           1        8        ERR129196
27           2        10       ERR069823
28           2        10       ERR124319
29           3        7        ERR068001
30           2        10       ERR129117
31           3        9        ERR069764
32           3        6        ERR068007
33           1        8        ERR068008
34           1        5        ERR067969
35           1        8        ERR069703
36           1        8        ERR129195
37           3        9        ERR065325
38           2        10       ERR124256
39           1        8        ERR129087
40           3        9        ERR069819
41           3        9        ERR129129
42           3        9        ERR065960
43           1        8        ERR069796
44           3        6        ERR065326
45           3        7        ERR069712
46           3        7        ERR124244
47           3        4        ERR129075
48           3        6        ERR069713
49           2        10       ERR069826
50           3        9        ERR065341
51           1        8        ERR069771
52           3        4        ERR069706
53           3        9        ERR065970
54           3        9        ERR129130
55           3        7        ERR129096
56           2        10       ERR129107
57           2        10       ERR069809
58           2        10       ERR065302
59           3        9        ERR129187
60           1        5        ERR124314
61           3        7        ERR069686
62           3        9        ERR069824
63           2        10       ERR068048
64           3        9        ERR065972
65           3        7        ERR129164
66           3        7        ERR069688
67           2        10       ERR069685
68           3        7        ERR124307
69           1        8        ERR067962
70           3        6        ERR124257
71           3        6        ERR129127
72           1        8        ERR065301
73           2        1        ERR124287
74           1        5        ERR068025
75           2        10       ERR067964
76           1        5        ERR069811
77           3        6        ERR069727
78           1        8        ERR129063
79           2        10       ERR065332
80           3        2        ERR129028
81           3        9        ERR065287
82           2        10       ERR129213
83           2        10       ERR129155
84           2        10       ERR129042
85           1        8        ERR129148
86           2        10       ERR129040
87           2        10       ERR069835
88           2        1        ERR129146
89           3        9        ERR129102
90           3        9        ERR069729
91           1        5        ERR129152
92           2        3        ERR069748
93           3        4        ERR069843
94           3        9        ERR124229
95           3        7        ERR129088
