StrainIndex  Lineage  Cluster  Name
1            1        2        ERR069738
2            1        2        ERR065974
3            3        4        ERR129065
4            7        7        ERR129037
5            6        8        ERR069700
6            3        4        ERR124247
7            7        1        ERR124222
8            7        10       ERR065305
9            7        9        ERR069786
10           7        9        ERR129179
11           7        9        ERR129176
12           5        6        ERR069709
13           7        7        ERR067985
14           6        8        ERR129212
15           6        8        ERR068037
16           7        7        ERR069814
17           7        9        ERR124241
18           7        10       ERR069795
19           7        9        ERR124293
20           6        8        ERR069735
21           7        10       ERR069773
22           6        8        ERR067966
23           4        5        ERR129029
24           7        10       ERR129105
25           5        6        ERR124226
26           7        10       ERR129196
27           7        9        ERR069823
28           6        8        ERR124319
29           5        6        ERR068001
30           7        9        ERR129117
31           4        5        ERR069764
32           7        7        ERR068007
33           7        10       ERR068008
34           6        8        ERR067969
35           7        9        ERR069703
36           7        10       ERR129195
37           6        8        ERR065325
38           7        10       ERR124256
39           7        9        ERR129087
40           6        8        ERR069819
41           7        10       ERR129129
42           6        8        ERR065960
43           7        10       ERR069796
44           7        7        ERR065326
45           5        6        ERR069712
46           2        3        ERR124244
47           7        1        ERR129075
48           7        7        ERR069713
49           3        4        ERR069826
50           1        2        ERR065341
51           7        10       ERR069771
52           7        1        ERR069706
53           7        10       ERR065970
54           1        2        ERR129130
55           1        2        ERR129096
56           7        10       ERR129107
57           7        10       ERR069809
58           7        10       ERR065302
59           6        8        ERR129187
60           6        8        ERR124314
61           1        2        ERR069686
62           6        8        ERR069824
63           7        10       ERR068048
64           7        10       ERR065972
65           7        10       ERR129164
66           1        2        ERR069688
67           7        9        ERR069685
68           1        2        ERR124307
69           7        9        ERR067962
70           7        7        ERR124257
71           7        7        ERR129127
72           7        10       ERR065301
73           3        4        ERR124287
74           4        5        ERR068025
75           7        9        ERR067964
76           4        5        ERR069811
77           7        7        ERR069727
78           7        10       ERR129063
79           2        3        ERR065332
80           6        8        ERR129028
81           7        10       ERR065287
82           7        9        ERR129213
83           7        10       ERR129155
84           7        9        ERR129042
85           7        9        ERR129148
86           7        10       ERR129040
87           7        9        ERR069835
88           3        4        ERR129146
89           6        8        ERR129102
90           6        8        ERR069729
91           4        5        ERR129152
92           6        8        ERR069748
93           7        1        ERR069843
94           7        10       ERR124229
95           7        10       ERR129088
96           7        7        ERR069752
97           7        10       ERR065350
98           7        10       ERR129149
99           7        7        ERR129214
100          7        10       ERR069833
101          6        8        ERR124310
102          7        7        ERR068046
103          7        7        ERR129215
104          7        10       ERR129140
105          7        10       ERR069831
106          4        5        ERR068014
107          7        10       ERR124315
108          7        1        ERR124255
109          7        10       ERR065342
110          7        9        ERR124235
111          7        7        ERR129159
112          1        2        ERR129204
113          4        5        ERR129094
114          6        8        ERR069689
115          7        10       ERR069751
116          5        6        ERR068005
117          7        9        ERR069749
118          7        10       ERR067981
119          1        2        ERR067996
120          4        5        ERR129052
121          2        3        ERR069785
122          5        6        ERR069792
123          4        5        ERR124271
124          7        10       ERR069687
125          7        9        ERR124277
126          3        4        ERR124228
127          3        4        ERR129044
128          5        6        ERR065353
129          7        9        ERR129074
130          7        10       ERR069817
131          5        6        ERR065953
132          3        4        ERR129076
133          7        7        ERR129154
134          2        3        ERR069725
135          7        7        ERR068040
136          5        6        ERR129051
137          7        9        ERR129157
138          3        4        ERR124311
139          7        9        ERR069746
140          5        6        ERR068031
141          7        7        ERR067986
142          7        7        ERR124291
143          3        4        ERR129055
144          3        4        ERR069780
145          4        5        ERR065327
146          7        7        ERR069822
147          7        10       ERR129207
148          6        8        ERR124288
149          2        3        ERR129026
150          6        8        ERR124218
151          7        10       ERR068027
152          5        6        ERR069710
153          7        7        ERR065310
154          7        10       ERR129160
155          7        9        ERR065300
156          7        7        ERR069789
157          6        8        ERR065343
158          7        10       ERR069802
159          5        6        ERR129027
160          7        10       ERR129170
161          6        8        ERR129048
162          5        6        ERR065968
163          1        2        ERR065965
164          7        10       ERR068044
165          6        8        ERR129180
166          7        10       ERR068016
167          7        9        ERR065324
168          7        10       ERR129112
169          7        10       ERR129158
170          2        3        ERR069698
171          7        9        ERR069812
172          7        7        ERR124302
173          6        8        ERR129083
174          5        6        ERR065354
175          6        8        ERR069787
176          7        10       ERR068017
177          7        10       ERR129066
178          4        5        ERR129039
179          7        9        ERR065329
180          7        10       ERR124269
181          7        9        ERR129200
182          1        2        ERR067995
183          7        10       ERR068012
184          2        3        ERR124274
185          7        9        ERR067993
186          7        9        ERR069708
187          7        10       ERR129106
188          7        10       ERR069717
189          6        8        ERR067974
190          6        8        ERR069744
191          7        7        ERR129210
192          7        10       ERR129108
193          5        6        ERR129132
194          7        10       ERR069711
195          7        9        ERR068019
196          7        9        ERR129099
197          7        10       ERR129059
198          7        9        ERR065292
199          3        4        ERR067961
200          3        4        ERR069820
201          6        8        ERR129216
202          7        10       ERR129116
203          7        9        ERR124250
204          5        6        ERR069690
205          7        1        ERR065973
206          6        8        ERR065309
207          2        3        ERR124283
208          2        3        ERR065293
209          6        8        ERR069825
210          6        8        ERR069737
211          7        9        ERR124316
212          7        10       ERR065304
213          7        10       ERR129144
214          4        5        ERR124232
215          5        6        ERR068018
216          7        7        ERR124296
217          7        10       ERR067960
218          7        10       ERR068050
219          7        10       ERR068039
220          5        6        ERR068004
221          7        10       ERR129032
222          1        2        ERR124248
223          7        7        ERR068041
224          7        9        ERR129086
225          7        10       ERR065317
226          7        9        ERR069834
227          7        1        ERR069720
228          6        8        ERR129050
229          6        8        ERR129064
230          3        4        ERR069830
231          7        10       ERR069774
232          4        5        ERR129206
233          7        7        ERR069801
234          2        3        ERR124221
235          7        7        ERR129080
236          2        3        ERR068026
237          7        10       ERR129147
238          7        10       ERR069829
239          7        10       ERR129077
240          7        10       ERR067994
241          7        9        ERR069726
242          1        2        ERR065338
243          4        5        ERR129041
244          2        3        ERR065297
245          7        10       ERR129120
246          2        3        ERR129061
247          4        5        ERR124219
248          7        10       ERR065345
249          6        8        ERR124305
250          5        6        ERR069769
251          6        8        ERR065295
252          5        6        ERR069768
253          7        10       ERR129197
254          7        9        ERR065967
255          5        6        ERR124223
256          5        6        ERR069734
257          7        9        ERR129167
258          7        9        ERR129143
259          7        9        ERR124299
260          5        6        ERR129092
261          5        6        ERR129090
262          7        9        ERR068002
263          4        5        ERR068003
264          7        7        ERR124268
265          7        10       ERR129181
266          7        10       ERR069696
267          7        10       ERR129072
268          7        9        ERR065344
269          6        8        ERR129111
270          6        8        ERR068006
271          7        1        ERR068035
272          7        9        ERR069798
273          1        2        ERR124278
274          7        7        ERR069760
275          7        10       ERR067984
276          6        8        ERR069782
277          7        9        ERR124236
278          7        10       ERR068045
279          7        10       ERR065959
280          6        8        ERR129045
281          7        10       ERR069781
282          6        8        ERR069832
283          2        3        ERR065320
284          3        4        ERR124292
285          7        10       ERR129186
286          7        9        ERR124308
287          7        9        ERR129043
288          7        10       ERR069805
289          7        10       ERR124220
290          4        5        ERR069800
291          7        7        ERR068021
292          7        10       ERR067998
293          3        4        ERR124312
294          7        9        ERR065971
295          7        10       ERR129183
296          7        10       ERR068034
297          7        10       ERR065311
298          5        6        ERR068020
299          1        2        ERR069767
300          7        10       ERR067967
301          7        10       ERR069691
302          7        10       ERR129161
303          6        8        ERR069716
304          4        5        ERR124289
305          7        10       ERR129153
306          3        4        ERR129057
307          5        6        ERR067977
308          7        7        ERR129131
309          6        8        ERR069772
310          7        10       ERR124281
311          6        8        ERR069750
312          5        6        ERR069715
313          7        9        ERR124227
314          7        10       ERR069683
315          6        8        ERR069813
316          6        8        ERR124253
317          2        3        ERR069724
318          4        5        ERR065966
319          7        9        ERR069803
320          7        10       ERR124267
321          4        5        ERR124254
322          7        9        ERR129168
323          7        10       ERR124320
324          4        5        ERR065298
325          7        7        ERR069804
326          7        9        ERR065303
327          5        6        ERR065957
328          2        3        ERR068042
329          5        6        ERR069692
330          2        3        ERR124249
331          5        6        ERR069759
332          5        6        ERR069723
333          3        4        ERR067976
334          3        4        ERR065307
335          7        9        ERR065962
336          7        10       ERR069745
337          4        5        ERR129081
338          2        3        ERR129198
339          2        3        ERR069742
340          3        4        ERR069718
341          3        4        ERR124224
342          4        5        ERR069790
343          5        6        ERR069827
344          7        10       ERR129142
345          4        5        ERR124309
346          6        8        ERR069806
347          7        7        ERR129068
348          2        3        ERR067978
349          5        6        ERR069741
350          6        8        ERR129136
351          7        1        ERR129062
352          4        5        ERR129203
353          2        3        ERR068032
354          6        8        ERR065316
355          6        8        ERR124217
356          7        10       ERR067991
357          7        10       ERR124284
358          7        7        ERR129079
359          2        3        ERR069722
360          1        2        ERR124260
361          6        8        ERR069701
362          4        5        ERR129162
363          7        10       ERR129124
364          7        7        ERR124246
365          6        8        ERR065299
366          4        5        ERR129184
367          7        1        ERR124233
368          6        8        ERR124266
369          7        10       ERR069818
370          7        9        ERR068029
371          2        3        ERR124239
372          7        9        ERR124279
373          7        10       ERR129175
374          2        3        ERR065294
375          7        7        ERR129139
376          1        2        ERR069778
377          7        10       ERR068015
378          6        8        ERR129128
379          7        9        ERR129163
380          2        3        ERR068028
381          4        5        ERR065355
382          7        9        ERR068023
383          7        9        ERR069777
384          7        1        ERR069791
385          7        10       ERR124263
386          7        10       ERR069704
387          7        10       ERR129134
388          7        10       ERR129025
389          7        9        ERR065351
390          7        7        ERR069807
391          7        10       ERR129209
392          7        10       ERR069761
393          7        10       ERR129034
394          7        9        ERR129172
395          7        7        ERR124240
396          6        8        ERR065315
397          7        10       ERR065346
398          7        10       ERR069731
399          7        10       ERR069828
400          7        9        ERR069755
401          1        2        ERR129156
402          7        9        ERR067988
403          7        10       ERR069714
404          7        1        ERR068036
405          6        8        ERR129071
406          7        9        ERR129035
407          5        6        ERR069697
408          3        4        ERR065306
409          6        8        ERR069838
410          3        4        ERR065313
411          7        10       ERR129038
412          6        8        ERR124294
413          3        4        ERR124243
414          6        8        ERR067975
415          7        10       ERR129046
416          7        10       ERR129053
417          2        3        ERR124272
418          1        2        ERR065289
419          5        6        ERR124285
420          7        10       ERR129126
421          6        8        ERR129151
422          7        10       ERR124225
423          7        10       ERR065321
424          7        10       ERR068011
425          4        5        ERR124264
426          7        7        ERR069707
427          6        8        ERR124252
428          3        4        ERR129082
429          3        4        ERR069743
430          7        10       ERR067980
431          1        2        ERR069836
432          7        7        ERR068047
433          7        10       ERR065288
434          6        8        ERR124258
435          7        1        ERR065314
436          7        9        ERR124301
437          7        10       ERR129091
438          6        8        ERR067982
439          3        4        ERR124276
440          7        10       ERR129118
441          4        5        ERR065318
442          7        10       ERR068010
443          3        4        ERR129067
444          2        3        ERR065349
445          7        9        ERR068030
446          7        9        ERR069728
447          4        5        ERR067997
448          7        10       ERR065291
449          6        8        ERR069730
