13 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
3272      3361      2               2                2.8        ERR065974
540       711       6               6                5.8        ERR069786
2282      2322      5               6                6.7        ERR069786
2555      3361      5               33               5.9        ERR124244
3272      3361      2               36               2.8        ERR065341
2260      2888      5               37               1.8        ERR069706
3272      3361      2               38               2.8        ERR129130
540       711       6               44               5.8        ERR069685
2282      2322      5               44               6.7        ERR069685
3309      3361      6               64               6.6        ERR124235
3272      3361      2               96               2.8        ERR065965
2562      2570      6               114              7.4        ERR069820
3002      3361      6               114              48.0       ERR069820
3694      3747      3               120              1.9        ERR069825
2260      2888      5               152              1.8        ERR068003
3272      3747      2               154              2.4        ERR129181
540       711       6               157              5.8        ERR069798
2282      2322      5               157              6.7        ERR069798
3272      3361      2               158              2.8        ERR124278
3125      3569      6               162              6.7        ERR129045
523       711       6               170              5.1        ERR065971
2282      2322      5               170              6.6        ERR065971
482       711       6               179              6.0        ERR129168
2282      2322      5               179              6.9        ERR129168
2260      2888      5               218              1.8        ERR069791
482       711       6               221              6.0        ERR129172
2282      2322      5               221              6.9        ERR129172
3272      3361      2               233              2.8        ERR065289
2260      2888      5               239              1.8        ERR065314
482       711       6               253              6.0        ERR065969
2282      2322      5               253              6.9        ERR065969
2260      2888      5               254              1.8        ERR069842
482       711       6               265              6.0        ERR069693
2282      2322      5               265              6.9        ERR069693
3272      3361      2               270              2.8        ERR065296
2260      2888      5               273              1.8        ERR129078
2260      2888      5               278              1.8        ERR069699
2260      2888      5               280              1.8        ERR069793
482       711       6               295              6.0        ERR069779
2282      2322      5               295              6.9        ERR069779
2562      2570      6               298              7.0        ERR129084
3002      3361      6               298              46.1       ERR129084
1         94        4               301              0.9        ERR069840
3239      3569      3               301              1.3        ERR069840
3677      3747      3               301              1.7        ERR069840
2260      2888      5               311              1.8        ERR069762
2260      2888      5               319              1.8        ERR067999
