1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
840       855       5               12               13.5       ERR069823
840       855       5               21               13.5       ERR069712
840       855       5               33               13.5       ERR129164
840       855       5               36               13.5       ERR067964
840       855       5               41               13.5       ERR069835
840       855       5               53               13.5       ERR067981
840       855       5               59               13.5       ERR129051
840       855       5               61               13.5       ERR069746
840       855       5               67               13.5       ERR065968
840       855       5               71               13.5       ERR129158
840       855       5               72               13.5       ERR069812
840       855       5               77               13.5       ERR068012
840       855       5               81               13.5       ERR129132
840       855       5               84               13.5       ERR065292
840       855       5               86               13.5       ERR069690
840       855       5               90               13.5       ERR068018
840       855       5               105              13.5       ERR069768
840       855       5               107              13.5       ERR065967
840       855       5               108              13.5       ERR129090
840       855       5               112              13.5       ERR065344
840       855       5               127              13.5       ERR068020
840       855       5               131              13.5       ERR067977
840       855       5               133              13.5       ERR069715
840       855       5               134              13.5       ERR069683
840       855       5               138              13.5       ERR065962
840       855       5               165              13.5       ERR069755
840       855       5               175              13.5       ERR124285
840       855       5               176              13.5       ERR129126
840       855       5               190              13.5       ERR124265
840       855       5               193              13.5       ERR069765
840       855       5               197              13.5       ERR129113
840       855       5               201              13.5       ERR068013
840       855       5               203              13.5       ERR124231
840       855       5               205              13.5       ERR124304
840       855       5               208              13.5       ERR124282
840       855       5               209              13.5       ERR069732
840       855       5               222              13.5       ERR129058
840       855       5               223              13.5       ERR065330
840       855       5               226              13.5       ERR069719
840       855       5               233              13.5       ERR069770
840       855       5               238              13.5       ERR069721
840       855       5               241              13.5       ERR129199
840       855       5               249              13.5       ERR069740
840       855       5               252              13.5       ERR124237
