1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
492       675       1               75               1.3        ERR065332
502       675       1               130              0.3        ERR069725
502       675       1               145              0.3        ERR129026
502       675       1               165              0.3        ERR069698
502       675       1               179              0.3        ERR124274
502       675       1               201              0.3        ERR124283
502       675       1               202              0.3        ERR065293
502       675       1               228              0.3        ERR124221
502       675       1               230              0.3        ERR068026
502       675       1               238              0.3        ERR065297
492       675       1               310              1.3        ERR069724
492       675       1               320              1.3        ERR068042
492       675       1               322              1.3        ERR124249
492       675       1               330              1.3        ERR129198
492       675       1               340              1.3        ERR067978
492       675       1               363              1.3        ERR124239
492       675       1               372              1.3        ERR068028
502       675       1               409              0.3        ERR124272
502       675       1               442              0.3        ERR124300
502       675       1               487              0.3        ERR129054
470       718       1               587              2.7        ERR069808
