3 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
165       172       5               14               1.9        ERR129212
165       172       5               61               1.9        ERR069686
165       172       5               92               1.9        ERR069748
165       172       5               114              1.9        ERR069689
165       172       5               165              1.9        ERR129180
165       172       5               270              1.9        ERR068006
165       172       5               282              1.9        ERR069832
165       172       5               303              1.9        ERR069716
165       172       5               306              1.9        ERR129057
165       172       5               311              1.9        ERR069750
165       172       5               361              1.9        ERR069701
165       172       5               477              1.9        ERR067983
165       172       5               496              1.9        ERR067989
1         471       1               523              5.6        ERR069694
530       570       4               523              3.8        ERR069694
