2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
411       608       3               31               3.6        ERR069764
411       608       3               59               3.6        ERR129187
411       608       3               106              3.6        ERR068014
411       608       3               113              3.6        ERR129094
411       608       3               122              3.6        ERR069792
411       608       3               140              3.6        ERR068031
411       608       3               166              4.8        ERR068016
411       608       3               174              3.6        ERR065354
411       608       3               177              4.8        ERR129066
411       608       3               212              4.8        ERR065304
411       608       3               232              3.6        ERR129206
411       608       3               279              4.8        ERR065959
411       608       3               329              3.6        ERR069692
411       608       3               332              3.6        ERR069723
411       608       3               356              4.8        ERR067991
411       608       3               407              3.6        ERR069697
411       608       3               411              4.8        ERR129038
411       608       3               421              4.1        ERR129151
58        63        3               438              0.3        ERR067982
411       608       3               468              3.6        ERR069810
411       608       3               525              3.1        ERR068009
411       608       3               548              4.1        ERR069815
411       608       3               572              4.8        ERR124230
411       608       3               598              3.6        ERR069808
411       608       3               600              3.6        ERR129047
411       608       3               605              3.6        ERR129095
