StrainIndex  Lineage  Cluster  Name
1            4        10       ERR069738
2            3        5        ERR065974
3            4        4        ERR129065
4            4        10       ERR129037
5            4        9        ERR069700
6            4        9        ERR124247
7            4        10       ERR124222
8            3        7        ERR065305
9            2        3        ERR069786
10           3        8        ERR129179
11           2        2        ERR129176
12           1        6        ERR069709
13           4        10       ERR067985
14           3        5        ERR129212
15           4        10       ERR068037
16           4        9        ERR069814
17           3        8        ERR124241
18           3        7        ERR069795
19           3        8        ERR124293
20           1        6        ERR069735
21           4        10       ERR069773
22           4        9        ERR067966
23           4        9        ERR129029
24           4        9        ERR129105
25           4        10       ERR124226
26           4        9        ERR129196
27           4        9        ERR069823
28           2        3        ERR124319
29           3        8        ERR068001
30           2        2        ERR129117
31           4        10       ERR069764
32           4        9        ERR068007
33           3        7        ERR068008
34           4        9        ERR067969
35           3        8        ERR069703
36           4        9        ERR129195
37           4        9        ERR065325
38           4        9        ERR124256
39           3        8        ERR129087
40           1        6        ERR069819
41           4        10       ERR129129
42           4        9        ERR065960
43           3        7        ERR069796
44           4        10       ERR065326
45           4        9        ERR069712
46           1        6        ERR124244
47           4        10       ERR129075
48           4        10       ERR069713
49           4        4        ERR069826
50           3        5        ERR065341
51           3        7        ERR069771
52           3        8        ERR069706
53           3        7        ERR065970
54           3        5        ERR129130
55           4        10       ERR129096
56           4        4        ERR129107
57           4        9        ERR069809
58           4        10       ERR065302
59           4        9        ERR129187
60           4        9        ERR124314
61           4        10       ERR069686
62           3        5        ERR069824
63           4        9        ERR068048
64           3        7        ERR065972
65           4        10       ERR129164
66           4        10       ERR069688
67           2        3        ERR069685
68           4        10       ERR124307
69           3        8        ERR067962
70           4        9        ERR124257
71           4        10       ERR129127
72           4        9        ERR065301
73           4        10       ERR124287
74           2        1        ERR068025
75           4        9        ERR067964
76           2        1        ERR069811
77           4        10       ERR069727
78           3        7        ERR129063
79           3        8        ERR065332
80           3        7        ERR129028
81           4        10       ERR065287
82           2        2        ERR129213
83           4        4        ERR129155
84           2        2        ERR129042
85           3        8        ERR129148
86           4        10       ERR129040
