StrainIndex  Lineage  Cluster  Name
1            2        6        ERR065974
2            6        8        ERR129037
3            6        4        ERR069700
4            4        7        ERR069700
5            6        8        ERR124247
6            4        7        ERR124222
7            5        10       ERR065305
8            4        7        ERR129176
9            6        5        ERR069709
10           6        8        ERR067985
11           6        4        ERR069773
12           6        4        ERR067966
13           4        7        ERR067966
14           2        6        ERR129105
15           2        6        ERR129196
16           3        9        ERR069823
17           6        5        ERR068001
18           2        1        ERR068001
19           4        7        ERR129117
20           6        5        ERR069764
21           5        10       ERR068008
22           6        5        ERR068008
23           6        4        ERR067969
24           4        7        ERR067969
25           2        6        ERR129195
26           4        7        ERR065325
27           6        4        ERR065325
28           3        9        ERR124256
29           5        10       ERR129129
30           4        7        ERR065960
31           6        4        ERR065960
32           5        10       ERR069796
33           6        5        ERR069796
34           6        8        ERR065326
35           2        6        ERR069712
36           3        9        ERR124244
37           4        7        ERR129075
38           6        8        ERR069713
39           2        6        ERR065341
40           5        10       ERR069771
41           2        6        ERR129130
42           3        9        ERR069809
43           6        4        ERR065302
44           1        2        ERR129187
45           4        7        ERR124314
46           6        4        ERR124314
47           1        2        ERR069824
48           2        6        ERR069824
49           3        9        ERR068048
50           5        10       ERR065972
51           3        9        ERR129164
52           6        8        ERR129127
53           2        6        ERR065301
54           4        3        ERR068025
55           3        9        ERR067964
56           4        3        ERR069811
57           6        8        ERR069727
58           6        5        ERR129063
59           5        10       ERR129063
60           2        1        ERR129028
61           5        10       ERR065287
62           4        7        ERR129213
63           4        7        ERR129155
64           6        4        ERR129155
65           4        7        ERR129042
66           6        4        ERR129040
67           3        9        ERR069835
68           1        2        ERR129102
69           4        3        ERR129102
70           2        6        ERR069729
71           1        2        ERR069729
72           4        3        ERR129152
73           3        9        ERR069843
74           5        10       ERR124229
75           3        9        ERR129088
76           6        8        ERR069752
77           3        9        ERR065350
78           5        10       ERR129149
79           6        8        ERR129214
80           5        10       ERR069833
81           4        3        ERR124310
82           6        8        ERR068046
83           6        8        ERR129215
84           6        5        ERR129140
85           5        10       ERR129140
86           5        10       ERR069831
87           6        5        ERR069831
88           1        2        ERR068014
89           5        10       ERR124315
90           6        5        ERR124315
91           4        7        ERR124255
92           2        6        ERR065342
93           4        7        ERR124235
94           6        8        ERR129159
95           1        2        ERR129094
96           2        6        ERR068005
97           3        9        ERR067981
98           3        9        ERR069785
99           3        9        ERR069792
100          3        9        ERR124271
101          3        9        ERR124271
102          5        10       ERR069687
103          4        7        ERR124228
