8 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
800       1044      2               2                1.2        ERR065974
1279      1358      1               5                2.5        ERR069700
1085      1129      4               6                4.4        ERR124247
1235      1285      5               6                10.0       ERR124247
1286      1339      4               6                6.7        ERR124247
559       624       3               7                6.4        ERR124222
559       682       1               9                3.4        ERR069786
1279      1358      1               10               2.5        ERR129179
559       682       3               11               1.9        ERR129176
529       624       3               12               2.6        ERR069709
1279      1358      1               17               2.5        ERR124241
1279      1358      1               19               2.5        ERR124293
529       695       3               21               0.6        ERR069773
1279      1358      1               21               3.4        ERR069773
1279      1358      1               22               2.5        ERR067966
559       624       3               24               6.1        ERR129105
559       624       3               26               6.1        ERR129196
1085      1129      4               27               4.4        ERR069823
1235      1285      5               27               10.0       ERR069823
1286      1339      4               27               6.7        ERR069823
1251      1278      5               28               1.9        ERR124319
1279      1376      4               28               14.2       ERR124319
529       624       3               29               2.6        ERR068001
559       682       3               30               1.9        ERR129117
529       624       3               31               2.6        ERR069764
1279      1358      1               34               2.5        ERR067969
1279      1358      1               35               2.5        ERR069703
559       624       3               36               6.1        ERR129195
529       624       3               37               2.3        ERR065325
1279      1358      1               39               2.5        ERR129087
529       624       3               42               2.3        ERR065960
559       624       3               47               6.4        ERR129075
800       1044      2               50               1.2        ERR065341
559       624       3               52               6.4        ERR069706
800       1044      2               54               1.2        ERR129130
529       695       3               58               0.6        ERR065302
1279      1358      1               58               3.4        ERR065302
529       624       3               59               2.3        ERR129187
1279      1358      1               60               2.5        ERR124314
559       682       3               67               1.9        ERR069685
1279      1358      1               69               2.5        ERR067962
559       624       3               72               6.1        ERR065301
559       624       3               74               6.8        ERR068025
1085      1129      4               75               4.4        ERR067964
1235      1285      5               75               10.0       ERR067964
1286      1339      4               75               6.7        ERR067964
559       624       3               76               6.4        ERR069811
559       682       3               82               1.9        ERR129213
559       682       3               84               1.9        ERR129042
1279      1358      1               85               2.5        ERR129148
529       695       3               86               0.6        ERR129040
1279      1358      1               86               3.4        ERR129040
1085      1129      4               87               4.4        ERR069835
1235      1285      5               87               10.0       ERR069835
1286      1339      4               87               6.7        ERR069835
559       624       3               91               6.4        ERR129152
559       624       3               93               6.4        ERR069843
529       624       3               106              2.3        ERR068014
559       624       3               108              6.4        ERR124255
559       624       3               109              6.1        ERR065342
559       682       3               110              1.9        ERR124235
529       624       3               113              2.3        ERR129094
1235      1278      5               116              2.0        ERR068005
1279      1358      1               117              2.5        ERR069749
559       624       3               121              6.8        ERR069785
529       624       3               122              2.3        ERR069792
1279      1358      1               125              2.5        ERR124277
1279      1358      1               127              1.7        ERR129044
529       624       3               128              2.6        ERR065353
1279      1358      1               129              2.5        ERR129074
529       624       3               131              2.6        ERR065953
559       682       3               137              1.9        ERR129157
1085      1129      4               139              4.4        ERR069746
1235      1285      5               139              10.0       ERR069746
1286      1339      4               139              6.7        ERR069746
529       624       3               140              2.3        ERR068031
559       624       3               145              6.4        ERR065327
1251      1278      5               148              1.9        ERR124288
1279      1376      4               148              14.2       ERR124288
529       624       3               152              2.6        ERR069710
1279      1358      1               155              2.5        ERR065300
529       624       3               159              2.6        ERR129027
800       1044      2               163              1.2        ERR065965
1279      1358      1               166              2.5        ERR068016
1279      1358      1               167              2.5        ERR065324
1085      1129      4               171              4.4        ERR069812
1235      1285      5               171              10.0       ERR069812
1286      1339      4               171              6.7        ERR069812
529       624       3               174              2.3        ERR065354
1279      1358      1               175              2.5        ERR069787
1279      1358      1               177              2.5        ERR129066
559       624       3               178              6.4        ERR129039
1279      1358      1               179              2.3        ERR065329
1279      1358      1               181              2.5        ERR129200
559       682       3               186              1.9        ERR069708
1279      1358      1               190              2.5        ERR069744
1279      1358      1               195              2.5        ERR068019
1279      1358      1               196              2.5        ERR129099
1085      1129      4               198              4.4        ERR065292
1235      1285      5               198              10.0       ERR065292
1286      1339      4               198              6.7        ERR065292
