StrainIndex  Lineage  Cluster  Name
1            4        6        ERR069738
2            4        9        ERR065974
3            4        8        ERR129065
4            4        9        ERR129037
5            4        7        ERR069700
6            4        9        ERR124247
7            4        6        ERR124222
8            4        7        ERR065305
9            4        4        ERR069786
10           4        5        ERR129179
11           4        4        ERR129176
12           4        6        ERR069709
13           4        9        ERR067985
14           4        8        ERR129212
15           4        6        ERR068037
16           3        3        ERR069814
17           4        5        ERR124241
18           4        7        ERR069795
19           4        5        ERR124293
20           4        6        ERR069735
21           4        4        ERR069773
22           4        7        ERR067966
23           4        8        ERR129029
24           4        7        ERR129105
25           4        9        ERR124226
26           4        7        ERR129196
27           4        9        ERR069823
28           4        4        ERR124319
29           4        6        ERR068001
30           4        4        ERR129117
31           4        7        ERR069764
32           3        3        ERR068007
33           4        7        ERR068008
34           4        7        ERR067969
35           4        5        ERR069703
36           4        7        ERR129195
37           3        3        ERR065325
38           4        6        ERR124256
39           4        5        ERR129087
40           4        6        ERR069819
41           4        6        ERR129129
42           4        7        ERR069796
43           4        9        ERR065326
44           4        8        ERR069712
45           4        6        ERR124244
46           4        6        ERR129075
47           4        9        ERR069713
48           4        8        ERR069826
49           4        9        ERR065341
50           4        7        ERR069771
51           4        6        ERR069706
52           4        7        ERR065970
53           4        9        ERR129130
54           4        6        ERR129096
55           4        8        ERR129107
56           4        6        ERR069809
57           4        4        ERR065302
58           4        9        ERR129187
59           4        7        ERR124314
60           4        6        ERR069686
61           4        9        ERR069824
62           4        6        ERR068048
63           4        7        ERR065972
64           4        5        ERR129164
65           4        6        ERR069688
66           4        6        ERR069685
67           4        6        ERR124307
68           4        5        ERR067962
69           3        3        ERR124257
70           4        9        ERR129127
71           4        7        ERR065301
72           4        8        ERR124287
73           4        8        ERR068025
74           4        9        ERR067964
75           4        8        ERR069811
76           4        9        ERR069727
77           4        7        ERR129063
78           4        9        ERR065332
79           3        3        ERR129028
80           4        6        ERR065287
81           4        4        ERR129213
82           4        8        ERR129155
83           4        4        ERR129042
84           4        5        ERR129148
85           4        4        ERR129040
86           4        9        ERR069835
87           4        8        ERR129146
88           4        9        ERR129102
89           4        9        ERR069729
90           4        8        ERR129152
91           4        8        ERR069748
92           4        6        ERR069843
93           4        7        ERR124229
94           4        5        ERR129088
95           4        9        ERR069752
96           4        6        ERR065350
97           4        7        ERR129149
98           4        9        ERR129214
99           4        6        ERR069833
100          4        8        ERR124310
101          4        9        ERR068046
102          4        9        ERR129215
103          4        7        ERR129140
104          4        7        ERR069831
105          4        7        ERR068014
106          4        7        ERR124315
107          4        6        ERR124255
108          4        7        ERR065342
109          4        4        ERR124235
110          4        9        ERR129159
111          4        6        ERR129204
112          4        7        ERR129094
113          4        8        ERR069689
114          4        7        ERR069751
115          4        6        ERR068005
116          4        5        ERR069749
117          4        5        ERR067981
118          4        6        ERR067996
119          4        8        ERR129052
120          4        6        ERR069785
121          4        8        ERR069792
122          4        9        ERR124271
123          4        7        ERR069687
124          4        5        ERR124277
125          4        8        ERR124228
126          4        8        ERR129044
127          4        6        ERR065353
128          4        5        ERR129074
129          1        1        ERR069817
130          4        6        ERR065953
131          4        8        ERR129076
132          4        9        ERR129154
133          4        9        ERR069725
134          4        9        ERR068040
135          4        8        ERR129051
136          4        4        ERR129157
137          4        8        ERR124311
138          4        9        ERR069746
139          4        8        ERR068031
140          4        9        ERR067986
141          4        9        ERR124291
142          4        8        ERR129055
143          4        8        ERR069780
144          4        8        ERR065327
145          4        9        ERR069822
146          4        7        ERR129207
147          4        4        ERR124288
148          4        9        ERR129026
149          4        9        ERR124218
150          4        8        ERR068027
151          4        6        ERR069710
152          4        9        ERR065310
153          4        7        ERR129160
154          4        5        ERR065300
155          3        3        ERR069789
156          4        6        ERR065343
157          4        8        ERR069802
158          4        6        ERR129027
159          4        7        ERR129170
160          4        8        ERR129048
161          4        8        ERR065968
162          4        9        ERR065965
163          4        6        ERR068044
164          4        8        ERR129180
165          4        9        ERR068016
166          4        5        ERR065324
167          4        7        ERR129112
168          4        5        ERR129158
169          4        9        ERR069698
170          4        9        ERR069812
171          4        9        ERR124302
172          3        3        ERR129083
173          4        8        ERR065354
174          4        7        ERR069787
175          4        7        ERR068017
176          4        9        ERR129066
177          4        8        ERR129039
178          4        5        ERR065329
179          4        7        ERR124269
180          4        5        ERR129200
181          4        8        ERR067995
182          4        5        ERR068012
183          4        9        ERR124274
184          4        9        ERR067993
185          4        4        ERR069708
186          4        8        ERR129106
187          4        7        ERR069717
188          4        7        ERR067974
189          4        7        ERR069744
190          4        9        ERR129210
191          4        7        ERR129108
192          4        8        ERR129132
193          4        7        ERR069711
194          4        5        ERR068019
195          4        5        ERR129099
196          4        7        ERR129059
197          4        9        ERR065292
198          4        8        ERR067961
199          4        6        ERR069820
200          3        3        ERR129216
201          4        8        ERR129116
202          4        5        ERR124250
203          4        8        ERR069690
204          4        6        ERR065973
205          4        8        ERR065309
206          4        9        ERR124283
207          4        9        ERR065293
208          4        7        ERR069825
209          4        8        ERR069737
210          4        5        ERR124316
211          4        9        ERR065304
212          4        7        ERR129144
213          4        8        ERR124232
214          4        8        ERR068018
215          4        9        ERR124296
216          4        7        ERR067960
217          4        7        ERR068050
218          4        4        ERR068039
219          4        7        ERR068004
220          4        7        ERR129032
221          4        6        ERR124248
222          4        9        ERR068041
223          4        5        ERR129086
224          4        7        ERR065317
225          4        5        ERR069834
226          4        6        ERR069720
227          3        3        ERR129050
228          4        9        ERR129064
229          4        8        ERR069830
230          4        6        ERR069774
231          4        7        ERR129206
232          4        9        ERR069801
233          4        9        ERR124221
234          4        9        ERR129080
235          4        9        ERR068026
236          4        8        ERR129147
237          4        6        ERR069829
238          4        7        ERR129077
239          4        8        ERR067994
240          4        5        ERR069726
241          4        8        ERR065338
242          4        9        ERR129041
243          4        9        ERR065297
244          4        7        ERR129120
245          4        9        ERR129061
246          4        8        ERR124219
247          4        8        ERR065345
248          4        8        ERR124305
249          4        9        ERR069769
250          4        6        ERR065295
251          4        8        ERR069768
252          4        7        ERR129197
253          4        9        ERR065967
254          4        9        ERR124223
255          4        6        ERR069734
256          4        4        ERR129167
257          4        5        ERR129143
258          4        5        ERR124299
259          4        6        ERR129092
260          4        8        ERR129090
261          4        5        ERR068002
262          4        6        ERR068003
263          4        9        ERR124268
264          3        3        ERR129181
265          4        7        ERR069696
266          4        7        ERR129072
267          4        9        ERR065344
268          4        8        ERR129111
269          4        8        ERR068006
270          4        6        ERR068035
271          4        4        ERR069798
272          4        9        ERR124278
273          4        9        ERR069760
274          4        7        ERR067984
275          4        9        ERR069782
276          4        5        ERR124236
277          4        6        ERR068045
278          4        9        ERR065959
279          4        9        ERR129045
280          4        7        ERR069781
281          4        8        ERR069832
282          4        9        ERR065320
283          4        8        ERR124292
284          4        6        ERR129186
285          4        4        ERR124308
286          4        4        ERR129043
287          4        7        ERR069805
288          4        6        ERR124220
289          4        8        ERR069800
290          3        3        ERR068021
291          4        7        ERR067998
292          4        8        ERR124312
293          4        4        ERR065971
294          4        7        ERR129183
295          4        7        ERR068034
296          4        8        ERR065311
297          4        8        ERR068020
298          4        6        ERR069767
299          4        8        ERR067967
300          4        7        ERR069691
301          4        8        ERR129161
302          4        8        ERR069716
303          4        9        ERR124289
304          4        7        ERR129153
305          4        8        ERR129057
306          4        8        ERR067977
307          4        9        ERR129131
308          4        9        ERR069772
309          4        7        ERR124281
310          4        8        ERR069750
311          4        8        ERR069715
312          4        4        ERR124227
313          4        5        ERR069683
314          4        6        ERR069813
315          4        8        ERR124253
316          4        9        ERR069724
317          4        8        ERR065966
318          2        2        ERR069803
319          4        6        ERR124267
320          4        8        ERR124254
321          4        4        ERR129168
322          4        7        ERR124320
323          4        8        ERR065298
324          4        9        ERR069804
325          4        4        ERR065303
326          4        9        ERR065957
327          4        9        ERR068042
328          4        8        ERR069692
329          4        9        ERR124249
330          4        6        ERR069759
331          4        8        ERR069723
332          4        8        ERR067976
333          4        8        ERR065307
334          4        9        ERR065962
335          4        7        ERR069745
336          4        7        ERR129081
337          4        9        ERR129198
338          4        9        ERR069742
339          4        8        ERR069718
340          4        8        ERR124224
341          4        8        ERR069790
342          4        6        ERR069827
343          4        7        ERR129142
344          4        9        ERR124309
345          4        9        ERR069806
346          4        9        ERR129068
347          4        9        ERR067978
348          4        6        ERR069741
349          3        3        ERR129136
350          4        6        ERR129062
351          4        8        ERR129203
352          4        9        ERR068032
353          4        8        ERR065316
354          4        8        ERR124217
355          4        9        ERR067991
356          4        7        ERR124284
357          4        9        ERR129079
358          4        6        ERR069722
359          4        6        ERR124260
360          4        8        ERR069701
361          4        6        ERR129162
362          4        4        ERR129124
363          4        9        ERR124246
364          3        3        ERR065299
365          4        9        ERR129184
366          4        6        ERR124233
367          4        8        ERR124266
368          4        7        ERR069818
369          4        5        ERR068029
370          4        9        ERR124239
371          4        5        ERR124279
372          4        7        ERR129175
373          4        9        ERR065294
374          4        9        ERR129139
375          4        6        ERR069778
376          4        8        ERR068015
377          4        7        ERR129128
378          4        5        ERR129163
379          4        9        ERR068028
380          4        8        ERR065355
381          4        4        ERR068023
382          4        8        ERR069777
383          4        6        ERR069791
384          4        7        ERR124263
385          4        6        ERR069704
386          4        5        ERR129134
387          4        7        ERR129025
388          4        5        ERR065351
389          4        8        ERR069807
390          4        7        ERR129209
391          4        7        ERR069761
392          4        6        ERR129034
393          4        6        ERR129172
394          4        9        ERR124240
395          4        9        ERR065315
396          4        8        ERR065346
397          4        6        ERR069731
398          4        6        ERR069828
399          4        9        ERR069755
400          4        6        ERR129156
401          4        5        ERR067988
402          4        7        ERR069714
403          4        6        ERR068036
404          4        9        ERR129071
405          4        5        ERR129035
406          4        8        ERR069697
407          4        8        ERR065306
408          4        6        ERR069838
409          4        8        ERR065313
410          4        9        ERR129038
411          4        4        ERR124294
412          4        8        ERR124243
413          4        7        ERR067975
414          4        7        ERR129046
415          4        7        ERR129053
416          4        9        ERR124272
417          4        9        ERR065289
418          4        8        ERR124285
419          4        5        ERR129126
420          4        9        ERR129151
421          4        7        ERR124225
422          4        4        ERR065321
423          4        7        ERR068011
424          4        8        ERR124264
