StrainIndex  Lineage  Cluster  Name
1            3        7        ERR065305
2            3        7        ERR069795
3            3        7        ERR068008
4            3        6        ERR065325
5            3        5        ERR129129
6            3        6        ERR065960
7            3        6        ERR069796
8            3        7        ERR069771
9            3        7        ERR065970
10           3        7        ERR065972
11           3        7        ERR129063
12           3        7        ERR065332
13           3        6        ERR129028
14           3        5        ERR065287
15           3        7        ERR124229
16           3        7        ERR129149
17           3        5        ERR069833
18           3        4        ERR124310
19           3        6        ERR129140
20           3        7        ERR069831
21           3        7        ERR124315
22           3        7        ERR069751
23           2        2        ERR068005
24           3        7        ERR069687
25           3        6        ERR065353
26           3        7        ERR069817
27           3        7        ERR069725
28           3        7        ERR129207
29           3        7        ERR129026
30           3        7        ERR129160
31           3        7        ERR129027
32           3        7        ERR129170
33           3        4        ERR129048
34           3        5        ERR068044
35           3        3        ERR068016
36           3        6        ERR129112
37           3        7        ERR069698
38           3        6        ERR129083
39           3        6        ERR068017
40           3        3        ERR129066
41           3        7        ERR124269
42           3        7        ERR124274
43           3        6        ERR069717
44           3        7        ERR067974
45           3        7        ERR129108
46           3        7        ERR069711
47           3        7        ERR129059
48           3        6        ERR129216
49           3        4        ERR065309
50           3        7        ERR124283
51           3        7        ERR065293
52           3        3        ERR065304
53           3        7        ERR067960
54           3        7        ERR068050
55           3        6        ERR068004
56           3        7        ERR129032
57           3        7        ERR065317
58           3        6        ERR129050
59           3        5        ERR069774
60           3        7        ERR124221
61           3        7        ERR068026
62           3        5        ERR069829
63           3        7        ERR065297
64           3        7        ERR129120
65           3        7        ERR129061
66           3        4        ERR124305
67           3        7        ERR129197
68           3        6        ERR069696
69           3        6        ERR129072
70           3        4        ERR129111
71           3        7        ERR067984
72           3        5        ERR068045
73           3        3        ERR065959
74           3        7        ERR069781
75           3        7        ERR065320
76           3        5        ERR129186
77           3        6        ERR069805
78           3        5        ERR124220
79           3        7        ERR129183
80           3        7        ERR068034
81           3        7        ERR069691
82           3        6        ERR129153
83           3        7        ERR124281
84           3        4        ERR124253
85           3        7        ERR069724
86           3        5        ERR124267
87           3        7        ERR068042
88           3        7        ERR124249
89           2        2        ERR069759
90           3        7        ERR069745
91           3        7        ERR129081
92           3        7        ERR129198
93           3        7        ERR129142
94           3        7        ERR067978
95           2        2        ERR069741
96           3        6        ERR129136
97           3        7        ERR068032
98           3        4        ERR065316
99           3        4        ERR124217
100          3        3        ERR067991
101          3        7        ERR124284
102          3        7        ERR065299
103          3        4        ERR124266
104          3        7        ERR124239
105          3        7        ERR129175
106          3        7        ERR065294
107          3        7        ERR068028
108          3        7        ERR124263
109          3        7        ERR069704
110          3        7        ERR129025
111          3        7        ERR129209
112          3        7        ERR069761
113          3        7        ERR129034
114          3        7        ERR069828
115          3        3        ERR129038
116          3        6        ERR067975
117          3        7        ERR129046
118          3        7        ERR124272
119          3        7        ERR124225
120          3        7        ERR068011
121          3        7        ERR124252
122          3        7        ERR065288
123          3        7        ERR129091
124          3        7        ERR129118
125          3        7        ERR065291
126          3        7        ERR124300
127          3        6        ERR129202
128          3        7        ERR129121
129          3        7        ERR129123
130          3        7        ERR129174
131          3        6        ERR069784
132          3        6        ERR129138
133          3        5        ERR065337
134          3        7        ERR129054
135          3        7        ERR069732
136          3        5        ERR124251
137          3        4        ERR129110
138          3        7        ERR065975
139          1        1        ERR069702
140          3        6        ERR124234
141          3        5        ERR068038
142          3        7        ERR129125
143          3        7        ERR069705
144          3        6        ERR065328
145          3        7        ERR129060
146          3        5        ERR124313
147          3        7        ERR069758
148          3        7        ERR124280
149          3        7        ERR129033
150          3        6        ERR069684
151          3        5        ERR129190
152          3        4        ERR069757
153          3        7        ERR069753
154          3        7        ERR068049
155          3        7        ERR069776
156          3        6        ERR129103
157          3        7        ERR129115
158          3        3        ERR124230
159          3        7        ERR069794
160          3        7        ERR124295
161          3        5        ERR065340
162          3        4        ERR129145
163          3        7        ERR068024
164          3        7        ERR065323
165          3        5        ERR065319
166          2        2        ERR067979
167          3        7        ERR124270
168          3        6        ERR129030
