StrainIndex  Lineage  Cluster  Name
1            3        9        ERR069738
2            2        1        ERR065974
3            3        9        ERR129065
4            3        8        ERR129037
5            2        5        ERR069700
6            3        9        ERR124247
7            3        9        ERR124222
8            3        9        ERR065305
9            3        9        ERR069786
10           3        9        ERR129179
11           3        9        ERR129176
12           3        9        ERR069709
13           3        8        ERR067985
14           3        9        ERR129212
15           3        9        ERR068037
16           3        7        ERR069814
17           3        9        ERR124241
18           3        9        ERR069795
19           3        9        ERR124293
20           3        9        ERR069735
21           3        9        ERR069773
22           2        5        ERR067966
23           3        9        ERR129029
24           3        8        ERR129105
25           2        2        ERR124226
26           3        8        ERR129196
27           3        9        ERR069823
28           3        9        ERR124319
29           3        9        ERR068001
30           3        9        ERR129117
31           3        7        ERR069764
32           3        7        ERR068007
33           3        9        ERR068008
34           2        5        ERR067969
35           3        9        ERR069703
36           3        8        ERR129195
37           3        7        ERR065325
38           3        9        ERR124256
39           3        9        ERR129087
40           3        9        ERR069819
41           3        9        ERR129129
42           3        7        ERR065960
43           3        9        ERR069796
44           3        8        ERR065326
45           3        6        ERR069712
46           3        9        ERR124244
47           3        9        ERR129075
48           3        8        ERR069713
49           3        9        ERR069826
50           2        1        ERR065341
51           3        9        ERR069771
52           3        9        ERR069706
53           3        9        ERR065970
54           2        1        ERR129130
55           3        9        ERR129096
56           2        2        ERR129107
57           3        9        ERR069809
58           3        9        ERR065302
59           2        3        ERR129187
60           2        5        ERR124314
61           3        9        ERR069686
62           3        9        ERR069824
63           3        9        ERR068048
64           3        9        ERR065972
65           3        9        ERR129164
66           3        9        ERR069688
67           3        8        ERR069685
68           3        9        ERR124307
69           3        9        ERR067962
70           3        9        ERR124257
71           3        8        ERR129127
72           3        8        ERR065301
73           3        9        ERR124287
74           3        9        ERR068025
75           3        9        ERR067964
76           3        9        ERR069811
77           3        8        ERR069727
78           3        9        ERR129063
79           3        9        ERR065332
80           3        9        ERR129028
81           3        9        ERR065287
82           3        9        ERR129213
83           3        9        ERR129155
84           3        9        ERR129042
85           3        9        ERR129148
86           3        9        ERR129040
87           3        9        ERR069835
88           3        9        ERR129146
89           3        9        ERR129102
90           3        9        ERR069729
91           3        9        ERR129152
92           3        9        ERR069748
93           3        9        ERR069843
94           3        9        ERR124229
95           3        9        ERR129088
96           3        8        ERR069752
97           3        9        ERR065350
98           3        9        ERR129149
99           3        8        ERR129214
100          3        9        ERR069833
101          3        7        ERR124310
102          3        8        ERR068046
103          3        8        ERR129215
104          3        9        ERR129140
105          3        9        ERR069831
106          2        3        ERR068014
107          3        9        ERR124315
108          3        9        ERR124255
109          3        8        ERR065342
110          3        9        ERR124235
111          3        8        ERR129159
112          3        9        ERR129204
113          2        3        ERR129094
114          3        9        ERR069689
115          3        9        ERR069751
116          3        9        ERR068005
117          3        9        ERR069749
118          3        9        ERR067981
119          3        9        ERR067996
120          3        9        ERR129052
121          3        8        ERR069785
122          3        9        ERR069792
123          3        9        ERR124271
124          3        9        ERR069687
125          3        9        ERR124277
126          1        4        ERR124228
127          2        3        ERR129044
128          3        7        ERR065353
129          3        9        ERR129074
130          3        9        ERR069817
131          3        9        ERR065953
132          3        9        ERR129076
133          3        8        ERR129154
134          3        9        ERR069725
135          3        8        ERR068040
136          3        6        ERR129051
137          3        9        ERR129157
138          3        9        ERR124311
139          3        9        ERR069746
140          3        9        ERR068031
141          3        8        ERR067986
142          3        8        ERR124291
143          3        9        ERR129055
144          3        9        ERR069780
145          3        9        ERR065327
146          3        8        ERR069822
147          3        9        ERR129207
148          3        9        ERR124288
149          3        9        ERR129026
150          3        9        ERR124218
151          3        9        ERR068027
152          3        9        ERR069710
153          3        8        ERR065310
154          3        9        ERR129160
155          3        9        ERR065300
156          3        7        ERR069789
157          3        9        ERR065343
158          3        9        ERR069802
159          3        7        ERR129027
160          3        9        ERR129170
161          3        7        ERR129048
162          3        6        ERR065968
163          2        1        ERR065965
164          3        9        ERR068044
165          3        9        ERR129180
166          3        9        ERR068016
167          3        9        ERR065324
168          3        9        ERR129112
169          3        9        ERR129158
170          3        9        ERR069698
171          3        9        ERR069812
172          3        8        ERR124302
173          3        9        ERR129083
174          3        9        ERR065354
175          2        5        ERR069787
176          3        9        ERR068017
177          3        9        ERR129066
178          3        9        ERR129039
179          3        9        ERR065329
180          3        9        ERR124269
181          3        9        ERR129200
182          3        9        ERR067995
183          3        9        ERR068012
184          3        9        ERR124274
185          3        7        ERR067993
186          3        9        ERR069708
187          3        9        ERR129106
188          3        9        ERR069717
189          3        9        ERR067974
190          2        5        ERR069744
191          3        8        ERR129210
192          3        9        ERR129108
193          3        6        ERR129132
194          3        9        ERR069711
195          3        9        ERR068019
196          3        9        ERR129099
197          3        9        ERR129059
198          3        9        ERR065292
199          1        4        ERR067961
200          3        9        ERR069820
201          3        9        ERR129216
202          3        9        ERR129116
203          3        9        ERR124250
204          3        6        ERR069690
205          3        9        ERR065973
206          3        7        ERR065309
207          3        9        ERR124283
208          3        9        ERR065293
209          3        9        ERR069825
210          3        9        ERR069737
211          3        9        ERR124316
212          3        9        ERR065304
213          3        8        ERR129144
214          3        9        ERR124232
215          3        6        ERR068018
216          3        8        ERR124296
217          3        9        ERR067960
218          3        9        ERR068050
219          3        9        ERR068039
220          3        7        ERR068004
221          3        9        ERR129032
222          3        9        ERR124248
223          3        8        ERR068041
224          3        9        ERR129086
225          3        9        ERR065317
226          3        9        ERR069834
227          3        9        ERR069720
228          3        7        ERR129050
229          3        9        ERR129064
230          3        9        ERR069830
231          3        9        ERR069774
232          2        3        ERR129206
233          3        8        ERR069801
234          3        9        ERR124221
235          3        8        ERR129080
236          2        2        ERR068026
237          3        9        ERR129147
238          3        9        ERR069829
239          3        8        ERR129077
240          3        9        ERR067994
241          3        9        ERR069726
242          3        9        ERR065338
243          3        9        ERR129041
244          3        9        ERR065297
245          3        9        ERR129120
