RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
1         129       3               2                34.1      
130       1192      5               2                74.9      
1226      1408      5               2                25.3      
1422      1881      5               2                56.9      
1         129       5               3                7.6       
130       227       4               3                6.5       
228       363       5               3                12.4      
858       933       4               3                6.4       
934       970       5               3                2.8       
1943      2225      5               3                32.9      
1         303       5               4                25.8      
727       832       5               4                8.0       
2021      2225      5               4                10.6      
