2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
35        87        2               4                3.5        ERR129037
35        87        2               5                1.7        ERR069700
35        87        2               8                3.8        ERR065305
35        87        2               9                2.2        ERR069786
35        87        2               12               1.7        ERR069709
35        87        2               13               3.5        ERR067985
35        87        2               16               3.2        ERR069814
35        87        2               18               3.8        ERR069795
35        87        2               22               1.7        ERR067966
35        87        2               23               2.0        ERR129029
35        87        2               25               2.0        ERR124226
35        87        2               27               3.8        ERR069823
35        87        2               29               1.7        ERR068001
35        87        2               32               3.2        ERR068007
35        87        2               33               3.8        ERR068008
35        87        2               34               1.7        ERR067969
35        87        2               41               3.8        ERR129129
35        87        2               43               3.8        ERR069796
35        87        2               44               3.5        ERR065326
35        87        2               48               3.5        ERR069713
35        87        2               51               3.8        ERR069771
35        87        2               53               3.8        ERR065970
35        87        2               60               1.7        ERR124314
35        87        2               64               3.8        ERR065972
35        87        2               67               2.2        ERR069685
35        87        2               70               3.2        ERR124257
35        87        2               71               3.5        ERR129127
35        87        2               77               3.5        ERR069727
35        87        2               78               3.8        ERR129063
35        87        2               80               3.8        ERR129028
35        87        2               81               3.8        ERR065287
35        87        2               87               3.8        ERR069835
35        87        2               94               3.8        ERR124229
35        87        2               96               3.5        ERR069752
35        87        2               98               3.8        ERR129149
35        87        2               99               3.5        ERR129214
35        87        2               100              3.8        ERR069833
35        87        2               102              3.5        ERR068046
35        87        2               103              3.5        ERR129215
35        87        2               104              3.8        ERR129140
35        87        2               105              3.8        ERR069831
35        87        2               107              3.8        ERR124315
35        87        2               111              3.5        ERR129159
35        87        2               115              3.8        ERR069751
35        87        2               116              1.7        ERR068005
35        87        2               120              2.0        ERR129052
35        87        2               124              3.8        ERR069687
53        87        2               126              1.0        ERR124228
35        87        2               127              1.7        ERR129044
35        87        2               128              1.7        ERR065353
35        87        2               130              3.8        ERR069817
35        87        2               131              1.7        ERR065953
35        87        2               133              3.5        ERR129154
