12 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1490      1560      2               2                24.1       ERR065974
1490      1560      2               3                24.1       ERR129065
1         221       5               4                11.9       ERR129037
222       324       1               7                6.8        ERR124222
657       1560      2               9                7.8        ERR069786
1         221       5               13               11.9       ERR067985
1         279       5               16               11.8       ERR069814
1         221       5               20               11.9       ERR069735
1         221       5               21               11.9       ERR069773
167       221       5               23               0.5        ERR129105
990       1042      3               23               2.4        ERR129105
1043      1227      2               23               2.5        ERR129105
657       1560      2               24               7.8        ERR124226
1         221       5               25               11.9       ERR129196
1         95        5               27               5.4        ERR124319
1         279       5               31               11.8       ERR068007
167       221       5               35               0.5        ERR129195
990       1042      3               35               2.4        ERR129195
1043      1227      2               35               2.5        ERR129195
1         95        5               45               5.4        ERR124244
222       324       1               46               6.8        ERR129075
1         221       5               47               11.9       ERR069713
1490      1560      2               48               24.1       ERR069826
1490      1560      2               49               24.1       ERR065341
222       324       1               51               6.8        ERR069706
1490      1560      2               53               24.1       ERR129130
1         221       5               56               11.9       ERR065302
1         279       5               57               11.8       ERR129187
657       1560      2               65               7.8        ERR069685
1         279       5               68               11.8       ERR124257
1         221       5               69               11.9       ERR129127
167       221       5               70               0.5        ERR065301
990       1042      3               70               2.4        ERR065301
1043      1227      2               70               2.5        ERR065301
1490      1560      2               71               24.1       ERR124287
1         221       5               75               11.9       ERR069727
1         279       5               77               11.8       ERR065332
1         221       5               83               11.9       ERR129040
1490      1560      2               85               24.1       ERR129146
222       324       1               90               6.8        ERR069843
1190      1560      2               97               7.8        ERR124310
1         221       5               99               11.9       ERR129215
222       324       1               104              6.8        ERR124255
167       221       5               105              0.5        ERR065342
990       1042      3               105              2.4        ERR065342
1043      1227      2               105              2.5        ERR065342
1         221       5               106              11.9       ERR129159
1190      1243      2               116              2.7        ERR124271
1         106       5               118              4.5        ERR124228
626       824       4               118              1.2        ERR124228
1190      1243      2               119              3.0        ERR129044
1490      1560      2               124              24.1       ERR129076
1         221       5               125              11.9       ERR129154
1         279       5               126              11.8       ERR069725
1         221       5               131              11.9       ERR124291
1490      1560      2               132              24.1       ERR129055
1490      1560      2               133              24.1       ERR069780
1         221       5               135              11.9       ERR069822
1         95        5               136              5.4        ERR124288
1         279       5               137              11.8       ERR129026
1         221       5               140              11.9       ERR065310
1         279       5               143              11.8       ERR069789
1190      1560      2               147              7.8        ERR129048
1490      1560      2               149              24.1       ERR065965
1         221       5               157              11.9       ERR124302
1         279       5               168              11.8       ERR124274
1490      1560      2               169              24.1       ERR067993
1         221       5               174              11.9       ERR129210
1         106       5               182              4.5        ERR067961
626       824       4               182              1.2        ERR067961
222       324       1               186              6.8        ERR065973
1190      1560      2               187              7.8        ERR065309
1         279       5               188              11.8       ERR124283
1         279       5               189              11.8       ERR065293
1         221       5               194              11.9       ERR129144
1         221       5               197              11.9       ERR124296
1         221       5               200              11.9       ERR068039
222       324       1               207              6.8        ERR069720
657       1560      2               209              7.8        ERR129064
1         221       5               212              11.9       ERR069801
1         279       5               213              11.8       ERR124221
1         221       5               214              11.9       ERR129080
1         279       5               215              11.8       ERR068026
1         221       5               217              11.9       ERR129077
1190      1243      2               221              2.7        ERR129041
1         279       5               222              11.8       ERR065297
1         279       5               224              11.8       ERR129061
1190      1560      2               225              7.8        ERR124305
657       1560      2               226              7.8        ERR069769
1         221       5               227              11.9       ERR065295
222       324       1               239              6.8        ERR068003
1         221       5               240              11.9       ERR124268
1         221       5               241              11.3       ERR129181
1190      1560      2               245              7.8        ERR129111
222       324       1               247              6.8        ERR068035
657       1560      2               248              7.8        ERR069798
1490      1560      2               249              24.1       ERR124278
1         279       5               259              11.8       ERR065320
1         106       5               260              4.5        ERR124292
626       824       4               260              1.2        ERR124292
657       1560      2               263              7.8        ERR129043
1         279       5               266              11.8       ERR068021
167       221       5               267              0.5        ERR067998
990       1042      3               267              2.4        ERR067998
1043      1227      2               267              2.5        ERR067998
1         106       5               268              4.5        ERR124312
626       824       4               268              1.2        ERR124312
657       1560      2               269              7.8        ERR065971
1490      1560      2               272              24.1       ERR065311
1190      1243      2               277              2.7        ERR124289
1         221       5               281              11.9       ERR129131
1190      1560      2               288              7.8        ERR124253
1         279       5               289              11.8       ERR069724
1490      1560      2               290              24.1       ERR069803
657       1560      2               293              7.8        ERR129168
167       221       5               294              0.5        ERR124320
990       1042      3               294              2.4        ERR124320
1043      1227      2               294              2.5        ERR124320
1         221       5               296              11.9       ERR069804
1         279       5               299              11.8       ERR068042
1         279       5               300              11.8       ERR124249
1490      1560      2               302              24.1       ERR067976
1490      1560      2               303              24.1       ERR065307
1         279       5               307              11.8       ERR129198
247       324       1               308              7.9        ERR069742
1         106       5               309              4.5        ERR069718
626       824       4               309              1.2        ERR069718
1         106       5               310              4.5        ERR124224
626       824       4               310              1.2        ERR124224
1190      1243      2               313              2.7        ERR124309
1         221       5               315              11.9       ERR129068
1         279       5               316              11.8       ERR067978
222       324       1               319              6.8        ERR129062
1         279       5               321              11.8       ERR068032
1190      1560      2               322              7.8        ERR065316
1190      1560      2               323              7.8        ERR124217
1         221       5               326              11.9       ERR129079
1         221       5               331              11.9       ERR129124
1         221       5               332              11.9       ERR124246
1190      1243      2               334              2.7        ERR129184
222       284       1               335              10.2       ERR124233
167       221       5               336              0.5        ERR069818
990       1042      3               336              2.4        ERR069818
1043      1227      2               336              2.5        ERR069818
1         279       5               338              11.8       ERR124239
247       284       1               341              13.0       ERR065294
1         221       5               342              11.9       ERR129139
1         279       5               346              11.8       ERR068028
1468      1560      2               348              19.0       ERR069777
222       284       1               349              10.2       ERR069791
657       1560      2               357              7.8        ERR129172
1         221       5               358              11.9       ERR124240
1         221       5               359              10.5       ERR065315
167       221       5               365              0.5        ERR069714
990       1042      3               365              2.4        ERR069714
1043      1227      2               365              2.5        ERR069714
222       284       1               366              10.2       ERR068036
1         221       5               369              13.2       ERR069838
1490      1560      2               370              24.1       ERR065313
1         95        5               372              5.4        ERR124294
1         120       5               373              6.8        ERR124243
626       824       4               373              2.0        ERR124243
167       221       5               376              0.5        ERR129053
