3 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
247       300       4               16               0.8        ERR069814
247       268       1               24               2.2        ERR129105
247       300       1               25               0.5        ERR124226
247       268       1               26               2.2        ERR129196
247       300       4               32               0.8        ERR068007
247       268       1               36               2.2        ERR129195
247       300       4               44               0.8        ERR065326
247       300       4               70               0.8        ERR124257
247       268       1               72               2.2        ERR065301
247       300       4               79               0.8        ERR065332
247       300       4               96               0.8        ERR069752
247       300       4               99               0.8        ERR129214
247       300       4               101              0.8        ERR124310
247       300       4               102              0.8        ERR068046
247       268       1               109              2.2        ERR065342
247       300       4               134              0.8        ERR069725
247       300       4               135              0.8        ERR068040
247       300       4               141              0.8        ERR067986
247       300       4               149              0.8        ERR129026
247       300       4               156              0.8        ERR069789
247       300       4               161              0.8        ERR129048
247       300       4               170              0.8        ERR069698
247       300       4               184              0.8        ERR124274
247       300       4               206              0.8        ERR065309
247       300       4               207              0.8        ERR124283
247       300       4               208              0.8        ERR065293
247       268       1               213              2.2        ERR129144
247       300       1               229              0.5        ERR129064
247       300       4               234              0.8        ERR124221
247       300       4               236              0.8        ERR068026
247       268       1               239              2.2        ERR129077
247       300       4               244              0.8        ERR065297
247       300       4               246              0.8        ERR129061
247       300       4               249              0.8        ERR124305
247       300       1               250              0.5        ERR069769
247       300       4               269              0.8        ERR129111
247       300       4               274              0.8        ERR069760
247       300       4               283              0.8        ERR065320
247       300       4               291              0.8        ERR068021
247       268       1               292              2.2        ERR067998
247       300       4               316              0.8        ERR124253
247       300       4               317              0.8        ERR069724
247       268       1               323              2.2        ERR124320
247       300       4               328              0.8        ERR068042
247       300       4               330              0.8        ERR124249
247       300       4               338              0.8        ERR129198
247       300       4               348              0.8        ERR067978
247       300       4               353              0.8        ERR068032
247       300       4               354              0.8        ERR065316
247       300       4               355              0.8        ERR124217
247       300       4               368              0.8        ERR124266
247       268       1               369              2.2        ERR069818
247       300       4               371              0.8        ERR124239
276       283       2               378              0.2        ERR129128
247       300       4               380              0.8        ERR068028
247       268       1               403              2.2        ERR069714
247       268       1               416              2.2        ERR129053
247       300       4               417              0.8        ERR124272
247       268       1               442              2.2        ERR068010
276       283       2               450              0.2        ERR069763
247       300       4               451              0.8        ERR124300
247       300       4               467              0.8        ERR129185
247       268       1               475              2.2        ERR129182
247       300       4               493              0.8        ERR065308
247       300       4               498              0.8        ERR129054
276       283       2               499              0.2        ERR069747
247       268       1               521              2.2        ERR069799
276       283       2               526              0.2        ERR124303
247       300       4               528              0.8        ERR129060
247       300       4               536              0.8        ERR069837
247       300       4               557              0.8        ERR069757
247       300       4               563              0.8        ERR068049
276       283       2               582              0.2        ERR065963
247       300       4               583              0.8        ERR129145
247       300       4               586              0.8        ERR067972
