StrainIndex  Lineage  Cluster  Name
1            1        2        ERR065974
2            2        3        ERR069786
3            1        2        ERR065341
4            1        2        ERR129130
5            2        3        ERR069685
6            1        2        ERR065965
7            2        3        ERR069798
8            1        2        ERR124278
9            2        3        ERR065971
10           2        3        ERR129168
11           2        3        ERR129172
12           1        2        ERR065289
13           2        3        ERR068030
14           2        3        ERR065969
15           2        1        ERR069693
16           1        2        ERR065296
17           2        3        ERR069779
