StrainIndex  Lineage  Cluster  Name
1            2        2        ERR065974
2            3        3        ERR069823
3            2        2        ERR065341
4            2        2        ERR129130
5            3        3        ERR067964
6            3        3        ERR069835
7            3        3        ERR069746
8            2        2        ERR065965
9            2        2        ERR068016
10           3        3        ERR069812
11           2        2        ERR129066
12           3        3        ERR065292
13           2        2        ERR065304
14           3        3        ERR065967
15           3        3        ERR065344
16           2        2        ERR124278
17           2        2        ERR065959
18           1        1        ERR065966
19           3        3        ERR065962
20           2        2        ERR067991
21           3        3        ERR069755
22           2        2        ERR129038
23           2        2        ERR065289
24           3        3        ERR069765
25           3        3        ERR124231
26           2        2        ERR065296
27           3        3        ERR069732
28           3        3        ERR065330
29           3        3        ERR069719
30           3        3        ERR069770
31           3        3        ERR069721
32           2        2        ERR124230
33           3        3        ERR069740
