StrainIndex  Lineage  Cluster  Name
1            3        6        ERR069738
2            2        3        ERR065974
3            3        4        ERR129065
4            3        7        ERR129037
5            2        3        ERR069700
6            3        7        ERR124247
7            3        5        ERR124222
8            2        9        ERR065305
9            2        3        ERR069786
10           3        6        ERR129179
11           3        8        ERR069709
12           3        7        ERR067985
13           3        8        ERR129212
14           3        6        ERR068037
15           3        7        ERR069814
16           3        6        ERR124241
17           3        8        ERR069795
18           3        6        ERR124293
19           2        3        ERR069735
20           3        2        ERR069773
21           2        3        ERR067966
22           3        4        ERR129029
23           2        3        ERR129105
24           3        8        ERR124226
25           2        3        ERR129196
26           2        9        ERR069823
27           3        8        ERR124319
28           3        8        ERR068001
29           2        3        ERR069764
30           3        7        ERR068007
31           2        9        ERR068008
32           2        3        ERR067969
33           3        6        ERR069703
34           2        3        ERR129195
35           3        6        ERR065325
36           3        5        ERR124256
37           3        6        ERR129087
38           2        3        ERR069819
39           2        9        ERR129129
40           3        6        ERR065960
41           2        9        ERR069796
42           3        7        ERR065326
43           2        9        ERR069712
44           3        5        ERR124244
45           3        5        ERR129075
46           3        7        ERR069713
47           3        4        ERR069826
48           2        3        ERR065341
49           2        9        ERR069771
50           3        8        ERR069706
51           3        8        ERR065970
52           2        3        ERR129130
53           3        6        ERR129096
54           3        4        ERR129107
55           3        5        ERR069809
56           3        2        ERR065302
57           3        8        ERR129187
58           2        3        ERR124314
59           3        6        ERR069686
60           3        8        ERR069824
61           3        5        ERR068048
62           2        9        ERR065972
63           2        3        ERR129164
64           3        6        ERR069688
65           3        6        ERR124307
66           3        6        ERR067962
67           3        7        ERR124257
68           3        7        ERR129127
69           2        3        ERR065301
70           3        4        ERR124287
71           3        5        ERR068025
72           2        9        ERR067964
73           3        5        ERR069811
74           3        7        ERR069727
75           2        9        ERR129063
76           3        7        ERR065332
77           3        8        ERR129028
78           2        9        ERR065287
79           3        4        ERR129155
80           3        6        ERR129148
81           3        2        ERR129040
82           2        9        ERR069835
83           3        4        ERR129146
84           3        7        ERR129102
85           3        8        ERR069729
86           3        5        ERR129152
87           3        8        ERR069748
88           3        5        ERR069843
89           2        9        ERR124229
90           2        3        ERR129088
91           3        7        ERR069752
92           3        5        ERR065350
93           2        9        ERR129149
94           3        7        ERR129214
95           2        9        ERR069833
96           3        5        ERR124310
97           3        7        ERR068046
98           3        7        ERR129215
99           2        9        ERR129140
100          2        9        ERR069831
101          3        8        ERR068014
102          2        9        ERR124315
103          3        5        ERR124255
104          2        3        ERR065342
105          3        7        ERR129159
106          3        6        ERR129204
107          3        8        ERR129094
108          3        8        ERR069689
109          3        8        ERR069751
110          3        8        ERR068005
111          3        6        ERR069749
112          2        3        ERR067981
113          3        6        ERR067996
114          3        4        ERR129052
115          3        5        ERR069785
116          3        4        ERR069792
117          2        9        ERR069687
118          3        6        ERR124277
119          2        3        ERR124228
120          3        7        ERR129044
121          3        8        ERR065353
122          3        6        ERR129074
123          2        9        ERR069817
124          3        8        ERR065953
125          3        4        ERR129076
126          3        7        ERR129154
127          3        7        ERR069725
128          3        7        ERR068040
129          2        9        ERR129051
130          3        5        ERR124311
131          2        9        ERR069746
132          3        4        ERR068031
133          3        7        ERR067986
134          3        7        ERR124291
135          3        4        ERR129055
136          3        4        ERR069780
137          3        5        ERR065327
138          3        7        ERR069822
139          2        9        ERR129207
140          3        8        ERR124288
141          3        7        ERR129026
142          3        5        ERR124218
143          3        4        ERR068027
144          3        8        ERR069710
145          3        7        ERR065310
146          2        9        ERR129160
147          3        6        ERR065300
148          3        7        ERR069789
149          3        6        ERR065343
150          3        4        ERR069802
151          3        8        ERR129027
152          2        9        ERR129170
153          3        5        ERR129048
154          2        9        ERR065968
155          2        3        ERR065965
156          2        9        ERR068044
157          3        8        ERR129180
158          3        8        ERR068016
159          3        6        ERR065324
160          2        9        ERR129112
161          2        3        ERR129158
162          3        7        ERR069698
163          2        9        ERR069812
164          3        7        ERR124302
165          3        8        ERR129083
166          3        4        ERR065354
167          2        3        ERR069787
168          2        9        ERR068017
169          3        8        ERR129066
170          3        5        ERR129039
171          3        6        ERR065329
172          2        9        ERR124269
173          3        6        ERR129200
