StrainIndex  Lineage  Cluster  Name
1            1        8        ERR069738
2            1        8        ERR065974
3            1        6        ERR129065
4            1        9        ERR129037
5            1        6        ERR069700
6            1        8        ERR124247
7            1        1        ERR124222
8            1        10       ERR065305
9            1        7        ERR069786
10           1        4        ERR129179
11           1        5        ERR129176
12           1        7        ERR069709
13           1        9        ERR067985
14           1        2        ERR129212
15           1        8        ERR068037
16           1        9        ERR069814
17           1        4        ERR124241
18           1        10       ERR069795
19           1        4        ERR124293
20           1        7        ERR069735
21           1        3        ERR069773
22           1        6        ERR067966
23           1        6        ERR129029
24           1        7        ERR129105
25           1        8        ERR124226
26           1        7        ERR129196
27           1        7        ERR069823
28           1        2        ERR124319
29           1        7        ERR068001
30           1        5        ERR129117
31           1        8        ERR069764
32           1        9        ERR068007
33           1        10       ERR068008
34           1        6        ERR067969
35           1        4        ERR069703
36           1        7        ERR129195
37           1        9        ERR065325
38           1        8        ERR124256
39           1        4        ERR129087
40           1        7        ERR069819
41           1        1        ERR129129
42           1        9        ERR065960
43           1        10       ERR069796
44           1        9        ERR065326
45           1        9        ERR069712
46           1        8        ERR124244
47           1        1        ERR129075
48           1        9        ERR069713
49           1        6        ERR069826
50           1        8        ERR065341
51           1        10       ERR069771
52           1        1        ERR069706
53           1        10       ERR065970
54           1        8        ERR129130
55           1        8        ERR129096
56           1        6        ERR129107
57           1        8        ERR069809
58           1        3        ERR065302
59           1        9        ERR129187
60           1        6        ERR124314
61           1        8        ERR069686
62           1        8        ERR069824
63           1        8        ERR068048
64           1        10       ERR065972
65           1        8        ERR129164
66           1        8        ERR069688
67           1        8        ERR069685
68           1        8        ERR124307
69           1        4        ERR067962
70           1        9        ERR124257
71           1        9        ERR129127
72           1        7        ERR065301
73           1        10       ERR124287
74           1        3        ERR068025
75           1        7        ERR067964
76           1        3        ERR069811
77           1        9        ERR069727
78           1        10       ERR129063
79           1        5        ERR065332
80           1        2        ERR129028
81           1        10       ERR065287
82           1        5        ERR129213
83           1        6        ERR129155
84           1        5        ERR129042
85           1        4        ERR129148
86           1        3        ERR129040
87           1        7        ERR069835
88           1        10       ERR129146
89           1        4        ERR129102
90           1        8        ERR069729
91           1        3        ERR129152
92           1        2        ERR069748
93           1        1        ERR069843
94           1        10       ERR124229
95           1        8        ERR129088
96           1        9        ERR069752
97           1        8        ERR065350
98           1        10       ERR129149
99           1        9        ERR129214
100          1        10       ERR069833
101          1        3        ERR124310
102          1        9        ERR068046
103          1        9        ERR129215
104          1        10       ERR129140
105          1        10       ERR069831
106          1        9        ERR068014
107          1        10       ERR124315
108          1        1        ERR124255
109          1        7        ERR065342
110          1        5        ERR124235
111          1        9        ERR129159
112          1        8        ERR129204
113          1        9        ERR129094
114          1        2        ERR069689
115          1        10       ERR069751
116          1        9        ERR068005
117          1        8        ERR067981
118          1        8        ERR067996
119          1        6        ERR129052
120          1        9        ERR069785
121          1        9        ERR069792
122          1        5        ERR124271
123          1        10       ERR069687
124          1        4        ERR124277
125          1        8        ERR124228
126          1        3        ERR129044
127          1        7        ERR065353
128          1        4        ERR129074
129          1        10       ERR069817
130          1        7        ERR065953
131          1        10       ERR129076
132          1        9        ERR129154
133          1        5        ERR069725
134          1        9        ERR068040
135          1        9        ERR129051
136          1        5        ERR129157
137          1        7        ERR124311
138          1        7        ERR069746
139          1        9        ERR068031
140          1        9        ERR067986
141          1        9        ERR124291
142          1        10       ERR129055
143          1        6        ERR069780
144          1        3        ERR065327
145          1        9        ERR069822
146          1        10       ERR129207
147          1        2        ERR124288
148          1        5        ERR129026
149          1        6        ERR068027
150          1        7        ERR069710
151          1        9        ERR065310
152          1        10       ERR129160
153          1        4        ERR065300
154          1        9        ERR069789
155          1        8        ERR065343
156          1        6        ERR069802
