2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
869       969       1               3                0.3        ERR129065
807       1063      2               9                3.2        ERR069786
807       1063      2               11               3.2        ERR129176
852       936       2               14               2.1        ERR129212
807       1063      2               28               3.2        ERR124319
774       1063      2               30               1.9        ERR129117
869       969       1               49               0.3        ERR069826
869       969       1               56               0.4        ERR129107
807       1063      2               67               3.2        ERR069685
807       1063      2               82               3.2        ERR129213
869       969       1               83               0.4        ERR129155
807       1063      2               84               3.2        ERR129042
852       969       1               89               0.5        ERR129102
852       936       2               92               2.1        ERR069748
807       1063      2               110              3.2        ERR124235
852       936       2               114              2.1        ERR069689
807       1063      2               137              3.2        ERR129157
807       1063      2               148              3.2        ERR124288
852       936       2               165              2.1        ERR129180
807       1063      2               186              3.2        ERR069708
852       936       2               270              2.1        ERR068006
807       1063      2               272              3.2        ERR069798
852       936       2               282              2.1        ERR069832
807       1063      2               286              3.2        ERR124308
807       1063      2               287              3.2        ERR129043
807       1063      2               294              3.2        ERR065971
852       936       2               303              2.1        ERR069716
852       936       2               311              2.1        ERR069750
807       1063      2               313              3.2        ERR124227
807       1063      2               322              3.2        ERR129168
807       1063      2               326              3.2        ERR065303
852       936       2               361              2.1        ERR069701
807       1063      2               382              3.2        ERR068023
807       1063      2               394              3.2        ERR129172
852       969       1               405              0.5        ERR129071
807       1063      2               412              3.2        ERR124294
807       1063      2               445              3.7        ERR068030
807       1063      2               465              3.2        ERR065969
852       936       2               477              2.1        ERR067983
807       1063      2               482              3.2        ERR069693
852       936       2               496              2.1        ERR067989
807       1079      2               539              2.3        ERR069779
807       1063      2               587              3.2        ERR124297
807       1063      2               606              3.2        ERR124286
