StrainIndex  Lineage  Cluster  Name
1            6        6        ERR069738
2            6        9        ERR065974
3            5        10       ERR129065
4            6        8        ERR129037
5            4        7        ERR069700
6            2        2        ERR124247
7            5        4        ERR124222
8            6        9        ERR065305
9            2        1        ERR069786
10           5        10       ERR129179
11           1        3        ERR129176
12           6        6        ERR069709
13           6        8        ERR067985
14           6        6        ERR129212
15           6        6        ERR068037
16           6        8        ERR069814
17           5        10       ERR124241
18           6        9        ERR069795
19           5        10       ERR124293
20           5        10       ERR069735
21           2        1        ERR069773
22           4        7        ERR067966
23           5        10       ERR129029
24           5        10       ERR129105
25           6        6        ERR124226
26           5        10       ERR129196
27           5        10       ERR069823
28           1        3        ERR124319
29           1        3        ERR068001
30           1        3        ERR129117
31           4        7        ERR069764
32           6        8        ERR068007
33           6        9        ERR068008
34           4        7        ERR067969
35           5        10       ERR069703
36           5        10       ERR129195
37           5        10       ERR065325
38           5        10       ERR124256
39           5        10       ERR129087
40           5        10       ERR069819
41           6        9        ERR129129
42           5        10       ERR065960
43           6        9        ERR069796
44           6        8        ERR065326
45           5        10       ERR069712
46           5        10       ERR124244
47           5        4        ERR129075
48           6        8        ERR069713
49           5        4        ERR069826
50           6        9        ERR065341
51           6        9        ERR069771
52           5        4        ERR069706
53           6        9        ERR065970
54           6        9        ERR129130
55           6        6        ERR129096
56           5        10       ERR129107
57           5        10       ERR069809
58           2        1        ERR065302
59           4        7        ERR129187
60           4        7        ERR124314
61           6        6        ERR069686
62           6        8        ERR069824
63           5        10       ERR068048
64           6        9        ERR065972
65           5        10       ERR129164
66           6        6        ERR069688
67           3        5        ERR069685
68           6        6        ERR124307
69           5        10       ERR067962
70           5        10       ERR124257
71           6        8        ERR129127
72           5        10       ERR065301
73           6        9        ERR124287
74           3        5        ERR068025
75           5        10       ERR067964
76           3        5        ERR069811
77           6        8        ERR069727
78           6        9        ERR129063
79           4        7        ERR065332
80           2        2        ERR129028
81           6        9        ERR065287
82           1        3        ERR129213
83           5        10       ERR129155
84           1        3        ERR129042
85           5        10       ERR129148
86           2        1        ERR129040
87           5        10       ERR069835
88           6        9        ERR129146
89           6        8        ERR129102
90           6        8        ERR069729
91           3        5        ERR129152
92           6        6        ERR069748
93           5        4        ERR069843
94           6        9        ERR124229
95           5        10       ERR129088
96           6        8        ERR069752
97           5        10       ERR065350
98           6        9        ERR129149
99           6        8        ERR129214
100          6        9        ERR069833
101          3        5        ERR124310
102          6        8        ERR068046
103          6        8        ERR129215
104          6        9        ERR129140
105          6        9        ERR069831
106          4        7        ERR068014
107          6        9        ERR124315
108          5        4        ERR124255
109          5        10       ERR065342
110          1        3        ERR124235
111          6        8        ERR129159
112          6        6        ERR129204
113          4        7        ERR129094
114          6        6        ERR069689
115          6        9        ERR069751
116          6        6        ERR068005
117          5        10       ERR069749
118          5        10       ERR067981
119          6        6        ERR067996
120          5        10       ERR129052
121          6        9        ERR069785
122          4        7        ERR069792
123          2        2        ERR124271
124          6        9        ERR069687
125          5        10       ERR124277
126          5        10       ERR124228
127          2        1        ERR129044
128          6        6        ERR065353
129          5        10       ERR129074
130          6        9        ERR069817
131          6        6        ERR065953
132          6        9        ERR129076
133          6        8        ERR129154
134          4        7        ERR069725
135          6        8        ERR068040
136          5        10       ERR129051
137          1        3        ERR129157
138          3        5        ERR124311
139          5        10       ERR069746
140          4        7        ERR068031
141          6        8        ERR067986
142          6        8        ERR124291
143          6        9        ERR129055
144          5        4        ERR069780
145          3        5        ERR065327
146          6        8        ERR069822
147          6        9        ERR129207
148          1        3        ERR124288
149          4        7        ERR129026
150          5        10       ERR124218
151          5        10       ERR068027
152          6        6        ERR069710
153          6        8        ERR065310
154          6        9        ERR129160
155          5        10       ERR065300
156          6        8        ERR069789
157          6        6        ERR065343
158          5        10       ERR069802
159          6        6        ERR129027
160          6        9        ERR129170
161          3        5        ERR129048
162          5        10       ERR065968
163          6        9        ERR065965
164          6        9        ERR068044
165          6        6        ERR129180
166          5        10       ERR068016
167          5        10       ERR065324
168          6        9        ERR129112
169          5        10       ERR129158
170          4        7        ERR069698
171          5        10       ERR069812
172          6        8        ERR124302
173          2        2        ERR129083
174          4        7        ERR065354
175          4        7        ERR069787
176          6        9        ERR068017
