5 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1         100       3               12               4.7        ERR069735
1611      1662      1               13               2.0        ERR069773
1715      2022      1               13               9.2        ERR069773
2023      2134      2               13               4.9        ERR069773
1         100       3               27               4.7        ERR069819
1611      1662      1               37               2.0        ERR065302
1715      2022      1               37               9.2        ERR065302
2023      2134      2               37               4.9        ERR065302
1611      2070      1               40               10.4       ERR069824
1611      2070      1               47               8.7        ERR068025
1611      2070      1               49               8.7        ERR069811
1735      2154      3               55               0.2        ERR129155
1611      1662      1               58               2.0        ERR129040
1715      2022      1               58               9.2        ERR129040
2023      2134      2               58               4.9        ERR129040
1611      2070      1               61               10.4       ERR069729
1611      2070      1               62               8.7        ERR129152
1715      1829      2               87               2.9        ERR124271
1715      1829      2               91               1.7        ERR129044
1611      2070      1               106              8.7        ERR065327
1611      2070      1               110              10.4       ERR124218
1735      2154      3               115              0.2        ERR069802
1611      2070      1               119              10.4       ERR068044
1611      2070      1               132              8.7        ERR129039
1611      2070      1               160              8.7        ERR124232
1611      1662      1               165              2.0        ERR068039
1715      2022      1               165              9.2        ERR068039
2023      2134      2               165              4.9        ERR068039
1735      2154      3               179              0.2        ERR129147
1611      2070      1               182              8.7        ERR067994
1715      1829      2               184              2.9        ERR129041
1735      2154      3               188              0.2        ERR065345
1         100       3               189              4.7        ERR065295
1         100       3               209              4.7        ERR069782
1735      2154      3               226              0.2        ERR067967
1715      1829      2               230              2.9        ERR124289
1611      2070      1               235              10.4       ERR069772
1         100       3               240              4.7        ERR069813
1611      2070      1               243              8.7        ERR124254
1611      2070      1               245              8.7        ERR065298
1         100       3               248              4.7        ERR065957
1715      1829      2               263              2.9        ERR124309
1611      2070      1               264              10.4       ERR069806
1611      2070      1               268              8.7        ERR129203
1611      1662      1               277              2.0        ERR129124
1715      2022      1               277              9.2        ERR129124
2023      2134      2               277              4.9        ERR129124
1715      1829      2               280              2.9        ERR129184
1735      2154      3               288              0.2        ERR068015
1735      2154      3               303              0.2        ERR065346
1         100       3               311              4.7        ERR069838
1611      1662      1               322              2.0        ERR065321
1715      2022      1               322              9.2        ERR065321
2023      2134      2               322              4.9        ERR065321
1611      2070      1               323              8.7        ERR124264
1611      2070      1               328              10.4       ERR124258
1715      1829      2               334              2.9        ERR065318
1611      2070      1               339              8.7        ERR067997
1611      2070      1               341              10.4       ERR069730
1611      2070      1               349              8.7        ERR069766
1611      2070      1               365              8.7        ERR129169
1715      1829      2               381              2.9        ERR129110
1611      2070      1               404              8.7        ERR124317
1611      1662      1               405              2.0        ERR129188
1715      2022      1               405              9.2        ERR129188
2023      2134      2               405              4.9        ERR129188
1611      1662      1               407              2.0        ERR129056
1715      2022      1               407              9.2        ERR129056
2023      2134      2               407              4.9        ERR129056
1611      1662      1               410              2.0        ERR069775
1715      2022      1               410              9.2        ERR069775
2023      2134      2               410              4.9        ERR069775
1611      2070      1               414              10.4       ERR124306
1611      2070      1               423              10.4       ERR069816
1611      2070      1               449              10.4       ERR065956
1611      2070      1               454              10.4       ERR065312
1700      1829      2               460              0.6        ERR124270
1715      1829      2               462              1.7        ERR129194
