StrainIndex  Lineage  Cluster  Name
1            3        3        ERR069709
2            3        3        ERR068001
3            1        1        ERR124244
4            3        3        ERR068005
5            2        2        ERR069785
6            3        3        ERR065353
7            3        3        ERR065953
8            3        3        ERR069710
9            3        3        ERR129027
10           3        3        ERR124223
11           3        3        ERR069734
12           3        3        ERR129092
13           3        3        ERR069759
14           3        3        ERR069827
15           3        3        ERR069741
16           3        3        ERR069788
17           3        3        ERR069784
18           3        3        ERR068043
19           2        2        ERR069797
20           3        3        ERR129115
21           2        2        ERR069821
22           3        3        ERR067979
