StrainIndex  Lineage  Cluster  Name
1            4        3        ERR069738
2            3        5        ERR065974
3            4        10       ERR129065
4            3        6        ERR129037
5            3        5        ERR069700
6            4        10       ERR124247
7            4        8        ERR124222
8            4        10       ERR065305
9            2        7        ERR069786
10           4        8        ERR129179
11           2        7        ERR129176
12           4        4        ERR069709
13           3        6        ERR067985
14           4        10       ERR129212
15           4        3        ERR068037
16           3        6        ERR069814
17           4        8        ERR124241
18           4        10       ERR069795
19           4        8        ERR124293
20           4        10       ERR069735
21           3        9        ERR069773
22           3        5        ERR067966
23           1        2        ERR129029
24           2        7        ERR129105
25           4        10       ERR124226
26           2        7        ERR129196
27           3        5        ERR069823
28           3        5        ERR124319
29           4        4        ERR068001
30           2        7        ERR129117
31           4        1        ERR069764
32           3        6        ERR068007
33           4        10       ERR068008
34           3        5        ERR067969
35           4        8        ERR069703
36           2        7        ERR129195
37           1        2        ERR065325
38           3        9        ERR124256
39           4        8        ERR129087
40           4        10       ERR069819
41           4        10       ERR129129
42           1        2        ERR065960
43           4        10       ERR069796
44           3        6        ERR065326
45           3        9        ERR069712
46           3        6        ERR124244
47           4        8        ERR129075
48           3        6        ERR069713
49           4        10       ERR069826
50           3        5        ERR065341
51           4        10       ERR069771
52           4        8        ERR069706
53           4        10       ERR065970
54           3        5        ERR129130
55           4        3        ERR129096
56           4        10       ERR129107
57           3        9        ERR069809
58           3        9        ERR065302
59           4        1        ERR129187
60           3        5        ERR124314
61           4        3        ERR069686
62           3        9        ERR069824
63           3        9        ERR068048
64           4        10       ERR065972
65           3        9        ERR129164
66           4        3        ERR069688
67           2        7        ERR069685
68           4        3        ERR124307
69           4        8        ERR067962
70           3        6        ERR124257
71           3        6        ERR129127
72           2        7        ERR065301
73           3        6        ERR124287
74           2        7        ERR068025
75           3        5        ERR067964
76           2        7        ERR069811
77           3        6        ERR069727
78           4        10       ERR129063
79           3        9        ERR065332
80           4        4        ERR129028
81           4        10       ERR065287
82           2        7        ERR129213
83           4        10       ERR129155
84           2        7        ERR129042
85           4        8        ERR129148
86           3        9        ERR129040
87           3        5        ERR069835
88           3        6        ERR129146
89           3        5        ERR129102
90           3        9        ERR069729
91           2        7        ERR129152
92           4        10       ERR069748
93           4        8        ERR069843
94           4        10       ERR124229
95           3        9        ERR129088
96           3        6        ERR069752
97           3        9        ERR065350
98           4        10       ERR129149
99           3        6        ERR129214
100          4        10       ERR069833
101          3        9        ERR124310
102          3        6        ERR068046
103          3        6        ERR129215
104          4        10       ERR129140
105          4        10       ERR069831
106          4        1        ERR068014
107          4        10       ERR124315
108          4        8        ERR124255
109          2        7        ERR065342
110          2        7        ERR124235
111          3        6        ERR129159
112          4        3        ERR129204
113          4        1        ERR129094
114          4        10       ERR069689
115          4        10       ERR069751
116          4        4        ERR068005
117          4        8        ERR069749
118          3        9        ERR067981
119          4        3        ERR067996
120          1        2        ERR129052
121          2        7        ERR069785
122          3        9        ERR069792
123          4        10       ERR124271
124          4        10       ERR069687
125          4        8        ERR124277
126          2        7        ERR124228
127          4        10       ERR129044
128          4        4        ERR065353
129          4        8        ERR129074
130          4        10       ERR069817
131          4        4        ERR065953
132          3        6        ERR129076
133          3        6        ERR129154
134          3        9        ERR069725
135          3        6        ERR068040
136          3        9        ERR129051
137          2        7        ERR129157
138          3        9        ERR124311
139          3        5        ERR069746
140          3        9        ERR068031
141          3        6        ERR067986
142          3        6        ERR124291
143          4        1        ERR129055
144          4        10       ERR069780
145          2        7        ERR065327
146          3        6        ERR069822
147          4        10       ERR129207
148          3        5        ERR124288
149          3        9        ERR129026
150          3        9        ERR124218
151          4        10       ERR068027
152          4        4        ERR069710
153          3        6        ERR065310
154          4        10       ERR129160
155          4        8        ERR065300
156          3        6        ERR069789
157          4        3        ERR065343
158          4        10       ERR069802
159          4        4        ERR129027
160          4        10       ERR129170
161          3        9        ERR129048
162          3        9        ERR065968
163          3        5        ERR065965
164          4        10       ERR068044
165          4        10       ERR129180
166          2        7        ERR068016
167          4        8        ERR065324
168          4        10       ERR129112
169          3        9        ERR129158
170          3        9        ERR069698
171          3        5        ERR069812
172          3        6        ERR124302
173          4        4        ERR129083
174          3        9        ERR065354
175          3        5        ERR069787
176          4        10       ERR068017
177          2        7        ERR129066
178          2        7        ERR129039
179          4        8        ERR065329
180          4        10       ERR124269
181          4        8        ERR129200
182          4        3        ERR067995
183          3        9        ERR068012
184          3        9        ERR124274
185          3        9        ERR067993
186          2        7        ERR069708
187          4        10       ERR129106
188          4        10       ERR069717
189          4        10       ERR067974
190          3        5        ERR069744
191          3        6        ERR129210
192          4        10       ERR129108
193          3        9        ERR129132
194          4        10       ERR069711
195          4        8        ERR068019
196          4        8        ERR129099
197          4        10       ERR129059
198          3        5        ERR065292
199          2        7        ERR067961
200          2        7        ERR069820
201          4        4        ERR129216
202          4        10       ERR129116
203          4        8        ERR124250
204          3        9        ERR069690
205          4        8        ERR065973
206          3        9        ERR065309
207          3        9        ERR124283
208          3        9        ERR065293
209          3        5        ERR069825
210          4        10       ERR069737
211          4        8        ERR124316
212          2        7        ERR065304
213          2        7        ERR129144
214          2        7        ERR124232
215          3        9        ERR068018
216          3        6        ERR124296
217          4        10       ERR067960
218          4        10       ERR068050
219          4        4        ERR068039
220          4        4        ERR068004
221          4        10       ERR129032
222          4        3        ERR124248
223          3        5        ERR068041
224          4        8        ERR129086
225          4        10       ERR065317
226          4        8        ERR069834
227          4        8        ERR069720
228          1        2        ERR129050
229          4        10       ERR129064
230          4        10       ERR069830
231          4        10       ERR069774
232          4        1        ERR129206
233          3        6        ERR069801
234          3        9        ERR124221
235          3        6        ERR129080
236          3        9        ERR068026
237          4        10       ERR129147
238          4        10       ERR069829
239          2        7        ERR129077
240          2        7        ERR067994
241          4        8        ERR069726
242          4        3        ERR065338
243          4        10       ERR129041
244          3        9        ERR065297
245          4        10       ERR129120
246          3        9        ERR129061
247          1        2        ERR124219
248          4        10       ERR065345
249          3        9        ERR124305
250          4        10       ERR069769
251          4        10       ERR065295
252          3        9        ERR069768
253          4        10       ERR129197
254          3        5        ERR065967
255          4        4        ERR124223
256          4        4        ERR069734
257          2        7        ERR129167
258          4        8        ERR129143
259          4        8        ERR124299
260          4        4        ERR129092
261          3        9        ERR129090
262          4        8        ERR068002
263          4        8        ERR068003
264          3        6        ERR124268
265          3        9        ERR129181
266          4        10       ERR069696
267          4        10       ERR129072
268          3        5        ERR065344
269          3        9        ERR129111
270          4        10       ERR068006
271          4        8        ERR068035
272          2        7        ERR069798
273          3        5        ERR124278
274          3        6        ERR069760
275          4        10       ERR067984
276          4        10       ERR069782
277          4        8        ERR124236
278          4        10       ERR068045
279          2        7        ERR065959
280          3        5        ERR129045
281          4        10       ERR069781
282          4        10       ERR069832
283          3        9        ERR065320
284          2        7        ERR124292
285          4        10       ERR129186
286          2        7        ERR124308
287          2        7        ERR129043
288          4        10       ERR069805
289          4        10       ERR124220
290          1        2        ERR069800
291          3        6        ERR068021
292          2        7        ERR067998
293          2        7        ERR124312
294          2        7        ERR065971
295          4        10       ERR129183
296          4        10       ERR068034
297          4        10       ERR065311
298          3        9        ERR068020
299          4        3        ERR069767
300          4        10       ERR067967
301          4        10       ERR069691
302          4        10       ERR129161
303          4        10       ERR069716
304          4        10       ERR124289
305          4        10       ERR129153
306          3        9        ERR129057
307          3        9        ERR067977
308          3        6        ERR129131
309          3        9        ERR069772
310          4        10       ERR124281
311          4        10       ERR069750
312          3        9        ERR069715
313          2        7        ERR124227
314          3        9        ERR069683
315          4        10       ERR069813
316          3        9        ERR124253
317          3        9        ERR069724
318          1        2        ERR065966
319          3        9        ERR069803
320          4        10       ERR124267
321          2        7        ERR124254
322          2        7        ERR129168
323          2        7        ERR124320
324          2        7        ERR065298
325          3        6        ERR069804
326          2        7        ERR065303
327          4        10       ERR065957
328          3        9        ERR068042
329          3        9        ERR069692
330          3        9        ERR124249
331          4        4        ERR069759
332          3        9        ERR069723
333          3        6        ERR067976
334          3        6        ERR065307
335          3        5        ERR065962
336          4        10       ERR069745
337          4        10       ERR129081
338          3        9        ERR129198
339          4        10       ERR069742
340          2        7        ERR069718
341          2        7        ERR124224
342          1        2        ERR069790
343          4        4        ERR069827
344          4        10       ERR129142
345          4        10       ERR124309
346          3        9        ERR069806
347          3        6        ERR129068
348          3        9        ERR067978
349          4        4        ERR069741
350          4        4        ERR129136
351          4        8        ERR129062
352          2        7        ERR129203
353          3        9        ERR068032
354          3        9        ERR065316
355          3        9        ERR124217
356          2        7        ERR067991
357          4        10       ERR124284
358          3        6        ERR129079
359          3        6        ERR069722
360          4        3        ERR124260
361          4        10       ERR069701
362          4        4        ERR129162
363          3        9        ERR129124
364          3        6        ERR124246
365          1        2        ERR065299
366          4        10       ERR129184
367          4        8        ERR124233
368          3        9        ERR124266
369          2        7        ERR069818
370          4        8        ERR068029
371          3        9        ERR124239
372          4        8        ERR124279
373          4        10       ERR129175
374          4        10       ERR065294
375          3        6        ERR129139
376          4        3        ERR069778
377          4        10       ERR068015
378          3        5        ERR129128
379          4        8        ERR129163
380          3        9        ERR068028
381          1        2        ERR065355
382          2        7        ERR068023
383          4        10       ERR069777
384          4        8        ERR069791
385          4        10       ERR124263
386          4        10       ERR069704
387          4        8        ERR129134
388          4        10       ERR129025
389          4        8        ERR065351
390          3        5        ERR069807
391          4        10       ERR129209
392          4        10       ERR069761
393          4        10       ERR129034
394          2        7        ERR129172
395          3        6        ERR124240
