StrainIndex  Lineage  Cluster  Name
1            3        7        ERR069738
2            2        2        ERR065974
3            3        8        ERR129065
4            3        5        ERR129037
5            3        9        ERR069700
6            3        8        ERR124247
7            3        3        ERR124222
8            3        9        ERR065305
9            3        9        ERR069786
10           3        7        ERR129179
11           3        4        ERR129176
12           3        3        ERR069709
13           3        5        ERR067985
14           3        6        ERR129212
15           3        7        ERR068037
16           3        8        ERR069814
17           3        7        ERR124241
18           3        9        ERR069795
19           3        7        ERR124293
20           3        6        ERR069735
21           3        8        ERR069773
22           3        9        ERR067966
23           3        4        ERR129029
24           3        6        ERR129105
25           3        4        ERR124226
26           3        6        ERR129196
27           3        4        ERR069823
28           3        5        ERR124319
29           3        3        ERR068001
30           3        4        ERR129117
31           3        4        ERR069764
32           3        8        ERR068007
33           3        9        ERR067969
34           3        7        ERR069703
35           3        6        ERR129195
36           3        8        ERR065325
37           3        5        ERR124256
38           3        7        ERR129087
39           3        6        ERR069819
40           3        9        ERR129129
41           3        8        ERR065960
42           3        9        ERR069796
43           3        8        ERR065326
44           3        8        ERR069712
45           3        4        ERR124244
46           3        3        ERR129075
47           3        5        ERR069713
48           3        8        ERR069826
49           2        2        ERR065341
50           3        9        ERR069771
51           3        3        ERR069706
52           3        9        ERR065970
53           2        2        ERR129130
54           3        7        ERR129096
55           3        8        ERR129107
56           3        5        ERR069809
57           3        8        ERR065302
58           3        6        ERR129187
59           3        9        ERR124314
60           3        7        ERR069686
61           3        6        ERR069824
62           3        5        ERR068048
63           3        9        ERR065972
64           3        5        ERR129164
65           3        7        ERR069688
66           3        8        ERR069685
67           3        7        ERR124307
68           3        7        ERR067962
69           3        8        ERR124257
70           3        5        ERR129127
71           3        6        ERR065301
72           3        9        ERR124287
73           3        7        ERR068025
74           3        4        ERR067964
75           3        7        ERR069811
76           3        5        ERR069727
77           3        9        ERR129063
78           3        8        ERR065332
79           3        6        ERR129028
80           3        9        ERR065287
81           3        4        ERR129213
82           3        8        ERR129155
83           3        4        ERR129042
84           3        7        ERR129148
85           3        8        ERR129040
86           3        4        ERR069835
87           3        9        ERR129146
88           3        6        ERR129102
89           3        6        ERR069729
90           3        7        ERR129152
91           3        6        ERR069748
92           3        3        ERR069843
93           3        9        ERR124229
94           3        5        ERR129088
95           3        8        ERR069752
96           3        5        ERR065350
97           3        9        ERR129149
98           3        8        ERR129214
99           3        9        ERR069833
100          3        7        ERR124310
101          3        8        ERR068046
102          3        5        ERR129215
103          3        9        ERR129140
104          3        9        ERR069831
105          3        6        ERR068014
106          3        9        ERR124315
107          3        3        ERR124255
108          3        6        ERR065342
109          3        4        ERR124235
110          3        5        ERR129159
111          3        7        ERR129204
112          3        6        ERR129094
113          3        6        ERR069689
114          3        9        ERR069751
115          3        5        ERR068005
116          3        5        ERR067981
117          3        7        ERR067996
118          3        4        ERR129052
119          3        5        ERR069785
120          3        4        ERR069792
121          3        6        ERR124271
122          3        9        ERR069687
123          3        7        ERR124277
124          3        9        ERR124228
125          3        5        ERR129044
126          3        3        ERR065353
127          3        7        ERR129074
128          3        9        ERR069817
129          3        3        ERR065953
130          3        9        ERR129076
131          3        5        ERR129154
132          3        8        ERR069725
133          3        8        ERR068040
134          3        8        ERR129051
135          3        4        ERR129157
136          3        3        ERR124311
137          3        4        ERR068031
138          3        8        ERR067986
139          3        5        ERR124291
140          3        9        ERR129055
141          3        8        ERR069780
