4 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
796       822       4               2                0.4        ERR065974
530       615       4               31               1.3        ERR069764
782       921       3               31               0.7        ERR069764
530       615       4               40               0.0        ERR069819
782       795       1               59               2.1        ERR129187
796       822       4               163              0.4        ERR065965
796       822       4               185              0.4        ERR067993
530       615       4               276              0.0        ERR069782
530       615       4               315              0.0        ERR069813
796       822       4               319              0.4        ERR069803
530       615       4               327              0.0        ERR065957
796       822       4               455              0.4        ERR069841
782       795       1               600              2.1        ERR129047
