StrainIndex  Lineage  Cluster  Name
1            1        3        ERR069738
2            2        1        ERR065974
3            3        2        ERR129065
4            1        6        ERR129037
5            1        4        ERR069700
6            3        8        ERR124247
7            3        10       ERR124222
8            3        8        ERR065305
9            2        9        ERR069786
10           2        9        ERR129179
11           2        9        ERR129176
12           3        10       ERR069709
13           1        6        ERR067985
14           2        9        ERR129212
15           1        3        ERR068037
16           3        10       ERR069814
17           2        9        ERR124241
18           3        8        ERR069795
19           2        9        ERR124293
20           2        9        ERR069735
21           3        10       ERR069773
22           1        4        ERR067966
23           3        10       ERR129029
24           2        9        ERR129105
25           3        10       ERR124226
26           2        9        ERR129196
27           3        10       ERR069823
28           2        9        ERR124319
29           3        10       ERR068001
30           2        9        ERR129117
31           2        7        ERR069764
32           3        10       ERR068007
33           2        7        ERR068008
34           1        4        ERR067969
35           2        9        ERR069703
36           2        9        ERR129195
37           3        10       ERR065325
38           2        9        ERR124256
39           2        9        ERR129087
40           2        9        ERR069819
41           3        8        ERR129129
42           3        10       ERR065960
43           2        7        ERR069796
44           1        6        ERR065326
45           2        9        ERR069712
46           1        5        ERR124244
47           3        10       ERR129075
48           1        6        ERR069713
49           3        2        ERR069826
50           2        1        ERR065341
51           2        7        ERR069771
52           3        10       ERR069706
53           3        8        ERR065970
54           2        1        ERR129130
55           1        3        ERR129096
56           3        10       ERR129107
57           2        9        ERR069809
58           3        10       ERR065302
59           2        7        ERR129187
60           1        4        ERR124314
61           1        3        ERR069686
62           2        7        ERR069824
63           2        9        ERR068048
64           3        8        ERR065972
65           3        10       ERR129164
66           1        3        ERR069688
67           2        9        ERR069685
68           1        3        ERR124307
69           2        9        ERR067962
70           1        6        ERR124257
71           1        6        ERR129127
72           2        9        ERR065301
73           1        4        ERR124287
74           3        10       ERR068025
75           3        10       ERR067964
76           3        10       ERR069811
77           1        6        ERR069727
78           2        7        ERR129063
79           1        5        ERR065332
80           3        8        ERR129028
81           3        8        ERR065287
82           2        9        ERR129213
83           3        10       ERR129155
84           2        9        ERR129042
85           2        9        ERR129148
86           3        10       ERR129040
87           3        10       ERR069835
88           1        4        ERR129146
89           3        10       ERR129102
90           2        7        ERR069729
91           3        10       ERR129152
92           2        9        ERR069748
93           3        10       ERR069843
