1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
205       211       3               5                3.1        ERR069700
205       211       3               22               3.1        ERR067966
205       211       3               34               3.1        ERR067969
205       211       3               60               3.1        ERR124314
205       211       3               175              3.1        ERR069787
205       211       3               190              3.1        ERR069744
205       211       3               209              3.1        ERR069825
205       211       3               359              3.4        ERR069722
205       211       3               378              3.1        ERR129128
205       211       3               414              3.1        ERR067975
205       211       3               421              3.1        ERR129151
205       211       3               444              3.4        ERR065349
205       211       3               450              3.1        ERR069763
205       211       3               499              3.1        ERR069747
205       211       3               526              3.1        ERR124303
205       211       3               548              3.1        ERR069815
205       211       3               571              3.4        ERR068022
205       211       3               582              3.1        ERR065963
