2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
434       460       4               12               1.5        ERR069709
434       460       4               29               1.5        ERR068001
434       460       4               128              1.5        ERR065353
434       460       4               131              1.5        ERR065953
434       460       4               152              1.5        ERR069710
434       460       4               159              1.5        ERR129027
434       460       4               220              1.5        ERR068004
434       460       4               256              1.5        ERR069734
434       460       4               260              1.5        ERR129092
170       191       1               280              9.3        ERR129045
434       460       4               343              1.5        ERR069827
434       460       4               476              1.5        ERR069788
434       460       4               478              1.5        ERR069784
434       460       4               513              1.5        ERR068043
434       460       4               570              1.5        ERR129115
