StrainIndex  Lineage  Cluster  Name
1            2        4        ERR069738
2            1        3        ERR065974
3            1        6        ERR129065
4            2        5        ERR129037
5            2        7        ERR069700
6            2        7        ERR124247
7            1        2        ERR124222
8            2        7        ERR065305
9            2        4        ERR069786
10           2        5        ERR129179
11           2        7        ERR129176
12           1        3        ERR069709
13           2        5        ERR067985
14           2        4        ERR129212
15           2        4        ERR068037
16           1        6        ERR069814
17           2        5        ERR124241
18           2        7        ERR069795
19           2        5        ERR124293
20           1        6        ERR069735
21           1        6        ERR069773
22           2        7        ERR067966
23           1        6        ERR129029
24           1        3        ERR129105
25           2        4        ERR124226
26           1        3        ERR129196
27           2        1        ERR069823
28           2        4        ERR124319
29           1        3        ERR068001
30           2        7        ERR129117
31           2        5        ERR069764
32           1        6        ERR068007
33           2        7        ERR068008
34           2        7        ERR067969
35           2        5        ERR069703
36           1        3        ERR129195
37           2        5        ERR065325
38           1        6        ERR124256
39           2        5        ERR129087
40           2        4        ERR069819
41           2        7        ERR129129
42           2        5        ERR065960
43           2        7        ERR069796
44           2        5        ERR065326
45           1        6        ERR069712
46           2        4        ERR124244
47           1        2        ERR129075
48           2        5        ERR069713
49           1        6        ERR069826
50           1        3        ERR065341
51           2        7        ERR069771
52           1        2        ERR069706
53           2        7        ERR065970
54           1        3        ERR129130
55           2        4        ERR129096
56           1        6        ERR129107
57           1        6        ERR069809
58           1        6        ERR065302
59           1        6        ERR129187
60           2        7        ERR124314
61           2        4        ERR069686
62           2        4        ERR069824
63           1        6        ERR068048
64           2        7        ERR065972
65           1        6        ERR129164
66           2        4        ERR069688
67           2        4        ERR069685
68           2        4        ERR124307
69           2        5        ERR067962
70           2        5        ERR124257
71           2        5        ERR129127
72           1        3        ERR065301
73           1        6        ERR124287
74           2        4        ERR068025
75           2        1        ERR067964
76           2        4        ERR069811
77           2        5        ERR069727
78           2        7        ERR129063
79           2        7        ERR065332
80           2        4        ERR129028
81           2        7        ERR065287
82           2        7        ERR129213
83           1        6        ERR129155
84           2        7        ERR129042
85           2        5        ERR129148
86           1        6        ERR129040
87           2        1        ERR069835
88           1        6        ERR129146
89           1        6        ERR129102
90           2        4        ERR069729
91           2        4        ERR129152
92           2        4        ERR069748
93           1        2        ERR069843
94           2        7        ERR124229
95           1        6        ERR129088
96           2        5        ERR069752
97           1        6        ERR065350
98           2        7        ERR129149
99           2        5        ERR129214
100          2        7        ERR069833
101          2        5        ERR124310
102          2        5        ERR068046
103          2        5        ERR129215
104          2        7        ERR129140
105          2        7        ERR069831
106          1        6        ERR068014
107          2        7        ERR124315
108          2        4        ERR124255
109          1        3        ERR065342
110          2        7        ERR124235
111          2        5        ERR129159
112          2        4        ERR129204
113          1        6        ERR129094
114          2        4        ERR069689
115          2        7        ERR069751
116          1        3        ERR068005
117          2        5        ERR069749
118          1        6        ERR067981
119          2        4        ERR067996
120          1        6        ERR129052
121          1        2        ERR069785
122          2        4        ERR069792
123          2        4        ERR124271
124          2        7        ERR069687
125          2        5        ERR124277
126          2        5        ERR124228
127          2        4        ERR129044
128          1        3        ERR065353
129          2        5        ERR129074
130          2        7        ERR069817
131          1        6        ERR065953
132          1        6        ERR129076
133          2        5        ERR129154
134          2        7        ERR069725
135          2        5        ERR068040
136          1        6        ERR129051
137          2        7        ERR129157
138          1        6        ERR124311
139          2        1        ERR069746
140          2        4        ERR068031
141          2        5        ERR067986
142          2        5        ERR124291
143          1        6        ERR129055
144          1        6        ERR069780
145          2        4        ERR065327
146          2        5        ERR069822
147          2        7        ERR129207
148          2        4        ERR124288
149          2        7        ERR129026
150          2        1        ERR124218
151          1        6        ERR068027
152          1        3        ERR069710
153          2        5        ERR065310
154          2        7        ERR129160
155          2        5        ERR065300
156          1        6        ERR069789
157          2        4        ERR065343
158          1        6        ERR069802
159          1        6        ERR129027
160          2        7        ERR129170
161          2        5        ERR129048
162          1        6        ERR065968
163          1        3        ERR065965
164          2        7        ERR068044
165          2        4        ERR129180
166          1        2        ERR068016
167          2        5        ERR065324
168          2        7        ERR129112
169          1        6        ERR129158
170          2        7        ERR069698
171          2        1        ERR069812
172          2        5        ERR124302
173          2        4        ERR129083
174          2        4        ERR065354
175          2        7        ERR069787
176          2        7        ERR068017
177          1        2        ERR129066
178          2        4        ERR129039
179          2        5        ERR065329
180          2        7        ERR124269
181          2        5        ERR129200
182          2        4        ERR067995
183          1        6        ERR068012
184          2        7        ERR124274
185          1        3        ERR067993
186          2        7        ERR069708
187          1        6        ERR129106
188          2        7        ERR069717
189          2        7        ERR067974
190          2        7        ERR069744
191          2        5        ERR129210
192          2        7        ERR129108
193          1        6        ERR129132
194          2        7        ERR069711
195          2        5        ERR068019
196          2        5        ERR129099
197          2        7        ERR129059
198          2        1        ERR065292
199          2        5        ERR067961
200          1        3        ERR069820
201          2        4        ERR129216
202          1        6        ERR129116
203          2        5        ERR124250
204          1        6        ERR069690
205          1        2        ERR065973
206          2        5        ERR065309
207          2        7        ERR124283
208          2        7        ERR065293
209          2        7        ERR069825
210          2        5        ERR069737
211          2        5        ERR124316
212          1        2        ERR065304
213          1        3        ERR129144
214          2        4        ERR124232
215          1        6        ERR068018
216          2        5        ERR124296
217          2        7        ERR067960
218          2        7        ERR068050
219          1        6        ERR068039
220          1        3        ERR068004
221          2        7        ERR129032
222          2        4        ERR124248
223          2        5        ERR068041
224          2        5        ERR129086
225          2        7        ERR065317
226          2        5        ERR069834
227          1        2        ERR069720
228          2        5        ERR129050
229          2        4        ERR129064
230          1        6        ERR069830
231          2        7        ERR069774
232          1        6        ERR129206
233          2        5        ERR069801
234          2        7        ERR124221
235          2        5        ERR129080
236          2        7        ERR068026
237          1        6        ERR129147
238          2        7        ERR069829
239          1        3        ERR129077
240          2        4        ERR067994
241          2        5        ERR069726
242          2        4        ERR065338
243          2        4        ERR129041
244          2        7        ERR065297
245          2        7        ERR129120
246          2        7        ERR129061
247          1        6        ERR124219
248          1        6        ERR065345
249          2        5        ERR124305
250          2        4        ERR069769
251          1        6        ERR065295
252          1        6        ERR069768
253          2        7        ERR129197
254          2        1        ERR065967
255          1        3        ERR124223
256          1        3        ERR069734
257          2        7        ERR129167
258          2        5        ERR129143
259          2        5        ERR124299
260          1        3        ERR129092
261          1        6        ERR129090
262          2        5        ERR068002
263          1        2        ERR068003
264          2        5        ERR124268
265          2        4        ERR129181
266          2        7        ERR069696
267          2        7        ERR129072
268          2        1        ERR065344
269          2        5        ERR129111
270          2        4        ERR068006
271          1        2        ERR068035
272          2        4        ERR069798
273          1        3        ERR124278
274          2        5        ERR069760
275          2        7        ERR067984
276          2        4        ERR069782
277          2        5        ERR124236
278          2        7        ERR068045
279          1        2        ERR065959
280          1        6        ERR129045
281          2        7        ERR069781
282          2        4        ERR069832
283          2        7        ERR065320
284          2        5        ERR124292
285          2        7        ERR129186
286          2        7        ERR124308
287          2        7        ERR129043
288          2        7        ERR069805
289          2        7        ERR124220
290          1        6        ERR069800
291          1        6        ERR068021
292          1        3        ERR067998
293          2        5        ERR124312
294          2        4        ERR065971
295          2        7        ERR129183
296          2        7        ERR068034
297          1        6        ERR065311
298          1        6        ERR068020
299          2        4        ERR069767
300          1        6        ERR067967
301          2        7        ERR069691
302          1        6        ERR129161
303          2        4        ERR069716
304          2        4        ERR124289
305          2        7        ERR129153
306          1        6        ERR129057
307          1        6        ERR067977
308          2        5        ERR129131
309          2        4        ERR069772
310          2        7        ERR124281
311          2        4        ERR069750
312          1        6        ERR069715
313          2        7        ERR124227
314          1        6        ERR069683
315          2        4        ERR069813
316          2        5        ERR124253
317          2        7        ERR069724
318          1        6        ERR065966
319          1        3        ERR069803
320          2        7        ERR124267
321          2        4        ERR124254
322          2        4        ERR129168
323          1        3        ERR124320
324          2        4        ERR065298
325          2        5        ERR069804
326          2        7        ERR065303
327          2        4        ERR065957
328          2        7        ERR068042
329          2        4        ERR069692
330          2        7        ERR124249
331          1        3        ERR069759
332          2        4        ERR069723
333          1        6        ERR067976
334          1        6        ERR065307
335          2        1        ERR065962
336          2        7        ERR069745
337          2        7        ERR129081
338          2        7        ERR129198
339          2        4        ERR069742
340          2        5        ERR069718
341          2        5        ERR124224
342          1        6        ERR069790
343          1        3        ERR069827
344          2        7        ERR129142
345          2        4        ERR124309
346          2        4        ERR069806
347          2        5        ERR129068
348          2        7        ERR067978
349          1        3        ERR069741
350          2        4        ERR129136
351          1        2        ERR129062
352          2        4        ERR129203
353          2        7        ERR068032
354          2        5        ERR065316
355          2        5        ERR124217
356          1        2        ERR067991
357          2        7        ERR124284
358          2        5        ERR129079
359          1        6        ERR069722
360          2        4        ERR124260
361          2        4        ERR069701
362          2        7        ERR129162
363          1        6        ERR129124
364          2        5        ERR124246
365          2        5        ERR065299
366          2        4        ERR129184
367          1        2        ERR124233
368          2        5        ERR124266
369          1        3        ERR069818
370          2        5        ERR068029
371          2        7        ERR124239
372          2        5        ERR124279
373          2        7        ERR129175
374          2        4        ERR065294
375          2        5        ERR129139
376          2        4        ERR069778
377          1        6        ERR068015
378          2        7        ERR129128
379          2        5        ERR129163
380          2        7        ERR068028
381          1        6        ERR065355
382          2        7        ERR068023
383          1        6        ERR069777
384          1        2        ERR069791
385          2        7        ERR124263
386          2        7        ERR069704
387          2        5        ERR129134
388          2        4        ERR129025
389          2        5        ERR065351
390          1        6        ERR069807
391          2        7        ERR129209
392          2        7        ERR069761
393          2        7        ERR129034
394          2        4        ERR129172
395          2        5        ERR124240
396          2        4        ERR065315
397          1        6        ERR065346
398          1        6        ERR069731
399          2        7        ERR069828
400          2        1        ERR069755
401          2        4        ERR129156
402          2        5        ERR067988
403          1        3        ERR069714
404          1        2        ERR068036
405          1        6        ERR129071
406          2        5        ERR129035
407          2        4        ERR069697
408          1        6        ERR065306
409          1        6        ERR069838
410          1        6        ERR065313
411          1        2        ERR129038
412          2        4        ERR124294
413          2        5        ERR124243
414          1        6        ERR067975
415          2        7        ERR129046
416          1        3        ERR129053
417          2        7        ERR124272
418          1        3        ERR065289
419          1        6        ERR124285
420          1        6        ERR129126
421          1        6        ERR129151
422          2        7        ERR124225
423          1        6        ERR065321
424          2        7        ERR068011
425          2        4        ERR124264
426          2        5        ERR069707
427          1        6        ERR124252
428          1        6        ERR129082
429          1        6        ERR069743
430          1        6        ERR067980
431          2        4        ERR069836
432          2        5        ERR068047
433          2        7        ERR065288
434          2        1        ERR124258
435          1        2        ERR065314
436          2        5        ERR124301
437          2        7        ERR129091
438          1        6        ERR067982
439          2        5        ERR124276
440          2        7        ERR129118
441          2        4        ERR065318
442          1        3        ERR068010
443          2        5        ERR129067
444          1        6        ERR065349
445          2        4        ERR068030
446          2        5        ERR069728
447          2        4        ERR067997
448          2        7        ERR065291
449          2        4        ERR069730
450          2        7        ERR069763
451          2        7        ERR124300
452          2        4        ERR129202
453          2        5        ERR124290
454          2        5        ERR129178
455          1        3        ERR069841
456          1        6        ERR065955
