3 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1875      1893      2               6                9.1        ERR124247
1875      1893      2               9                8.8        ERR069786
1875      1893      2               11               8.9        ERR129176
1875      1893      2               21               8.9        ERR069773
1875      1893      2               24               8.8        ERR129105
1875      1893      2               26               8.8        ERR129196
1875      1893      2               27               9.1        ERR069823
1875      1893      2               28               8.9        ERR124319
1875      1893      2               30               8.9        ERR129117
1875      1893      2               36               8.8        ERR129195
1875      1893      2               38               8.9        ERR124256
1875      1893      2               45               8.9        ERR069712
1875      1893      2               57               8.9        ERR069809
1875      1893      2               58               8.9        ERR065302
1875      1893      2               59               8.9        ERR129187
1875      1893      2               63               8.9        ERR068048
1875      1893      2               72               8.8        ERR065301
1875      1893      2               74               8.8        ERR068025
1875      1893      2               75               9.1        ERR067964
1875      1893      2               76               8.8        ERR069811
1875      1893      2               82               8.9        ERR129213
1875      1893      2               84               8.9        ERR129042
1875      1893      2               86               8.9        ERR129040
1875      1893      2               87               9.1        ERR069835
1875      1882      1               89               10.4       ERR129102
1875      1893      2               91               8.8        ERR129152
1875      1893      2               97               8.9        ERR065350
1875      1893      2               109              8.8        ERR065342
1875      1893      2               110              8.9        ERR124235
1875      1893      2               136              8.9        ERR129051
1875      1893      2               137              8.9        ERR129157
1875      1893      2               139              9.1        ERR069746
1875      1893      2               145              8.8        ERR065327
1875      1893      2               148              8.9        ERR124288
1875      1893      2               162              8.9        ERR065968
1875      1893      2               171              9.1        ERR069812
1875      1893      2               178              8.7        ERR129039
1875      1893      2               186              8.9        ERR069708
1875      1893      2               193              8.9        ERR129132
1875      1893      2               198              9.1        ERR065292
1875      1893      2               204              8.9        ERR069690
1875      1893      2               213              8.8        ERR129144
1875      1893      2               214              8.8        ERR124232
1875      1893      2               215              9.1        ERR068018
1875      1893      2               219              8.9        ERR068039
1875      1893      2               223              8.9        ERR068041
1875      1893      2               229              8.9        ERR129064
1875      1893      2               239              8.8        ERR129077
1875      1893      2               252              8.9        ERR069768
1875      1893      2               254              9.1        ERR065967
1875      1893      2               257              8.9        ERR129167
1875      1893      2               261              8.9        ERR129090
1875      1893      2               268              9.1        ERR065344
1875      1893      2               286              8.9        ERR124308
1875      1893      2               287              8.9        ERR129043
1875      1893      2               292              8.8        ERR067998
1875      1893      2               298              8.9        ERR068020
1875      1893      2               307              8.9        ERR067977
1875      1893      2               312              8.9        ERR069715
1875      1893      2               313              8.9        ERR124227
1875      1893      2               321              8.8        ERR124254
1875      1893      2               323              8.8        ERR124320
1875      1893      2               324              8.8        ERR065298
1875      1893      2               326              8.9        ERR065303
1875      1893      2               335              9.1        ERR065962
1875      1893      2               352              8.8        ERR129203
1875      1893      2               363              8.9        ERR129124
1875      1893      2               369              8.8        ERR069818
1875      1893      2               382              8.9        ERR068023
1875      1893      2               398              8.9        ERR069731
1875      1893      2               400              9.1        ERR069755
1875      1893      2               403              8.8        ERR069714
1875      1882      1               405              10.4       ERR129071
1875      1893      2               412              8.9        ERR124294
1875      1893      2               416              8.8        ERR129053
1875      1893      2               419              8.9        ERR124285
1875      1893      2               423              8.9        ERR065321
1875      1893      2               425              8.8        ERR124264
1875      1893      2               442              8.8        ERR068010
1875      1893      1               445              9.1        ERR068030
1875      1893      2               447              8.8        ERR067997
1875      1893      2               457              8.9        ERR124265
1875      1893      2               461              8.8        ERR069766
1875      1893      2               462              9.1        ERR069765
1875      1893      2               473              9.1        ERR129113
1875      1893      2               475              8.7        ERR129182
1875      1893      2               479              8.9        ERR065347
1875      1893      2               483              8.8        ERR129169
1875      1893      2               484              8.9        ERR068013
1875      1893      2               489              9.1        ERR124231
1875      1893      2               491              8.9        ERR124304
1875      1893      2               495              8.9        ERR124282
1875      1893      2               500              9.1        ERR069732
1875      1893      2               521              8.8        ERR069799
1875      1893      2               524              8.9        ERR129058
1875      1893      2               527              9.1        ERR065330
1875      1893      2               532              9.1        ERR069719
1875      1893      2               533              8.8        ERR124317
1875      1893      2               534              8.9        ERR129188
1875      1893      2               537              8.9        ERR129056
1875      1893      2               541              8.9        ERR069775
1875      1893      2               543              9.1        ERR069770
1875      1893      2               551              9.1        ERR069721
1875      1893      2               581              9.1        ERR069740
1875      1893      2               587              8.9        ERR124297
1875      1893      2               591              8.9        ERR124237
1875      1893      2               598              8.8        ERR069808
1875      1893      4               600              9.1        ERR129047
1875      1893      2               606              8.9        ERR124286
1875      1893      2               608              8.9        ERR129201
