StrainIndex  Lineage  Cluster  Name
1            4        5        ERR069738
2            4        5        ERR069700
3            4        5        ERR124247
4            4        5        ERR129179
5            4        5        ERR069709
6            4        5        ERR068037
7            4        5        ERR124241
8            4        5        ERR124293
9            4        5        ERR069773
10           4        5        ERR067966
11           1        1        ERR124226
12           4        5        ERR068001
13           4        5        ERR067969
14           4        5        ERR069703
15           4        5        ERR065325
16           4        5        ERR124256
17           4        5        ERR129087
18           4        5        ERR065960
19           4        5        ERR129096
20           4        5        ERR069809
21           4        5        ERR065302
22           4        5        ERR129187
23           4        5        ERR124314
24           4        5        ERR069686
25           4        5        ERR068048
26           4        5        ERR069688
27           4        5        ERR124307
28           4        5        ERR067962
29           4        5        ERR068025
30           4        5        ERR069811
31           4        5        ERR129028
32           4        5        ERR129148
33           4        5        ERR129040
34           4        5        ERR129152
35           4        5        ERR065350
36           3        4        ERR124310
37           4        5        ERR129204
38           4        5        ERR068005
39           4        5        ERR069749
40           4        5        ERR067996
41           4        5        ERR069785
42           4        5        ERR069792
43           4        5        ERR124271
44           4        5        ERR124277
45           4        5        ERR065353
46           4        5        ERR129074
47           4        5        ERR065953
48           4        5        ERR068031
49           4        5        ERR065327
50           4        5        ERR124218
51           4        5        ERR069710
52           4        5        ERR065300
53           4        5        ERR065343
54           4        5        ERR129027
55           3        4        ERR129048
56           4        5        ERR068044
57           4        5        ERR065324
58           4        5        ERR129083
59           4        5        ERR065354
60           4        5        ERR069787
61           4        5        ERR129039
62           4        5        ERR065329
63           4        5        ERR129200
64           4        5        ERR069744
65           4        5        ERR068019
66           4        5        ERR129099
67           4        5        ERR129216
68           4        5        ERR124250
69           3        4        ERR065309
70           4        5        ERR069825
71           4        5        ERR124316
72           4        5        ERR124232
73           4        5        ERR068004
74           4        5        ERR124248
75           4        5        ERR129086
76           4        5        ERR069834
77           4        5        ERR129050
78           4        5        ERR129064
79           4        5        ERR067994
80           4        5        ERR069726
81           4        5        ERR129041
82           3        4        ERR124305
83           4        5        ERR069769
84           4        5        ERR124223
85           4        5        ERR069734
86           4        5        ERR129143
87           4        5        ERR124299
88           4        5        ERR129092
89           4        5        ERR068002
90           3        4        ERR129111
91           4        5        ERR124236
92           4        5        ERR129045
93           4        5        ERR069767
94           4        5        ERR124289
95           4        5        ERR124254
96           4        5        ERR065298
97           4        5        ERR069692
98           4        5        ERR069759
99           4        5        ERR069723
100          4        5        ERR069827
101          4        5        ERR124309
102          4        5        ERR069741
103          4        5        ERR129136
104          4        2        ERR129203
105          3        4        ERR065316
106          3        4        ERR124217
107          4        5        ERR124260
108          4        5        ERR129162
109          4        5        ERR129124
110          4        5        ERR065299
111          4        5        ERR129184
112          3        4        ERR124266
113          4        5        ERR068029
114          4        2        ERR124279
115          4        5        ERR069778
116          4        5        ERR129128
117          4        5        ERR129163
118          4        5        ERR129134
119          4        5        ERR065351
120          4        5        ERR069731
121          4        5        ERR129156
122          4        5        ERR067988
123          4        5        ERR129035
124          4        5        ERR069697
125          4        5        ERR069838
126          4        5        ERR124294
127          2        3        ERR124243
128          2        3        ERR124285
129          4        5        ERR065321
130          4        5        ERR124264
131          4        5        ERR069836
132          4        5        ERR124258
133          4        5        ERR124301
134          4        5        ERR129118
135          4        5        ERR065318
136          4        5        ERR069728
137          4        5        ERR067997
138          4        5        ERR069763
139          4        5        ERR129202
140          4        5        ERR124290
141          3        4        ERR124265
142          4        5        ERR069766
143          4        5        ERR067965
144          4        5        ERR069810
145          4        5        ERR124318
146          4        5        ERR069788
147          4        5        ERR069784
148          4        5        ERR065347
149          4        5        ERR129169
150          4        5        ERR129138
151          4        5        ERR065958
152          4        5        ERR069747
153          4        5        ERR129119
154          4        5        ERR124273
155          4        5        ERR068043
156          4        5        ERR124303
157          4        5        ERR129173
158          4        5        ERR124317
159          4        5        ERR129188
160          4        5        ERR069775
161          4        5        ERR124306
162          4        5        ERR069733
163          4        5        ERR069797
164          3        4        ERR069757
165          4        5        ERR129104
166          4        5        ERR069783
167          4        5        ERR129103
168          4        5        ERR067963
169          4        5        ERR129115
170          4        5        ERR069821
171          4        5        ERR067992
172          4        5        ERR065963
173          3        4        ERR129145
174          4        5        ERR124275
175          4        5        ERR129089
176          4        5        ERR129047
177          4        5        ERR065312
178          4        5        ERR067979
179          4        5        ERR129201
180          4        5        ERR068033
181          4        5        ERR129030
