9 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
614       669       1               2                3.7        ERR065974
670       690       2               2                0.4        ERR065974
691       723       5               2                2.6        ERR065974
724       785       3               2                0.9        ERR065974
786       848       1               2                10.8       ERR065974
623       669       1               6                3.3        ERR124247
670       683       2               6                0.6        ERR124247
684       810       3               6                6.7        ERR124247
691       703       5               9                3.3        ERR069786
493       897       4               10               0.9        ERR129179
623       669       1               11               3.3        ERR129176
670       683       2               11               0.6        ERR129176
684       723       5               11               1.2        ERR129176
724       803       3               11               7.8        ERR129176
631       669       1               14               8.2        ERR129212
670       690       2               14               0.4        ERR129212
691       848       3               14               10.3       ERR129212
493       897       4               17               0.9        ERR124241
493       897       4               19               0.9        ERR124293
744       790       3               28               3.6        ERR124319
791       848       1               28               7.9        ERR124319
623       669       1               30               3.3        ERR129117
670       683       2               30               0.6        ERR129117
684       723       5               30               1.2        ERR129117
724       803       3               30               7.8        ERR129117
493       897       4               35               0.9        ERR069703
493       897       4               39               0.9        ERR129087
614       669       1               50               3.7        ERR065341
670       690       2               50               0.4        ERR065341
691       723       5               50               2.6        ERR065341
724       785       3               50               0.9        ERR065341
786       848       1               50               10.8       ERR065341
614       669       1               54               3.7        ERR129130
670       690       2               54               0.4        ERR129130
691       723       5               54               2.6        ERR129130
724       785       3               54               0.9        ERR129130
786       848       1               54               10.8       ERR129130
623       669       1               67               3.3        ERR069685
670       683       2               67               0.6        ERR069685
684       723       5               67               1.2        ERR069685
724       803       3               67               7.8        ERR069685
493       897       4               69               0.9        ERR067962
623       669       1               82               3.3        ERR129213
670       683       2               82               0.6        ERR129213
684       723       5               82               1.2        ERR129213
724       803       3               82               7.8        ERR129213
623       669       1               84               3.3        ERR129042
670       683       2               84               0.6        ERR129042
684       723       5               84               1.2        ERR129042
724       803       3               84               7.8        ERR129042
493       897       4               85               0.9        ERR129148
623       669       1               89               1.2        ERR129102
786       823       5               89               6.9        ERR129102
631       669       1               92               8.2        ERR069748
670       690       2               92               0.4        ERR069748
691       848       3               92               10.3       ERR069748
623       669       1               110              3.3        ERR124235
670       683       2               110              0.6        ERR124235
684       723       5               110              1.2        ERR124235
724       803       3               110              7.8        ERR124235
631       669       1               114              8.2        ERR069689
670       690       2               114              0.4        ERR069689
691       848       3               114              10.3       ERR069689
493       897       4               117              0.9        ERR069749
670       697       2               121              2.6        ERR069785
614       669       5               123              3.0        ERR124271
670       697       2               123              2.4        ERR124271
493       897       4               125              0.9        ERR124277
623       669       1               126              3.7        ERR124228
670       683       2               126              0.7        ERR124228
670       697       2               127              2.6        ERR129044
493       897       4               129              0.9        ERR129074
623       669       1               137              3.3        ERR129157
670       683       2               137              0.6        ERR129157
684       723       5               137              1.2        ERR129157
724       803       3               137              7.8        ERR129157
623       669       1               138              4.4        ERR124311
670       683       2               138              1.2        ERR124311
684       790       3               138              3.5        ERR124311
791       848       1               138              8.8        ERR124311
