StrainIndex  Lineage  Cluster  Name
1            2        3        ERR129065
2            2        3        ERR124247
3            2        3        ERR069786
4            2        3        ERR069709
5            2        3        ERR129029
6            2        3        ERR124226
7            1        1        ERR068001
8            2        3        ERR069764
9            2        3        ERR069819
10           2        3        ERR069826
11           2        3        ERR129107
12           2        3        ERR129164
13           2        3        ERR124287
14           2        2        ERR065332
15           2        3        ERR129155
16           2        3        ERR129146
17           2        3        ERR129102
18           2        3        ERR129088
19           2        3        ERR124310
20           2        3        ERR067981
21           2        3        ERR129052
22           2        3        ERR124271
23           2        3        ERR124228
24           2        3        ERR065953
25           2        3        ERR129076
26           2        2        ERR069725
27           2        3        ERR129055
28           2        3        ERR069780
29           2        2        ERR129026
30           2        3        ERR068027
31           2        3        ERR069710
32           2        3        ERR069802
33           2        3        ERR129048
34           2        3        ERR068016
35           2        3        ERR129158
36           2        2        ERR069698
37           2        3        ERR129066
38           2        3        ERR068012
39           2        2        ERR124274
40           2        3        ERR129106
41           2        3        ERR067961
42           2        3        ERR069820
43           2        3        ERR129116
44           2        3        ERR065309
45           2        2        ERR124283
46           2        2        ERR065293
47           2        3        ERR065304
48           2        3        ERR069830
49           2        2        ERR124221
50           2        2        ERR068026
51           2        3        ERR129147
52           2        3        ERR129041
53           2        2        ERR065297
54           2        2        ERR129061
55           2        3        ERR124219
56           2        3        ERR065345
57           2        3        ERR124305
58           2        3        ERR069769
59           2        3        ERR069734
60           2        3        ERR129092
61           2        3        ERR129111
62           2        3        ERR065959
63           2        2        ERR065320
64           2        3        ERR124292
65           2        3        ERR069800
66           2        3        ERR124312
67           2        3        ERR065311
68           2        3        ERR067967
69           2        3        ERR129161
70           2        3        ERR124289
71           2        3        ERR069683
72           2        3        ERR124253
73           2        2        ERR069724
74           2        3        ERR065966
75           2        2        ERR068042
76           2        2        ERR124249
77           2        3        ERR067976
78           2        3        ERR065307
79           2        2        ERR129198
80           2        3        ERR069718
81           2        3        ERR124224
82           2        3        ERR069790
83           2        3        ERR069827
84           2        3        ERR124309
85           2        2        ERR067978
86           2        2        ERR068032
87           2        3        ERR065316
88           2        3        ERR124217
89           2        3        ERR067991
90           2        3        ERR069722
91           2        3        ERR129184
92           2        3        ERR124266
93           2        2        ERR124239
94           2        3        ERR068015
95           2        2        ERR068028
96           2        3        ERR065355
97           2        3        ERR069777
98           2        3        ERR069807
99           2        3        ERR065346
100          2        3        ERR129071
101          2        3        ERR065306
102          2        3        ERR065313
103          2        3        ERR129038
104          2        3        ERR124243
105          2        2        ERR124272
106          2        3        ERR129126
107          2        3        ERR129082
108          2        3        ERR069743
109          2        3        ERR067980
110          2        3        ERR124276
111          2        3        ERR065318
112          2        3        ERR129067
113          2        3        ERR065349
114          2        3        ERR124300
115          2        3        ERR065955
116          2        3        ERR124265
117          2        3        ERR069839
118          2        3        ERR069788
119          2        3        ERR065322
120          2        2        ERR129054
121          2        3        ERR129208
122          2        3        ERR129110
123          2        3        ERR068043
124          2        3        ERR129205
125          2        3        ERR069694
126          2        2        ERR129060
127          2        3        ERR124245
128          2        3        ERR068000
129          2        3        ERR129084
130          2        3        ERR129073
131          2        3        ERR069840
132          2        3        ERR129192
133          2        3        ERR069736
134          2        3        ERR129098
135          2        3        ERR069757
136          2        3        ERR065339
137          2        3        ERR124238
138          2        3        ERR129199
139          2        2        ERR068049
140          2        3        ERR068022
141          2        3        ERR124230
142          2        3        ERR067973
143          2        3        ERR129145
144          2        3        ERR065331
145          2        3        ERR129141
146          2        3        ERR129133
147          2        3        ERR065348
148          2        3        ERR129171
149          2        3        ERR129122
150          2        3        ERR129100
