2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1         40        4               3                0.9        ERR129037
1         40        4               8                0.9        ERR129176
1         40        4               10               0.9        ERR067985
1         40        4               34               0.9        ERR069713
1         40        4               47               0.9        ERR065972
1         40        4               52               0.9        ERR129127
1         40        4               58               0.9        ERR069727
1         40        4               72               0.9        ERR069752
1         40        4               75               0.9        ERR129214
1         40        4               77               0.9        ERR068046
1         40        4               78               0.9        ERR129215
1         40        4               85               0.9        ERR129159
360       392       5               95               2.5        ERR129044
1         40        4               100              0.9        ERR129154
1         40        4               101              0.9        ERR068040
1         40        4               107              0.9        ERR067986
1         40        4               108              0.9        ERR124291
1         40        4               112              0.9        ERR069822
1         40        4               118              0.9        ERR065310
1         40        4               130              0.9        ERR124302
1         40        4               145              0.9        ERR129210
1         40        4               162              0.9        ERR124296
1         40        4               174              0.9        ERR069801
1         40        4               175              0.9        ERR129080
1         40        4               195              0.9        ERR124268
1         40        4               202              0.9        ERR069760
1         40        4               228              0.9        ERR129131
1         40        4               240              0.9        ERR069804
1         40        4               255              0.9        ERR129068
1         40        4               261              0.9        ERR129079
1         40        4               264              0.9        ERR124246
1         40        4               271              0.9        ERR129139
1         40        4               287              0.9        ERR124240
1         40        4               302              0.9        ERR129046
1         40        4               310              0.9        ERR069707
1         40        4               315              0.9        ERR068047
1         40        4               330              0.9        ERR129178
1         40        4               334              0.9        ERR067968
1         40        4               345              0.9        ERR129177
1         40        4               348              0.9        ERR069839
1         40        4               358              0.9        ERR124242
1         40        4               365              0.9        ERR065308
1         40        4               376              0.9        ERR069702
1         40        4               381              0.9        ERR065964
1         40        4               399              0.9        ERR069837
1         40        4               402              0.9        ERR129033
1         40        4               403              0.9        ERR068000
1         40        4               445              0.9        ERR129093
1         40        4               451              0.9        ERR129211
1         40        4               454              0.9        ERR124298
