4 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1247      1347      3               6                0.5        ERR124247
1123      1347      1               126              0.3        ERR124228
1123      1347      1               199              0.3        ERR067961
1123      1347      1               284              0.3        ERR124292
1123      1347      1               293              0.3        ERR124312
413       474       2               327              1.3        ERR065957
475       511       5               327              0.6        ERR065957
1123      1347      1               340              0.3        ERR069718
1123      1347      1               341              0.3        ERR124224
1123      1347      1               413              0.3        ERR124243
1123      1347      1               439              0.3        ERR124276
1123      1347      1               443              0.3        ERR129067
1123      1347      1               547              0.3        ERR129073
