29 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
295       441       5               1                6.3        ERR069738
442       458       3               1                4.5        ERR069738
648       684       5               1                1.6        ERR069738
1241      1330      2               2                8.7        ERR065974
148       461       3               4                11.8       ERR129037
709       781       6               5                14.6       ERR069700
1331      1347      6               5                3.6        ERR069700
1         193       6               6                5.3        ERR124247
194       441       5               6                3.0        ERR124247
442       757       3               6                13.0       ERR124247
1136      1323      2               7                1.4        ERR124222
1         684       4               9                12.6       ERR069786
548       691       5               12               18.3       ERR069709
148       461       3               13               11.8       ERR067985
634       774       5               14               2.1        ERR129212
811       868       2               14               10.6       ERR129212
295       441       5               15               6.3        ERR068037
442       458       3               15               4.5        ERR068037
648       684       5               15               1.6        ERR068037
148       461       3               16               11.8       ERR069814
1         562       4               21               9.3        ERR069773
709       781       6               22               14.6       ERR067966
1331      1347      6               22               3.6        ERR067966
548       691       5               25               18.3       ERR124226
140       461       3               32               11.3       ERR068007
709       781       6               34               14.6       ERR067969
1331      1347      6               34               3.6        ERR067969
140       461       3               44               11.3       ERR065326
1136      1323      2               47               1.4        ERR129075
140       461       3               48               11.3       ERR069713
1189      1316      2               49               4.6        ERR069826
1331      1374      7               49               9.7        ERR069826
1241      1330      2               50               8.7        ERR065341
1136      1323      2               52               1.4        ERR069706
1241      1330      2               54               8.7        ERR129130
295       441       5               55               6.3        ERR129096
442       458       3               55               4.5        ERR129096
648       684       5               55               1.6        ERR129096
1         562       4               58               9.3        ERR065302
1         125       3               59               5.0        ERR129187
148       244       3               59               13.7       ERR129187
346       358       3               59               1.1        ERR129187
359       408       5               59               29.2       ERR129187
709       781       6               60               14.6       ERR124314
1331      1347      6               60               3.6        ERR124314
295       441       5               61               6.3        ERR069686
442       458       3               61               4.5        ERR069686
648       684       5               61               1.6        ERR069686
140       461       3               62               12.0       ERR069824
295       441       5               66               6.3        ERR069688
442       458       3               66               4.5        ERR069688
648       684       5               66               1.6        ERR069688
365       430       5               67               8.5        ERR069685
295       441       5               68               6.3        ERR124307
442       458       3               68               4.5        ERR124307
648       684       5               68               1.6        ERR124307
1         461       3               71               5.4        ERR129127
1         173       6               74               4.2        ERR068025
1         173       6               76               4.2        ERR069811
1         461       3               77               5.4        ERR069727
1         532       6               80               8.8        ERR129028
533       840       5               80               19.5       ERR129028
1         562       4               86               9.3        ERR129040
1         461       3               89               6.1        ERR129102
1         461       3               90               6.1        ERR069729
1         173       6               91               4.2        ERR129152
634       774       5               92               2.1        ERR069748
811       868       2               92               10.6       ERR069748
1136      1323      2               93               1.4        ERR069843
1         461       3               96               5.4        ERR069752
1         461       3               99               5.4        ERR129214
1         173       6               101              4.2        ERR124310
140       461       3               102              11.3       ERR068046
1         461       3               103              5.4        ERR129215
1         125       3               106              5.0        ERR068014
148       244       3               106              13.7       ERR068014
346       358       3               106              1.1        ERR068014
359       408       5               106              29.2       ERR068014
1136      1323      2               108              1.4        ERR124255
1         461       3               111              5.4        ERR129159
295       441       5               112              6.3        ERR129204
442       458       3               112              4.5        ERR129204
648       684       5               112              1.6        ERR129204
1         125       3               113              5.0        ERR129094
148       244       3               113              13.7       ERR129094
346       358       3               113              1.1        ERR129094
359       408       5               113              29.2       ERR129094
634       774       5               114              2.1        ERR069689
811       868       2               114              10.6       ERR069689
548       691       5               116              18.3       ERR068005
295       441       5               119              6.3        ERR067996
442       458       3               119              4.5        ERR067996
648       684       5               119              1.6        ERR067996
1         193       6               123              5.3        ERR124271
194       441       5               123              3.0        ERR124271
442       757       3               123              13.0       ERR124271
1         684       4               127              10.4       ERR129044
548       691       5               128              18.3       ERR065353
548       691       5               131              18.3       ERR065953
1         461       3               133              5.4        ERR129154
1         461       3               135              5.4        ERR068040
1         369       5               138              12.0       ERR124311
761       877       2               138              22.1       ERR124311
1         461       3               141              5.4        ERR067986
1         461       3               142              5.4        ERR124291
1189      1316      2               144              4.6        ERR069780
1331      1374      7               144              9.7        ERR069780
1         173       6               145              4.2        ERR065327
