5 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
546       565       1               2                1.5        ERR065974
151       246       2               5                1.5        ERR069700
546       565       2               5                3.1        ERR069700
546       565       1               7                2.1        ERR124222
546       565       1               14               1.9        ERR129212
546       565       2               16               3.2        ERR069814
151       246       2               22               1.5        ERR067966
546       565       2               22               3.1        ERR067966
546       565       1               23               1.9        ERR129029
546       565       1               31               2.1        ERR069764
546       565       2               32               3.2        ERR068007
151       246       2               34               1.5        ERR067969
546       565       2               34               3.1        ERR067969
546       565       1               37               2.3        ERR065325
546       565       1               38               2.1        ERR124256
546       565       1               40               2.1        ERR069819
546       565       1               42               2.3        ERR065960
513       556       3               46               0.8        ERR124244
546       565       1               47               2.1        ERR129075
546       565       1               50               1.5        ERR065341
546       565       1               52               2.1        ERR069706
546       565       1               54               1.5        ERR129130
546       565       1               57               2.1        ERR069809
546       565       1               59               1.5        ERR129187
151       246       2               60               1.5        ERR124314
546       565       2               60               3.1        ERR124314
546       565       1               63               2.1        ERR068048
151       258       2               65               2.0        ERR129164
546       565       2               65               3.1        ERR129164
546       565       1               67               2.1        ERR069685
151       246       2               70               1.5        ERR124257
546       565       2               70               3.1        ERR124257
546       565       1               88               2.3        ERR129146
546       565       1               92               1.9        ERR069748
546       565       1               93               2.1        ERR069843
151       258       2               95               2.0        ERR129088
546       565       2               95               3.1        ERR129088
546       565       1               97               2.1        ERR065350
546       565       1               106              2.1        ERR068014
546       565       1               108              2.1        ERR124255
546       565       1               113              2.1        ERR129094
546       565       1               114              1.9        ERR069689
151       258       2               118              2.0        ERR067981
546       565       2               118              3.1        ERR067981
546       565       1               120              1.9        ERR129052
546       565       1               122              2.1        ERR069792
546       565       1               132              2.3        ERR129076
546       565       1               138              1.9        ERR124311
546       565       1               140              2.1        ERR068031
546       565       1               143              2.3        ERR129055
151       246       2               156              1.5        ERR069789
546       565       2               156              3.1        ERR069789
546       565       1               163              1.5        ERR065965
546       565       1               165              1.9        ERR129180
151       246       2               166              0.7        ERR068016
151       258       2               169              2.0        ERR129158
546       565       2               169              3.1        ERR129158
546       565       1               174              2.1        ERR065354
151       246       2               175              1.5        ERR069787
546       565       2               175              3.1        ERR069787
151       246       2               177              0.7        ERR129066
151       258       2               183              2.0        ERR068012
546       565       2               183              3.1        ERR068012
151       246       2               190              1.5        ERR069744
546       565       2               190              3.1        ERR069744
151       246       2               200              0.9        ERR069820
537       565       2               200              1.4        ERR069820
546       565       1               205              2.1        ERR065973
182       246       2               209              1.8        ERR069825
546       565       2               209              2.9        ERR069825
546       565       1               210              2.3        ERR069737
151       246       2               212              0.7        ERR065304
546       565       1               226              2.1        ERR069720
546       565       1               227              2.3        ERR129050
546       565       1               231              2.1        ERR129206
546       565       1               246              1.9        ERR124219
546       565       1               262              2.1        ERR068003
546       565       1               269              1.9        ERR068006
546       565       1               270              2.1        ERR068035
546       565       1               271              2.1        ERR069798
546       565       1               272              1.5        ERR124278
546       565       1               275              2.1        ERR069782
151       246       2               278              0.7        ERR065959
546       565       1               279              2.1        ERR129045
546       565       1               281              1.9        ERR069832
546       565       1               289              1.9        ERR069800
151       246       2               290              1.5        ERR068021
546       565       2               290              3.1        ERR068021
546       565       1               293              2.1        ERR065971
546       565       1               302              1.9        ERR069716
546       565       1               305              1.9        ERR129057
546       565       1               310              1.9        ERR069750
151       258       2               313              2.0        ERR069683
546       565       2               313              3.1        ERR069683
546       565       1               314              2.1        ERR069813
546       565       1               317              1.9        ERR065966
546       565       1               321              2.1        ERR129168
546       565       1               328              2.1        ERR069692
546       556       1               331              4.2        ERR069723
546       565       1               332              2.3        ERR067976
546       565       1               333              2.3        ERR065307
546       565       1               341              1.9        ERR069790
546       565       1               350              2.1        ERR129062
151       246       2               355              0.7        ERR067991
546       565       1               360              1.9        ERR069701
546       565       1               364              2.3        ERR065299
546       565       1               366              2.1        ERR124233
151       246       2               377              1.5        ERR129128
546       565       2               377              3.1        ERR129128
546       565       1               380              1.9        ERR065355
546       565       1               383              2.1        ERR069791
546       565       1               393              2.1        ERR129172
203       258       1               395              2.5        ERR065315
546       565       1               395              1.9        ERR065315
546       565       1               397              2.1        ERR069731
546       565       1               403              2.1        ERR068036
546       565       1               406              2.1        ERR069697
546       565       1               407              1.9        ERR065306
546       565       1               409              2.3        ERR065313
151       246       2               410              0.7        ERR129038
151       246       2               413              1.5        ERR067975
546       565       2               413              3.1        ERR067975
546       565       1               417              1.5        ERR065289
546       565       1               418              2.1        ERR124285
151       258       2               419              2.0        ERR129126
546       565       2               419              3.1        ERR129126
546       565       1               420              2.3        ERR129151
151       246       2               426              1.5        ERR124252
546       565       2               426              3.1        ERR124252
546       565       1               427              2.3        ERR129082
546       565       1               434              2.1        ERR065314
546       565       1               437              1.4        ERR067982
546       565       1               444              2.1        ERR068030
151       246       2               449              1.5        ERR069763
546       565       2               449              3.1        ERR069763
203       258       1               459              2.5        ERR069739
546       565       1               459              1.9        ERR069739
546       565       1               464              2.1        ERR065969
546       565       1               465              2.1        ERR069842
151       246       2               466              1.5        ERR129185
546       565       2               466              3.1        ERR129185
546       565       1               467              2.1        ERR069810
546       565       1               476              1.9        ERR067983
546       565       1               478              2.1        ERR065347
546       565       1               479              1.9        ERR065290
